sha256,isMalicious,Chabada,Gcata,apisList
68C5835761276F343B0EE8DB12C9C1C6A09D06C435EB8D1E51A91627C254930C,True,42,0,"['android.accounts.AccountManager.invalidateAuthToken', 'android.telephony.TelephonyManager.listen', 'android.telephony.TelephonyManager.listen', 'android.app.ActivityManager.getRunningTasks', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.app.ActivityManager.getRunningTasks', 'android.media.AudioManager.isWiredHeadsetOn', 'android.media.AudioManager.isBluetoothA2dpOn', 'android.accounts.AccountManager.getAccountsByType', 'android.app.WallpaperManager.setBitmap', 'android.app.ActivityManager.getRunningTasks']"
BC9BE4A8CB9E76BC2BBBE4788428B702FEFC0ED256810894E828CB683DDC8F30,True,42,10,"['android.accounts.AccountManager.invalidateAuthToken', 'android.telephony.TelephonyManager.listen', 'android.telephony.TelephonyManager.listen', 'android.app.ActivityManager.getRunningTasks', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.app.ActivityManager.getRunningTasks', 'android.media.AudioManager.isWiredHeadsetOn', 'android.media.AudioManager.isBluetoothA2dpOn', 'android.accounts.AccountManager.getAccountsByType', 'android.app.WallpaperManager.setBitmap', 'android.app.ActivityManager.getRunningTasks']"
F0D32A4254DC2E6A743EDFEBCF89653D8EAB0F6A5BE89E7D0281F6BE1C5D2B01,True,42,24,"['android.media.MediaPlayer.start', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.reset', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.pause', 'android.media.MediaPlayer.start', 'android.media.MediaPlayer.release', 'android.media.MediaPlayer.stop', 'android.accounts.AccountManager.invalidateAuthToken', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.DownloadManager.enqueue', 'android.app.ActivityManager.getRunningTasks', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.os.PowerManager$WakeLock.acquire', 'android.os.PowerManager$WakeLock.release', 'android.hardware.Camera.open']"
F1286FC4382AB8ACBE504FF81C53420D7339420D2E3AFA67B1A813CAAD26AF37,True,42,4,"['android.app.NotificationManager.notify', 'android.support.v4.view.accessibility.AccessibilityNodeProviderCompat.performAction', 'android.accounts.AccountManager.invalidateAuthToken', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.NotificationManager.notify', 'android.app.DownloadManager.enqueue', 'android.app.ActivityManager.getRunningTasks', 'android.hardware.Camera.open']"
A7F6A49CA757A0F342EAE3343958D65D18389F7F44FDC9589269A13EBC403711,True,12,1,"['android.accounts.AccountManager.invalidateAuthToken', 'android.location.LocationManager.getBestProvider', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getProviders', 'android.telephony.TelephonyManager.listen', 'android.telephony.TelephonyManager.listen', 'android.app.ActivityManager.getRunningTasks', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.telephony.TelephonyManager.getCellLocation', 'android.telephony.TelephonyManager.getCellLocation', 'android.telephony.TelephonyManager.getAllCellInfo', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.app.ActivityManager.getRunningTasks', 'android.media.AudioManager.isWiredHeadsetOn', 'android.media.AudioManager.isBluetoothA2dpOn', 'android.location.LocationManager.getLastKnownLocation', 'android.accounts.AccountManager.getAccountsByType', 'android.location.LocationManager.getBestProvider', 'android.location.LocationManager.getLastKnownLocation', 'android.app.WallpaperManager.setBitmap', 'android.app.ActivityManager.getRunningTasks']"
0FF720897BE5E362EE9D946F5DDDC84A8D11DCD139C14B4D6B1666FF564C185E,True,42,15,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.app.ActivityManager.getRunningTasks', 'android.media.AudioManager.isWiredHeadsetOn', 'android.media.AudioManager.isBluetoothA2dpOn', 'android.location.LocationManager.getLastKnownLocation', 'android.accounts.AccountManager.getAccountsByType', 'android.location.LocationManager.getBestProvider', 'android.location.LocationManager.getLastKnownLocation', 'android.app.WallpaperManager.setBitmap', 'android.app.ActivityManager.getRunningTasks', 'android.accounts.AccountManager.invalidateAuthToken', 'android.location.LocationManager.getBestProvider', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.getProviders', 'android.telephony.TelephonyManager.listen', 'android.telephony.TelephonyManager.listen', 'android.app.ActivityManager.getRunningTasks', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.telephony.TelephonyManager.getCellLocation', 'android.telephony.TelephonyManager.getCellLocation', 'android.telephony.TelephonyManager.getAllCellInfo', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures']"
1F643E37D1040AF92F6ACA69CD27E0AA980E345826C11E17986F125425E975E3,True,42,29,"['android.app.ActivityManager.getRunningTasks', 'android.accounts.AccountManager.getAccountsByType', 'android.media.MediaRecorder.setAudioSource', 'android.bluetooth.BluetoothDevice.getBluetoothClass', 'android.bluetooth.BluetoothDevice.getBondState', 'android.bluetooth.BluetoothDevice.getName', 'android.bluetooth.BluetoothAdapter.isEnabled', 'android.bluetooth.BluetoothAdapter.getBondedDevices', 'android.bluetooth.BluetoothAdapter.cancelDiscovery', 'android.bluetooth.BluetoothAdapter.isEnabled', 'android.bluetooth.BluetoothAdapter.startDiscovery', 'android.bluetooth.BluetoothAdapter.cancelDiscovery', 'android.media.AudioManager.isWiredHeadsetOn', 'android.accounts.AccountManager.getAuthToken', 'android.accounts.AccountManager.invalidateAuthToken', 'android.app.ActivityManager.getRunningTasks', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures', 'android.accounts.AccountManager.getAccountsByTypeAndFeatures']"
9B263775BB4B94B1F156E43A031BAC385030AA0111C634457AB23448D9796F14,True,6,47,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled']"
E7DD88E211157CD36BC9ABFCF1B1171E2B9764156C597C1311792C34A1B051DD,True,42,47,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.location.LocationManager.isProviderEnabled']"
E0EA93C27FC0D3B108B533F1D7B7F93DEA47263286AF42BB013A9606C4AB5B1F,True,42,47,"['android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.isProviderEnabled', 'android.location.LocationManager.getLastKnownLocation', 'android.location.LocationManager.requestLocationUpdates', 'android.location.LocationManager.isProviderEnabled']"
