sha256,pkgName,categoryID,description
A3E2561374423724826DAC490C5C73EAFDFEA91C2745B400F00ED61D58ED68C2,com.lookout,TOOLS,"Mobile Security & Antivirus by Lookout provides premium mobile security & identity protection for all of your Android devices. Protect your device from viruses, malware and spyware, and rest assured you’re in safe hands with our ID theft protection services.  Secure your device and your life, with Lookout. Lookout provides instant security from viruses, threats and personal data theft.  Lookout is the only all-in-one mobile security & antivirus app that protects your mobile device, your data & your identity. Stay ahead of any viruses, malware and spyware with our antivirus features, phishing attacks or other mobile theft breach with the Mobile Security & Antivirus app by Lookout.  Lookout Basic * Mobile Security & Antivirus * Virus Scanner: Continuous, over-the-air antivirus protection from viruses, malware, spyware, adware, & phishing. Just scan your device and we’ll take care of the rest! * System Advisor: Checks your mobile device for root detections to make sure the operating system is working properly * Lookout makes it easy to identify, clean & remove viruses from your Android device. * Locate & Alert: Map the location of your device & make it sound an alarm - even on silent! * Signal Flare: Automatically save your device’s location when the battery is low  Additional Lookout Antivirus & Security Premium Subscription Features  * Includes all the functionality of Lookout Basic, plus 360 total mobile security & antivirus features to protect your mobile device, data & privacy. * Safe Wifi: Protects your mobile data from phishing & other Wi-Fi attacks. Get peace of mind as you connect to Wi-Fi networks on the go, knowing that your mobile connection is safe & secure. * Breach Report: Get timely alerts whenever a company, app or service you use has a data breach along with how best to secure your data *Theft Alerts: Get an email with a photo & location whenever suspicious behavior is detected that could mean your identity has been stolen * Safe Browsing: Scan every URL link you visit to help detect online threats with antivirus technology & alert you of sites that can infect your device & steal your personal information.  [new] Privacy Guard: Prevent cybercriminals from redirecting you to malicious websites while online. * Privacy Advisor: See what personal information can be accessed by your apps * Lock & Wipe: Remotely lock your device, post a custom message & erase your data * Identity theft protection (US only)"
13AB4F59FCF61BD0C8EF69FD466A1189D3E9368CCEFE3C2C7C3B7B4EC0523ACA,phone.antivirus.virus.cleaner.junk.clean.speed.booster.master,TOOLS,"<b>Virus Cleaner is a super antivirus cleaner for android phone, with advanced and powerful antivirus engine. It is also an all-in-one box with many efficient features like Junk Cleaner, App Manager, Big Files, File Scan and Notification Cleaner.</b> If phone is messed by useless files, <b>Junk Cleaner</b> and <b>Big Files</b> help clean up it. Equipped with powerful antivirus engine, <b>Virus Cleaner</b> is an effective <b>anti-malware</b> tool to protect real-time.  Download now! Make phone safer and cleaner!   <b>Feature Highlights:</b>   ★ <b>Virus Cleaner</b> Virus Cleaner scans apps to find out malware, virus, spyware, and trojan, then you can choose to uninstall them.  ★ <b>File Scan</b> File Scan takes a full scan for apk files in your device, find out virus apk files and remove them by your choice.  ★ <b>Junk Cleaner</b> Junk Cleaner scan out useless files like obsolete apk files, logs and temporary files. By cleaning some of them, you can release more storage space.  ★ <b>App Manager</b> Quickly locate apps and easily see which apps are taking up a lot of storage space. One-click to clear apps that have not been used for a long time, help you effectively free up storage space.  ★ <b>Big Files</b> Scan the entire phone and display all large size files in categories with a clear interface design. Help you find and clean up big files in an easy way.  ★ <b>Notification Cleaner</b> Too many junk notifications make your phone annoying, use the powerful Notification Cleaner to organize notifications, you can choose the notification to mute and clean.   All in all, if you're looking for an easy-to-use app to secure your phone, scan and clean up useless junk files form your phone, this Virus Cleaner is definitely worth a try!"
D445F9E7EAA10713741696A46B2A30D7A6D1BB3DDDFF7CDD217E9D3518C954F0,cleaner.antivirus,TOOLS,"<b>Antivirus for Android</b> is a multi-function and convenient app that will help you protect and clean your device! <b>Antivirus for Android</b> – reliable protection of your device against viruses, ensuring the security of your device's and personal data.  <u><b>Main features:</b></u>  ● Antivirus - virus removal and security improvements. Device protection against hacker attacks. The antivirus will scan, detect and delete viruses on your device. Device protection against all potential threats: viruses, trojans, malware, spyware, and adware.  ● Cleaner - phone refinement and device cleaning.  ● Cleaning and device configuration by deleting needless background tasks. Disable startup apps to decrease memory usage.  ● File manager - useful instrument for file management on your device. Wireless connection to any other device.  ● VPN - VPN protects your privacy on the internet and hides your IP address. With our built-in VPN, you can access geo-restricted content and protect your online privacy by encrypting your internet traffic.  ● Apps protection helps you protect your apps, personal data, and conversations from other people.  In our app, you can use the AccessibilityService API to clean and configure your device conveniently and to protect your apps and data stored on the device from access by third parties. To do so, you will need to carefully read the terms and confirm the use of this API in our app. With use of the AccessibilityService API our app does not collect, process, store or send data about the device or its owner to third parties."
7E0A8B9821CF3ACA5761E6FBB6F0B08C3210BCEC928EA3A2D1FB4E9D0B28178B,com.fancyclean.security.antivirus,PRODUCTIVITY,"Fancy Security is a fast, light & powerful Android antivirus, phone cleaner, and secure browser. <b>It can remove viruses, lock apps, and clean storage space with simply one tap.</b>   <b>Professional Antivirus</b> 🔰 Antivirus for Android - Provide the malicious file scan and removal with a professional Antivirus engine, AV-TEST certified 🔰 Virus scan - Fully scan virus files to protect the mobile phone security 🔰 Virus removal - Remove viruses to protect your phone in all aspects 🔰 Virus cleaner - Deep cleaning of viruses to protect your privacy 🔰 Virus protection - Real-time protection against virus intrusion with virus cleaner 🔰 Malware scan & remove - Scan and remove not only viruses but also malware that do harm to your phone, like stealing your information  <b>Fancy Security phone cleaner highlight features</b> 🐞 Virus cleaner - Clean up viruses fast and easily from your device 🔒 App lock - Lock apps with passwords and patterns to protect your privacy 🌿 Notification cleaner – Arrange & clear up annoying app notifications to a clear notification bar 📡 Network analysis - Find apps that consume your mobile traffic and stop them 🌁 Similar photo cleaner – Scan and clean similar and duplicated junk photos on your device  <b>Clean your phone powerfully</b> ⭐ Clean apps useless – the App Manager batch uninstalls apps of less usage or use too much space ⭐ Obsolete APK cleaner – clean up the already installed APK files on your device ⭐ Uninstall useless apps - analyze the app usage, find useless apps and apps overusing the storage  <b>Fancy Security phone cleaner provides more powerful Android utilities</b> 🐘 Big files cleaner helps you to find big files and remove the big files easily ⚒️ App manager for Android with phone app cleaner to clean the app 🌐 Security browser which protects browser history and privacy   Any issues, please mail to getfancyapps@gmail.com"
4B4E38F1A0213BC273B1B23DF7AB78F7A919B59DEBED2E43B8A5B7F79B0126B6,com.kbs.core.antivirus,PERSONALIZATION,"<b>Super Antivirus</b> is free security app with virus cleaner to keep your phone safe. Security app protect your privacy with applock and more powerful features.   ===== Highlights ===== <b>🛡️Antivirus & File Scan</b> <b>🌪Junk Cleaner</b> <b>📷Image Cleaner</b> <b>🔐AppLock</b> <b>🔍WiFi Security</b> <b>📬Notification Manager</b>   <b>🛡️Antivirus & File Scan</b> 	Virus scan and remove to keep your phone away from the malwares, spywares and Trojans 24/7. 	Super Antivirus can also scan installed apps and downloaded files.  <b>Junk Cleaner</b> 	Clean cache and residual files to free up and get more storage space.  <b>🔐AppLock</b> 	Lock apps easily & quickly with Pattern, Fingerprint, and passcode. 	Fingerprint lock works only with devices running Android 6.0 or higher and fingerprint sensor support.  <b>🔍WiFi Security</b> 	Detect current WiFi connection to keep your phone safe from insecure public WiFi.  	Detect intruders when connecting WiFi, ensure your network safety whenever, wherever.  <b>📬Notification Manager</b> 	Block annoying useless notifications, you can use notification blocker now to get rid of junk notifications from jamming.  Download the antivirus & security app that’s intuitively designed to protect your mobile in just ONE tap."
F53D6C4CFCC2DC899C32DEFD5698DAAAD9C619FDF4B92876A816F80430484246,com.estsoft.alyac,TOOLS,"<b>Easy, Light, and Smartly Impeccable!</b>   Delighted to introduce Dr.Capsule, a powerful antivirus protection app for your Android smartphone! Its frequent database updates, real-time virus detection and cloud scan will secure your mobile phone against harmful viruses and malwares.   Check the current status of your phone at a glance by Green/Red colors, and one single touch is all you need to solve any problem and keep your phone safe and green. Intuitive and convenient user experience meets powerful antivirus and total protection. Check out the key features as below and get the ‘Diagnosis-Prescription-Treatment’ of Dr.Capsule, all for FREE!   <b>★KEY FEATURES★</b>  - Virus Scan scans all the apps and files in your smartphone. Real-time monitoring ensures powerful and fast detection of viruses.   - Robust detection of sophisticated Smishing messages. We intelligently analyze the message for robust detection.  - AppLock secures your sensitive apps against snoopers and keeps your privacy. You can set an additional password for every app you want like messenger, gallery, Facebook, SMS, call history and more.  - Messenger Cleaner cleans old media files on messenger apps (WhatsApp / Facebook Messenger / LINE / kakaotalk) to secure more storage space. (OS 10 or lower)  - Privacy Cover prevents others’ peeping through your phone screen. It smartly protects your privacy while you are using messengers, social media apps, or mobile banking and payment.   - App Manager lists up all apps in your phone including rarely used apps and recently installed apps so you can check them at a glance and easily manage them.  - Privacy Cleaning prevents personal information leakage by cleaning clipboard records, browser history, download and search history.    <b>[ALL FEATURES]</b>  (1) Secure for device - Virus Scan : Dr.Capsule will keep your system safe by detecting danger (Apps/files, Real-time monitoring) - Smishing Detection : Real-time Smishing detection in progress - AppLock: Keep your privacy with password   (2) Helpful for device - Device Optimizer :  Check your phone status and delete junk files automatically - Battery Manager : Provide battery status and recommend functions that save battery - Wi-Fi Manager : Check Wi-Fi Recommendations and available Wi-Fi connections - Optimized Mode : Apply optimized setting depending on the device’s condition  (3) Lighten for device - Junk Cleaner : Clean up junk files. you can keep your phone storage clean. - Photo Organizer : Free up storage space by deleting similar photos - App Manager : Check and manage the App list - Internal Storage : Classify files on your smartphone by type and easily identify   (4) ETC. - Quick Bar (Flashlight, Capture) - UI custom (home menu/quick bar) - Bluelight Filter - Privacy Cover - Privacy Cleaning    * Guidance on using accessibility services. For android os 12 or later, uses Accessibility services to draw privacy cover over the screen.  * Location in the background (OS 10 or later) Provides management functions such as Wi-Fi connection notification in the background.  <b>[Contact]</b> E-mail us at drcapsule@estsoft.com"
F06B66226D8C7B041AF76E575FC5671B6478324EBA88DF54314454C019873216,com.fsecure.ms.safe,TOOLS,"<b>One app to secure your digital moments</b>  F-Secure all-in-one security makes protecting all your digital moments brilliantly simple. Get antivirus, VPN, password management, and identity protection in one app. Choose the subscription that matches your needs, or get everything in one app.  <b>Mobile Security subscription includes:</b> ✓ Antivirus to protect your device ✓ VPN for privacy ✓ Identity protection to help you avoid identity theft ✓ Browsing and banking protection  <b>This is how Mobile Security protects you:</b>  <b>Download apps and files to your device safely</b> with an antivirus that blocks malware, viruses, ransomware, banking trojans and spyware. The top-rated antivirus protection is always on and always with you, silently running in the back and keeping you safe at all times.  <b>Connect to any WiFi hotspot</b> securely with a VPN and make your browsing private. VPN protects your IP address and blocks tracking. With a VPN you can choose your virtual location and encrypt your traffic for secure and private browsing. Our fast and unlimited VPN is your privacy partner at home and on the go. And it’s super easy to use!  <b>Keep your money safe</b> when banking, surfing and shopping online. Automatic Banking protection lets you know when you enter a safe banking site and secures your connection. Browsing Protection warns you about suspicious web pages and blocks scam sites.   <b>Prevent identity theft</b> with 24/7 dark web monitoring and data breach alerts. If a data breach threatens the personal details within your online accounts, how will you know? Because F-Secure Identity Protection alerts you if that happens. The real-time alerts give you time to secure your details and avoid identity theft  <b>Total subscription includes:</b> ✓ Antivirus to protect your devices ✓ VPN for privacy ✓ Identity protection to help you avoid identity theft ✓ Browsing and banking protection ✓ Password vault for secure password management ✓ Parental controls to protect your kids online ✓ Available for Android, PC, iOS/iPadOS, Mac  <b>Internet security subscription</b> If you simply want to protect your device, you can get the Internet Security subscription. This subscription only includes F-Secure’s antivirus and safe browsing functionality.  <b>F-Secure makes every digital moment more secure, for everyone.</b>  Whether it’s streaming your favorite show, connecting with family, managing your money, or saving priceless memories, your digital moments are precious. And they are all worth protecting. Get complete security, privacy, identity protection and parental controls – all in one app. F-Secure makes online security brilliantly simple.   DATA PRIVACY COMPLIANCE  F-Secure always applies strict security measures to protect the confidentiality and integrity of your personal data. See the full privacy policy here: https://www.f-secure.com/en/legal/privacy/consumer/total  THIS APP USES THE DEVICE ADMINISTRATOR PERMISSION  Device Administrator rights are required for the application to perform and F-Secure is using the respective permissions in full accordance to Google Play policies and with active consent by the end-user. The Device Administrator permissions are used for Parental Control features, in particular:   • Preventing children from removing the application without parental guidance  • Browsing Protection   THIS APP USES ACCESSIBILITY SERVICES  This app uses Accessibility services. F-Secure is using the respective permissions with active consent by the end-user. The Accessibility permissions are used for Family Rules feature, in particular:   • Allowing a parent to protect child from unsuitable web content  • Allowing a parent to apply device and apps usage restrictions for a child.  With the Accessibility service applications usage can be monitored and restricted."
84EF24AB1B1A804E68835738E91438A072E0E20C07C8815C2DD0E059C048EFC3,com.transsion.phonemaster,TOOLS,Image Compression Reduce the size of image files to help you save storage space.  File Manager Delete the unwanted files  to save space.  App Manager Delete unwanted apps or installers package to save space.  Your feedback always makes us improve more and cooler features. Follow us on Facebook @https://www.facebook.com/PhoneMasterApp
0C9D34F06728E9B05BAD9C6C98478E0134605D418FA28BDD240AB411C7CB46F9,com.kaspersky.kes,BUSINESS,"Protects Android phones and tablets used for work IMPORTANT:  This app is for business users only and needs IT Admin permission to access. Looking for FREE security for your PERSONAL mobile devices? Search for 'Kaspersky Internet Security for Android'.   Our mobile device security for business users also contains management features designed to make life easier for your IT Administrator, keeping you, your mobile device and the business and personal data it holds safe, wherever you may be.   Downloading and installing this onto the mobile device you use for work app (scroll down for download instructions) means it will be secured by:   •	Anti-malware protection supported by cloud-assisted intelligence - detects and neutralizes threats on your phone or tablet using anti-virus databases and the Kaspersky Security Network cloud service. Protects your mobile device against threats, viruses, and other malicious applications in real time —automatically blocking malware and more •	Background scan — conducts scheduled checks of the device to identify new viruses, adware, Trojans and malicious tools heading your way  •	Find My Phone —if your phone or tablet is lost or stolen, you or your administrator can  o	lock and locate it  o	make the device send out an alarm. •	Anti-Theft — protects your personal as well as corporate information, including messages, photos and videos, from thieves, by wiping it from your device •	Anti-Phishing — keeps your financial information secure when you shop & bank online •	Web protection — blocks dangerous links that can be used by criminals to harm your device and data  •	App Control - checks the apps installed on a mobile device. Allows administrator to create a lists of allowed, blocked, mandatory, and recommended apps according to the corporate security requirements. •	Password Protection - protects against unauthorized access to your device, with a screen unlock password •	Compliance Control - automatically ensures your mobile device is fully compliant with your corporate security requirements How you install this app depends on which Kaspersky business product your organization has purchased.  You should either:  1.	 Install the app using the invitation link you’ve received via the Kaspersky Endpoint Security Cloud console or the Kaspersky Security Center (KSC) or 2) 	Install via Google Play, entering the connection settings provided by your system administrator (the IP address and server connection port). or 3)	Deploy the app via a 3rd-party EMM console (e.g. VMWare AirWatch) to provide MTD for managed devices.  This app uses the Device Administrator permission and Accessibility services.  Accessibility is used for the following purposes:             • Check websites and apps in Kaspersky Security Network             • Lock the device in case of theft             • Display warnings             • Block the camera when restricted by the administrator"
5CD08DC7F5D4730C9BA835F1BB155FD467A347A0A7839020B78DD716D3DE7819,com.totalav.android,TOOLS,"Get TotalAV Mobile Security 2022 to stay protected from damaging malware, viruses and dangerous websites. Stay in control of your devices performance with a suite of speedup tools. Keep personal, private data safe with our Secure Browser, App Lock and Public Wi-Fi safety features.  In July 2022 TotalAV for Android ranked No1 in AV-TEST industry testing scores, with max scores in malware detection, performance and usability.   ✔ Protect yourself against rogue apps and games before you install them* ✔ 24/7 security with Real-Time Protection* ✔ Stay Safe with automatic dangerous website blocks ✔ Stay Private on Public Wi-Fi with VPN* ✔ Manage unwanted files that take up space ✔ Release memory and boost speed  ✔ Find and delete duplicate photos ✔ Browse the web anonymously with our Secure Browser ✔ Lock private apps with a PIN or Pattern* ✔ Stay alert to data breaches which include your email address  Why is Mobile Security Important? In 2019, Smartphone cyberattacks increased 50% year-on-year. In fact, 76% of all cyberattacks in 2019 were financially motivated. Our phones and tablets go with us everywhere, and contain more personal data than traditional desktops or laptops ever have. TotalAV is regularly evaluated, and has scored 100% for malware detection in the last nine VB100 tests, meaning our users will always be protected from the latest known threats.  Features TotalAV isn’t just about antivirus, we have a range of integrated optimization tools at our disposal. We give you the tools to improve the speed of your device, meaning no more running out of space! No more slow loading screens! And above all, your personal data is secure!  SYSTEM REQUIREMENTS TotalAv uses the Accessibility Service permission to collect data about websites visited and send alerts when malicious websites are detected.  Privacy is at the core of TotalAV for Android. Our data breach checker enables users to see if their personal information has been exposed in any known website breaches. We also provide a privacy-focused, non-tracking, incognito browser - set with a default search engine that prides itself on not logging searches.  Why not sign up today and claim your free diagnostic scan, it’s quick and easy! We will scan your device and identify any threats present along with assessing your devices overall security. By signing up to a premium account you will be able to activate your subscription and enable our powerful features.  Subscription fees apply.   Please note that all * features require a subscription."
