sha256,pkgName,categoryID,description
378D740C7C557C718EE995A986270A1FF243972A4B96BF6779BC4BD8B564BA48,mark.via.gp,TOOLS,"✔ Quiet Browser Via browser won’t push news and other things to you. No bother to your android devices. ✔ Mini Browser Via browser use much less memory usage on your android devices. Keep your android devices as fast as new. ✔ Lite Browser Via browser is designed for Minimalism. Best choice for geek user and who enjoy lite products. ✔ Customized Browser You can easily customize Via browser. This is your own web browser. Best android browser for you to design your own homepage. ✔ Fastest Browser Via browser is smooth for most android device. And we optimized a lot for fast browse.   We hope you could enjoy your smooth and fresh browse time. That is what we are following. Here are some features of Via web browser. ►Fast as lightning This fast include the speed of open app and exit. Also include the fast speed of browse webs. Give your android phone fast-moving speed . Enjoy your fast web browse. ►Light but more All the design is light and lite. All the experiences are light. If you enjoy the light browser , you got to love this one . Enjoy your light web browse time. ►Mini on android The tiny apk. help save the memory of android device. Mini size also help android device smooth than ever. Enjoy your smooth web browse time. ►Best for Geek Efficient is especially important. And the lite interface give you a fresh feel all the time. Enjoy your fresh and efficient web browse time.  Here are some functions of Via browser • Date saving • Customize  • Ad block • Privacy Protect • Bookmarks • Adds-on • Night-mode • Computer – mode • Translate • Find in page • Search engine switch • Web page save • Intelligence picture show • Free to design you homepage Via Browser Product Concept The main line of Via browser is geek. Make hard things simple. Via browser pay attention to experience of browse. Fresh and lite. Every android phone can keep Via browser well in hand because of its mini size and memory usage. Via browser have huge ability. Via browser have all formal function and advanced function such as web page code, weblog and more. In a word , Make hard things simple. Welcome to your feedback. Enjoy your time with Via Browser. Share Via Browser with others if you like ."
1DAA325B414D8AED621E0B73214DC828095B152AE9B370F029AFFBD78C6F7AA1,com.mi.globalbrowser.mini,TOOLS,"Mint Browser is one of the best web browsers for Android phones. Breakneck speed, privacy, and security all come in a single tiny package.  Our 10 MB app is a lifesaver when you prioritize user experience over pricey specs.  👍<b>Key features</b>  🚀<b>Faster and safer</b>: Low storage requirements and breakneck launch speed bring you online faster than ever before.   🛡️<b>Block ads</b>: Block ads automatically to make the web pages you're browsing neat and clean.   📥<b>Download videos</b>: Whenever Mint Browser detects a downloadable video, the ""Download"" button will appear. Just tap the button to save the video on your device.   🔐<b>Incognito mode</b>: Incognito mode allows you to browse the web safely and privately without leaving any search or browsing history.   🌙<b>Night mode</b>: Use Night mode to protect your eyes while browsing the web in the dark.   💰<b>Data saver</b>: In Mint Browser, you can block ads and restrict loading images automatically to save mobile data.  <b>About Mint Browser </b>  Mint Browser is designed by Xiaomi for Android devices. We'll be glad to receive your reviews! If you encounter any problems while using our app, feel free to drop us a line: mint-browser@xiaomi.com"
394CA4B3DF5A4F4FBAEDE1911CA9C666D6CF6CC5D0C1FB71B656CF877DCF2425,com.opera.mini.native,COMMUNICATION,"Opera Mini allows you to browse the internet <b>fast</b> and <b>privately</b> whilst <b>saving up to 90% of your data.</b> The Opera Mini internet browser has a massive amount of functionalities all in one app and is trusted by millions of users around the world every day.  • <b>Private Browser</b> Opera Mini is a secure browser providing you with great privacy protection on the web. Use private tabs to browse incognito & browse privately without leaving a trace on your device or being tracked.   • <b>Fast Browsing around the World</b>  With local Opera data centers around the world, you have one of the fastest and most reliable connection when using the Opera Mini Internet Browser.  • <b>Block Ads</b>  Opera Mini has a native built-in ad blocker so you can surf the web without annoying ads. Ad Block brings you a completely smooth & safe web browsing experience!  • <b>Offline Reading</b>  Easily save news stories and any webpages to your phone while connected to Wi-Fi and read them later offline without using data  • <b>Save Data</b>  Save up to 90% of your data and browse faster, even on slow networks, without disrupting your browsing experience with Opera Mini Data Saver  • <b>Video Player</b>  Watch & listen live, or download to view offline later  • <b>Offline File Sharing</b>  Send and receive files securely without an internet connection or any data usage with any other Opera Mini user in seconds.    By downloading this application, you are agreeing to the End User Licence Agreement at https://www.opera.com/eula/mobile"
50FBC16C11A79FB825BB0972DFA480E044A3E5F5D1EBC0B4BB9EE77949D5C8A8,com.UCMobile.intl,COMMUNICATION,"UC Browser is a fast, smart and secure web browser. It is designed for an easy and excellent browsing experience. With the unique self-developed U4 engine and video player, UC Browser can provide you with a smooth experience no matter you are surfing, visiting websites, downloading files or watching videos.  ★Upgraded Web Browsing Experience: The most recent version uses our unique self-developed U4 engine that performs 20% improvement in web connection, standard support, video watching experience, personal information security, stability, and storage management in comparison with our old versions. ★Fast Download: Our servers speed up and stabilize downloads. If any disconnection or interruption occurs, UC Browser can continue downloading from the breakpoint. It takes less time to download videos in UC Browser. You can even enjoy the fun of watching unfinished videos without waiting until the download completes. ★Small Window Mode: Our small window mode enables the video window to be moved apart from the webpage, and hanged on top of the screen, while you expect to chat with friends, shop online or participate in other activities without video watching interruption. ★Video Playing in Background: Videos can be played in the background easily with just one tap. You can enjoy listening to the videos when you are doing other things with the phone. ★Data Saving: UC Browser compresses data, speeds up navigation and helps you save a lot of cellular data traffic. The more you browse, the more data you can save with UC Browser. ★Ad Block: Ad block functionality blocks different forms of ads that affect your browsing experience. It helps you visit webpages Ad-Free on your android devices. ★Smooth Video playing: With the self-developed video player and unique technology, UC Browser provides you with an excellent video playback experience. ★Incognito Mode: Browsing without leaving any history, cookies, caches, etc. Incognito mode makes your browsing and watching experience perfectly private and secret. ★Facebook Mode: This unique feature speeds up Facebook regardless of your network condition. UC Browser always finds the way to increase your network speed. ★Night Mode: Switch to night mode on UC Browser to read more comfortably at night.  <b>About UCWeb</b> Editor’s Choice 2018 - OPPO App Store Gold Mi Award 2018 - Xiaomi App Store Facebook: https://www.facebook.com/UCBrowser Twitter: https://twitter.com/UCBrowser YouTube: http://www.youtube.com/ucwebvideo  For help & feedback, please contact our help center http://url.cn/42kuL5f (open in UC)."
72E6748059776E1593944158CA54D79D136342077DBF4FB7488D8768A56358FD,com.seraphic.openinet.pre,ENTERTAINMENT,"Open Browser is a web browser designed for Android TV. It delivers a superb web browser experience to over 200 countries and regions since its born.  MORE THAN A WEB BROWSER What is more? Besides the fastest and most secure & seamless browsing experience, Open Browser selects personlized contents for you based on AI powered recommendation engine. The recommendation covers global OTT portfolios, such as Music, Movies, News, Games, etc. It’s completely FREE to download & browse, no hidden charges.  LESS IS MORE With handpicked functions, you can embrace brilliant contents from world wide web. * Multiple tabs Browse different web pages simutaneously and switch between them in an easy way. * Multi-language Multi-language support makes barrier-free browsing. * USB keyboard and USB mouse Explore Open Browser with your USB keyboard and USB mouse. * Zoom in and Zoom out Scale your favourite website to preferable size. * Page layout switch Switch the layout to find the best viewing experience of web pages on TV. * Incognito mode Private browse, in this mode, browsing history will not be recorded.  Unwind your brain, more to explore freely.  To bring you the best experience on Android TV, we’d love go get your feedback! Whenever you have any issues or suggestions while using Open Browser, please write to us at openbrowser-android@metaxsoft.com to help us improve our service.  Follow us at: Facebook: https://www.facebook.com/OpenBrowser-105338522076926  Twitter: https://twitter.com/open_browser"
0A301F04D9270F25F821C2B501E7D3DCAFE7335450F90D467426B8D44C4B58B0,com.yandex.browser,PERSONALIZATION,"<b>Yandex Browser — stylish and secure, with voice search and data compression.</b>  <b>Get rid of annoying ads</b> on websites by integrating third-party blocking apps with ad blocking.  <b>Protect your personal data</b> when using public Wi-Fi networks and stay away from harmful or fraudulent pages with the browser’s active security system Protect.  <b>Hide unrelated interface elements</b> — ads, site menus, buttons, or widgets — and leave only the relevant text and accompanying images on the screen with Reader Mode.  <b>Surf the web in private</b> using Incognito Mode — Yandex Browser will not keep track of your passwords, search queries, or browsing history in this mode.  <b>Customize your Yandex Browser</b> with a wide array of backgrounds in the wallpaper library to suit any style or mood.  <b>Access your favorite websites</b> and bookmarks on any of your devices — just allow syncing of your data via your Yandex account.  If you have any questions or suggestions, you can contact us straight from the app, or via https://browser.yandex.com/feedback.  By downloading the application, You accept the terms of the License agreement https://yandex.com/legal/browser_agreement/"
35911F967F329B135D6E54EEEDAB8F2DFB2C6C638D01C10B46CDE1098457B75B,mobi.mgeek.TunnyBrowser,COMMUNICATION,"🐬 <b>Dolphin Browser is the best internet explorer browser for Android with fast loading speed, HTML5 video player, AdBlocker, tab bar, sidebars, incognito browsing and flash player. Once users experience the fast, smart and personal Web of Dolphin, regular Mobile Internet feels like torture.</b>  🏆🏆🏆🏆🏆 <b>Best Mobile Web Browser on Android Market</b> 👍👍👍👍👍 <b>Over 150,000,000 downloads on Android and iOS</b>  🚀<b>Great Features</b>🚀 ✔ Flash Player ✔ AdBlock (pop up blocker) ✔ Multiple Tabs bar ✔ Bookmarks & Add-ons sidebar ✔ Personalized Search ✔ Fast Download ✔ Incognito/private Browsing ✔ Gestures ✔ Sonar  ★ <b>Flash player</b> Get the best gaming and HD video experience with player for Android support on Dolphin Browser. With Dolphin Video, you can watch videos from YouTube, Dailymotion, Vimeo, Twitch and any other video website you like! ★ <b>AdBlock (pop up blocker)</b> Dolphin Browser is one of the best AdBlock Browser. With AdBlocker, you can block popups, ads, banners & ad-videos.  Find AdBlocker add-on here: http://alturl.com/27rch ★ <b>Multiple tabs bar</b> It displays your open tabs, and lets you switch between them by swiping. Let you browse the web as PC Browser & desktop browser. ★ <b> Bookmarks & Add-ons sidebar</b> It can be accessed by swiping to the right from the left edge of the screen and shows your bookmarks and browsing history. Swiping to the left, you can enjoy the best services with add-ons, such as Video Downloader, Web to PDF and Dolphin Translate, etc. ★ <b>Personalized search</b> Easily switch search engine with Google, Yahoo, Yandex, Bing, Duckduckgo, etc. ★ <b>Fast download</b> Download HTML5, Flash videos and more with blazing fast speed from the Internet with video downloader. You can also easily delete or move downloaded files in the file manager.  ★ <b>Incognito/private browsing</b> Dolphin Browser is a secure browser that offers you real private browsing experience without leaving any history data. ★ <b>Gesture</b> Access the Internet by creating a personal Gesture for websites and common features. For example, drawing a letter ”D” to go to Duckduckgo or “B” to go to Bing.  ★ <b>Sonar</b> Dolphin Browser gives you an actual web browser you can talk to. Use your voice to search, share on your favorite social networks, bookmark favorite websites, and navigate the web on your phone. Search without typing, even with Yahoo, Bing or Duckduckgo. ★ <b>Themes</b> Customize your Dolphin Browser with a wide array of backgrounds in the wallpaper library to suit any style or mood. ★ <b>Quick Share</b> Dolphin remembers your most recently used apps to help you easily share content to Facebook, Twitter, WhatsApp, Skype and more.  🚀<b>Dolphin Add-ons</b>🚀 - Dolphin Video Player – Flash Player; - Screen Cut – Screenshot app; - Web to PDF Converter & Editor; - Dolphin Jetpack; - Speed Booster for Android; - Dolphin Translate - Translator; - Dolphin QR & Barcode Scanner; - Dolphin Reader; - Dolphin Battery Saver; - Bookmarks Widget; - Dolphin Brightness; - Dolphin Tab Reload; - Dolphin Show IP; - Dolphin Ultimate Flag; - Pocket for Dolphin; - Dropbox for Dolphin; - Box for Dolphin; - Dolphin Alexa Rank.  Contact us at support@dolphin.com Join the Dolphin Facebook Fan page: http://www.facebook.com/DolphinFans  Follow Dolphin on Twitter: https://twitter.com/#!/DolphinBrowser Learn more on our website: http://www.dolphin.com/ 🐬❤👪, 🚄🚃📷🎥🎧🎮🎡🎠🎢🌏🚃, 🚀🏁🏆🎆"
32BE37F1F988BDADE2D01B63B43B0A42536A3DB680DD2F918514C3B34DB37278,com.transsion.phoenix,COMMUNICATION,"Phoenix Browser is a fast and safe web browser for your Android device, with main features like <b>Downloading, News Browsing and Immersive Video Watching</b>  ✪Main features✪  Phoenix browser loads your webpages <b>2x faster, saves 90% of your data</b>, and enables smooth browsing in a slow network. You can download all-format videos and social media content at a lightning speed.  ★<b>Fast Browsing and Downloads</b>: Access websites, download multiple files (videos, audio, documents and more) with the speed of light. Download online videos easily from lots of websites: Facebook、Instagram and etc.  ★<b>Smart Video Downloader and Video Player</b>: Automatically detects videos from any website for you to download in one click. Optimized video player for the best watching experience.  ★<b>WhatsApp Status Saver plugin</b>: Save your friends whatsapp status easily and safely.  ★<b>Powerful File Manager</b> Easily WhatsApp status saving and powerful file manager. Support more than 50 file formats, such as word, excel, ppt, pdf, etc.   ★<b>Ad Block</b>: Block annoying adverts and popups, save time and increase loading speed.  ★<b>Data Saver</b>: Stream movies, download files, browse more with less data on any website.   <b>Features</b>: ★<b>Super Downloader</b> Phoenix Browser can automatically detect downloadable videos with the smart detection function while you browse the web, which allows you to download and save online videos from almost every website. You can also download through BitTorrent and Magnet. With a download icon in the website, Phoenix Browser will inform the user whether there are online videos that the user can download or not. It’s very simple to download videos by using the smart download function. (!!!Download on YouTube is not available due to the policy of Google!!!)    ★<b>Incognito Browsing</b> Incognito tab makes your browsing experience perfectly private without leaving any history, cookies, cache, etc.    ★<b>Ad Block</b> Ad Block blocks various forms of annoying ads, pop-ups and banners to make your browsing comfortable. It not only speeds up the page loading speed but also reduces Internet data usage.   ★<b>Bookmarks/History</b> Bookmarks help save your favorite websites and provide quick navigation for revisiting later on. History list helps with recollection. Both will save you time looking for your favorite websites.   ★<b>Data Saving</b> Phoenix Browser could compress data, speed up navigation and help you save a lot of cellular data traffic.    ★<b>Add To Shortcut</b> Add your favorite websites like Facebook, Twitter, Instagram, YouTube, Amazon, Wikipedia, etc., for quick access.    ★<b>Built-in Video Player</b> The built-in video player provides a one-stop service from video downloading to video playing. You can watch videos directly without exiting the app.   ★<b>Search Engines</b> Switch search engines according to your preference. We support Google, Yahoo, Ask, Yandex, AOL, DuckDuckGo and Bing.   ★<b>Multi-Tab Manager</b> Easy switching of pages from multiple websites. Using a multi-tab manager will make your browsing experience smoother.  ★Switch to PC Website: Support cross-device browsing   Facebook Fan Page https://www.facebook.com/PhoenixBrowser/  NOTE:  Phoenix will not access permissions that are irrelevant to our feature.   By accessing All Files Access Permission(MANAGE_EXTERNAL_STORAGE), Phoenix can help to manage all files,videos and photos on your mobile phones for a better file browsing experience.  Phoenix would never upload any user information."
9F2B7DC5FE6884ED48685045BBF060543D24D9BCFB2B4B4419E955BF6BD31817,com.xbrowser.play,COMMUNICATION,"★ Minimalist & Super Fast  1M Size, uses minimal resources. Very smooth and fast.  ★ Ad Blocking  Super ad blocking ability, helping you to remove 80% of malicious ads. Support importing and subscribing to third-party blocking rules.   ★ Video Sniffing  Super video sniffing capability, easy to save Internet videos.  ★ User Script  Build-in Support GreaseMonkey and Tampermonkey  user script. Greatly improved browser capabilities.  ★ Security and Privacy  Only very few permissions are requested, no background residency services, no push services, and very many security and privacy options are provided.  ★ Autofill forms   Fill out forms automatically with saved info, like your user name,passwd,address etc.  ★ Personalized Customization  Provide a large number of personalization options, appearance, gestures, shortcuts, etc. Can be adjusted according to your preference."
19D636BEA267ADD66797293FE3EBC641AD34DC93AF30939442A8A1F32C9CE81D,com.opera.browser,COMMUNICATION,"Fast, safe and private, introducing the latest version of the Opera web browser <b>made to make your life easier online</b>. Featuring a built-in <b>Ad Blocker</b> and <b>VPN</b> with a clean and user-friendly design letting you get more done online, in less time.   <b>Ad blocker for safe & fast browsing</b>  Opera’s native ad blocker effectively helps you get rid of thousands of intrusive ads and loads your pages faster to streamline your browsing experience. Now, we have added the option to eliminate a vast majority of annoying cookie and privacy dialogs also.   <b>Built-in VPN</b>  Improve your privacy and security on public networks with our built-in browser VPN. The unlimited VPN lets you avoid sharing your location and identity, staying anonymous and safe online. You can also switch to different virtual locations if needed for extra browser security.   		 <b> Secure your entire device with VPN Pro</b>  Protect and encrypt what you do online, even outside the Opera Browser. VPN Pro protects your entire device, and every app you use on up to 6 devices.  - Access 3,000+ high-speed VPN servers around the world - Protect up to 6 devices  - Access servers in 30+ countries - Encrypt your traffic on your entire device  <b>Private browser</b>  Use private tabs to go incognito anywhere on the Internet without leaving a trace on your device. Easily switch between normal and private browsing in the tab gallery.  <b>Save data and time</b> On a slow connection? Or want to save data? Switch to data saver mode to load pages faster than ever on slow networks. Powered by our famous compression technology, the Opera browser works hard to save up to of your data without breaking your browsing experience.  <b>Personalized news feed</b>  Powered by our smartest AI news engine, the rebooted news feed allows you to swipe through a selection of personalized news channels within the browser, subscribe to your favorite topics, and save stories to read later.  <b>Night mode</b> Opera’s night mode provides you adjustable lighting options to get the most comfortable reading experience in the dark and the least eye strain. Night mode is easily accessible from the main menu.   <b>Manage your passwords and autofill credit cards</b> Opt in for automatic saving of passwords site by site and safely autofill your payment information for safe and private online shopping.   <b>Read comfortably on any screen:</b>  The Opera browser includes a text size setting which helps you adapt pages according to your reading preferences. More importantly, it works perfectly together with our automatic text wrap feature for an unparalleled reading experience.  <b>Flow - seamlessly connects all your devices:</b>  The popular Flow feature lets the files, links or images that you share immediately appear on all your Flow-enabled devices, allowing you to seamlessly switch between your iPhone, Android phone, tablet and computer. Sync all your Opera accounts across Devices as well!  <b>About Opera</b> Founded 1995 in Norway on the idea that everyone should be able to browse the web, we have spent the last +25 years helping millions of people access the internet in a safe, private and innovative way. We care about the internet, about open standards, and about people.   <b>Terms & Conditions:</b> By downloading this application, you are agreeing to the End User Licence Agreement at https://www.opera.com/eula/mobile."
