sha256,pkgName,categoryID,description
179C29701DFEF5D144716A06F5BA7FBA5A881AB02A40D5C84B0C3CA811CDBC96,com.macrovideo.v380pro,TOOLS,"Through ""V380 Pro"" video monitoring service, you can easily view live stream and replay of apartments,villas,stores,factories,working offices and so on；through ""V380s Pro"" alarming service,you can receive any abnormal message of places you concern. [Remote Monitoring] Viewing video on App remotely,know what is going on at home anywhere anytime. [Voice Talkback] Voice Talkback anywhere,as if you are at home. [Device Sharing] Share the device with your family,view together,more at ease. [Motion Trajectory Tracking] Automatically capture motion trajectory,real time tracing shooting alarm,more intuitive. [Motion Detection Alarm] Instant alarm and picture capturing on abnormal situation,view what happened on recordings,guard your security. [Cloud recording Service] Videos reserved on cloud,do not have to worry about device loss or damage,highly encrypted data,convoys your information security."
6511E5D71DA03D088BFCA74DDA164FC53275228887189B2F720484FA989268AA,com.kogan.smarterhome,HOUSE_AND_HOME,"When your home works for you, your life gets easier.  Connect via Google Home or Amazon Echo, set up automated actions which are triggered by temperature or time, and get real-time notifications straight to your smartphone. KoganSmarter Home takes the hassle out of everyday so you can get more done.  * Remotely control your compatible Kogan Smart devices * Voice control via Amazon Echo & Google Home * Receive real-time alerts and notifications * Add and control multiple devices  * Automate your devices to stop/start based on location, temperature, time & more * Clear interface that’s simple to use and easy to understand * Save actions and preferences to customise your experience"
A62460A161D324D55969AEC0858F6A9F011A5698F4BB254C770AEA5846525202,com.iot.airam,LIFESTYLE,"Airam SmartHome helps you to enjoy your home even more. Airam SmartHome consists of smart Home products which can be controlled via Airam SmartHome App. No hub, no gateway needed -just easy to set up by connect with your WiFi."
A12495CBBC47B79AFD4D1ED770D3C79B5E06D0D730DE7E3C8E981209CE080157,com.midea.ai.overseas,TOOLS,"MSmartHome is an elegant, easy-to-use app which provides real-time updates and notifications to elevate the Midea Smart Home experience.  You can simplify your life through voice control from Amazon Alexa and Google Home assistants with your natural language to operate your appliances effortlessly.  Connect and control devices such as compatible air conditioners, dishwashers, ovens, refrigerators, robotic vacuums and more, all through this single app.  Key features: •	Cool your house, or preheat your oven while you commute home through a full featured control interface. •	Want to know if the oven is finished baking or how much time before the dishwasher cycle is completed? Receive real-time status updates and notifications of appliance activities. •	Use natural conversation to control your appliances such as “Alexa, defrost 12 ounces of chicken” or “Hey Google, turn on the AC”.* •	Invite family members to share control of appliances.  App Requirements: - Android 5.0 or later.  Access Permissions:  The following access permission is necessary for the MSmartHome app to provide the best experience. - Bluetooth: Find nearby devices using Bluetooth or BLE. - Location: Detect home WLAN network and enable device connection. *When connected to compatible Amazon Alexa and Google Home devices. *Available devices and voice commands vary in different regions."
1020A32C5013456EC643150ECC741B5DE45E2B0196C412D95DA3A82E1F679F0E,com.hama.smart,TOOLS,"Smart elements for the home don't have to be complicated. Our mission is to offer you a simple solution that will transform your home into an intelligent comfort zone piece by piece.  Smart Home from Hama is all this: 1.	Comfortable Simple controls for maximum convenience Our smart home devices are easy to set up and operate. For extra convenience in device control, we have developed an app - so you have an overview of all connected devices and full control, no matter where you are. 2.	Easy to retrofit Without any construction costs Expand your home, step by step, very easily with smart products from our extensive range. The possibilities are endless and the integration of new products is particularly easy. 3.	Compatible Can be combined with other smart products You can also combine our products with smart devices from other manufacturers, as long as they are compatible with Amazon Alexa and Google Assistant. 4.	Gatewayfree Simple and cheap Many smart home applications on the market require an additional element as a bridge / gateway so that they can communicate via your network. Our smart home products do not need this additional hub. This makes installation easier and cheaper to buy. 5.	Easy  Control via app The app enables you to operate and monitor your smart home from anywhere using your smartphone or tablet, e.g. open the garage door by motion detection when you are coming home. 6.	Intuitive  Control by voice With a voice command, you can conveniently pass on your wishes to the respective smart home device, e.g. switching the light on and off - without a smartphone, without getting up.   Home smart home! There the family, the partner, the beloved pet and - your own comfort zone are waiting. If this home also thinks for itself, it makes your day easier and you have more time for the important things in life. That is why app or voice-controlled smart home systems such as lights, motion detectors or alarm systems are getting more and more important during apartment and house construction. But what if the apartment or house are already built? With our smart home products, you can also design your home intelligently after renovation or construction, so that everyday processes are carried out automatically. The installation and operation of the smart home gadgets are very easy - even when you are on the go."
A99841284250F917FCE01ECE9AD83A105AC4BFA40B35B2F8DB9AB6EA84E0E5F8,com.deltaco.smarthome,LIFESTYLE,"The official DELTACO SMART HOME app for controlling and customizing all your smart DELTACO products directly from your Smartphone.  The app gives you increased control of your life - check what your kids are doing, turn on / off the lights or regulate the temperature. No matter where you are, at work, vacation or just everyday life at home – you can manage lighting, temperature, plugs and surveillance at will. Smart, huh?  YOUR HOME, YOUR WAY Remote control Manage via the app, when your lamps or plugs are to be switched on / off Timer Function Turn off your devices, at the selected time Grouping Connect your products in the app and decide, e.g. if / when all lamps should be switched on / off simultaneously Scheduling Program your devices to switch on / off, at the selected time  Energy Consumption Measure your energy consumption by day, week, month or year  Scenes Create smart scenarios in the app to control and manage the products in the selected event process, to maximize home automation New products and features are constantly being developed to make your life at home simpler.  Discover more on: www.deltaco.se/Sidor/deltacosmarthome.aspx"
88C6A910F4E9065EEAADD242BEE4E49139FAC79F3C8F06C44BC7E0F41C15F5CB,wipro.com,TOOLS,"Use Wipro Next Smart Home App to control Wipro smart lights and other Wipro smart devices. Create your own smart home with smart scenes and home automation. * Mobile control your home lighting system * Amazon Echo, Google Home voice control * Remotely control your smart devices anytime anyplace * Easily device sharing to other App users * Real-time notifications and real-time monitoring * Fast network connectivity for instant user experience"
C9C281ECFBB0C1563A89B3FF47DBE8F3DCCB2E4652E830E23F4E2AA8510DB8EA,com.merkuryinnovations.geeni,TOOLS,"Meet Geeni. Your wish is Geeni's command.  Control all Geeni smart home devices in one easy app, or by voice using Amazon Echo, from ANYWHERE in the world. Geeni is easy enough for anyone to use and combines the SIMPLICITY of an on/off switch with PREMIUM features such as:  - Easy, powerful control of each device. Choose a color or mood of our Color bulbs, perfectly Dim a white bulb, track energy usage of a plug, all from the same app! - Group devices and control by room - Set smart scenes for automated actions - Schedule when devices turn on and off to allow more control and security - Choose which devices your friends, guests, roommates, or your family can control thanks to account sharing - Cloud based services so you can log in and control your home from any phone - and more.   Compatible with all Geeni-enabled smart devices. No complicated hub required; each Geeni device is smart enough to connect directly to your home wifi network."
8F5170FBA64F9C35E4A1D533526ECAF8830BF7CB242EC30116B4BF5F8A73930F,com.laser.smarthome,HOUSE_AND_HOME,"Take the hassle out of your everyday!   With the Laser SmartHome app, you can connect and control multiple devices quicker and easier. Paired with Google Home or Amazon Echo, you can set up automated actions which can be triggered on schedule, temperature or location. Get real-time notifications sent straight to your smartphone.   No matter where you are, you can monitor and control your Laser SmartHome devices.  - Remote control and check the status of your compatible Laser SmartHome devices - Voice control via Google Home & Amazon Echo - Alerts and notifications allow you to receive real-time status information about your Laser SmartHome devices - Add and group multiple devices to control them simultaneously - Automate your devices based on schedule, temperature, location & more - Customise your experience and save your frequently used actions & preferences"
A73B18BCEF6098224D4F37E2E8A0696224F5EA56B060AD79991FEC8D4968211E,com.connect.smarthome,HOUSE_AND_HOME,"Make your home smarter with Connect SmartHome!   The Connect SmartHome app let's you add and control multiple devices quicker and easier from your smartphone. You can set up automated actions which can be triggered on schedule, temperature or location. Get real-time notifications sent straight to your smartphone.   No matter where you are, you can monitor and control your Connect SmartHome devices.  - Remote control and check the status of your compatible Connect SmartHome devices - Alerts and notifications allow you to receive real-time status information about your Connect SmartHome devices - Add and group multiple devices to control them simultaneously - Automate your devices based on schedule, temperature, location & more - Customise your experience and save your frequently used actions & preferences"
