sha256,pkgName,categoryID,description
7DD338F432C2D0F1BF21A5C56927870D6922D80E67BF2EC37EA4508A0E0EE5F5,za.co.kingprice.insurance,FINANCE,"Your policy in your pocket  •	Get instant cover for your car and portable possessions. •	View your policy info. •	Do a car self-inspection. •	Get docs like your policy schedule and confirmation of cover. •	Donate your decrease to charity.  When we brought our world-first decreasing premium model to the market in 2012, not many thought we’d last the year. But, here we are, not just surviving but thriving. And, we’ve evolved from being king of price, to being king of insurance.  It’s a crown we wear with pride… Not just because of how many clients love our great cover and quirky ways. Not just because we keep introducing innovative insurance products. Not just because of our award-winning royal service (yup, we’ve won stuff). Mostly because, in 6 years, we’ve given R100 million in decreasing premiums back to our clients. We think that’s pretty special.  What’s a decreasing premium  The name says it all: It’s a premium that decreases monthly instead of always going up. We figure, because your car’s value drops monthly, your car’s insurance premium should drop monthly too. It’s fair, it’s logical, and it makes sense! King Price clients also get up to 20% off when they cover 2+cars… And their premium still decreases monthly.  And, for every car that you comprehensively cover with us, you can choose to insure an Apple Watch, bicycle or set of golf clubs for just R1 monthly!  What’s portable possessions cover  Portable possessions cover will repair or replace possessions like clothing and cameras, tablets and travel luggage, and rings and sparkly things, if they’re stolen or damaged while they’re anywhere other than in your home.  We know it’s not polite to scratch around in other people’s handbags so we won’t ask you to list everything that you carry around in yours… We’ll cover these unspecified ‘everyday’ items up to an amount that you choose.  But, we do need you to specify some of your actual handbags, and a few other special portable possessions, and we’re apped to help you do this.  What’s a car self-inspection  When we insure a car for you, unless it’s brand-spanking-new off the dealership floor, we’ll need you to show us that the car actually exists. It’s not that we don’t trust you, we just like to keep our Is dotted and our Ts crossed. So, you can take it to an Autoboys branch to have it inspected, or you can DIY using our app. It’s super easy and quick, and we’ll guide you through it step by step.  What’s this about donating my decrease  This is your chance to make the circle bigger and donate your monthly decrease to a charity.  We’re all about #MakingADifference and so we’re giving you the opportunity to support some of the charities that we support. You can choose to donate your monthly decrease to any 1 of 8 charities… Just tell us which 1 tugs on your heart-strings and we’ll take care of all the details."
E30FE9C179CAD3108B4CB2FCB8C3DA4A81122A1BA9E5214FAF7E5E15A1EF286F,za.co.dialdirect.drivewithdial,FINANCE,"With the Dialdirect insurance app you can do everything on your mobile app, from view managing your policy, submitting your claims and requesting emergency assistance."
09B1003D378F8FFE3517DFC2789132C68674766158B49896D1E1D9485D4DDD70,nz.co.state,FINANCE,"About this app​ Your State insurance anytime, anywhere.​  With the State app, we’re here for you 24/7. Manage your insurance with faster log in using a PIN or face ID.​  Make a claim online​ Starting your claim is easy in the app. If you need to claim for home or motor insurance, you can start a draft, make a claim, and check your claim’s progress every step of the way.​  Easily manage your payments​ Make a payment for your policy straight from the app.​  All your policies in one place​ View your policy information and documents in the app. You can see what you’re covered for at any time. And choose to get your insurance documents by email or by post.​  Get a quote ​ Get a new quote in 2 minutes. Or find an existing motor quote and pick up where you left off."
7D33494D06F0964C146982963FD1BD034BAA395B02182EC40CA0241ED138F7B9,com.safecoinsurance.consumer,FINANCE,"Get the Safeco mobile app, your one-stop insurance resource. Log in fast and securely with touch or face recognition. Access ID cards with one touch. Manage your policy or claim from anywhere, at any time.  <b>We’re here for what you need</b>  Take care of what’s important, quickly and easily.      ● Access and download digital ID cards       ● Get to know your coverages and receive customized recommendations     ● Save money with our safe driving program (in most states)       ● Pay your bill with credit/debit cards and manage automatic payments      ● Easily contact your Safeco agent for assistance      ● Get notified about policy documents ready to be signed   <b>We’re here when you need it most</b>  Find on-the-go help in the moments that matter.        ● Tap to call for Roadside Assistance      ● File a claim, get real-time status updates, and contact your Claims Representative      ● Upload pictures of damage and get a repair estimate quickly     ● Schedule a damage review or request a rental vehicle     ● View estimates, track repairs, and review claims payments"
DC1B2CF33FA1AF98FCA4D668976BEAB9BE440F6C7FD24D201AE773C535BBDDDF,za.co.outsurance,FINANCE,"Wherever you go, you can take OUTsurance with you. The OUTsurance app allows you to check your insurance policy information including the date and amount of your next OUTbonus payment.   What's more? Request our Help@OUT emergency home and roadside assistance 24/7 or even premium discounts for every family member or friend you successfully refer to OUTsurance.  Top features: •	Start quotes for car, home contents, buildings, life and business insurance products  •	Buy a funeral plan or OUTthere life cover in a few taps •	Add an item to your OUT-and-About product •	View your policy details and OUTbonus amount with their respective due dates •	Refer friends and family and you can get R1000 off our premium for every successful          referral •	Register for our SmartDrive programme and receive a 10% discount on your premium •	Request emergency assistance for your car and your home 24/7 •	Request changes to your current policies •	Request documents such as confirmation of cover and policy schedules •	Update your vehicle registration details  •	Submit a windscreen and geyser claim directly through our app •	Submit a claim for your products  Continued use of GPS running in the background can decrease battery life."
F75AE33E9D0ED5CEF4389CCEB4C88B0961F930D2F8AA1160208F09EDB3FDFEB2,com.lmig.pm.internet.mobile.android.libertymutual,FINANCE,"Get the Liberty Mutual mobile app, your one-stop insurance resource. Log in fast and securely with touch or face recognition. Access ID cards with one touch. Manage your policy or claim from anywhere, at any time. You can even get rewarded for safe driving.   <b>We’re here for what you need</b>   Take care of what’s important, quickly and easily.      ● Access and download digital ID cards     ● Get to know your coverages and receive customized recommendations     ● Save money with our safe driving program (in select states)     ● Sign up for paperless billing, Autopay, and push notifications      ● Add drivers, update mortgage lenders, and make other policy changes     ● Access and electronically sign important documents     ● Get the help you need with chat   <b>We’re here when you need it most</b>  Find on-the-go help in the moments that matter.    ● Tap to call for emergency Roadside Assistance   ● File a claim and get real-time status updates   ● Upload pictures of damage and get a repair estimate quickly    ● Schedule a damage review or request a rental vehicle   ● View estimates, track repairs, and review claims payments"
15179B9CF78712731EE80BF2AAB273F8E8C85FDB1F58630038C8E8256E6A918D,com.pms.activity,BUSINESS,"Manage all your insurance needs at one place with the HDFC ERGO Insurance Mobile App.  The HDFC ERGO Mobile App lets you access you policy details anytime, anywhere through your smartphone. You can locate nearby network hospitals & garages, view your Health Card, track claim status, find answers to all your policy-related queries and get many more benefits with the user-friendly HDFC ERGO Insurance App. We’re always looking for ways to give you the best mobile app experience! Our new version of the HDFC ERGO Insurance App takes convenience to next level with its improved user interface, easy login and additions of new services & utilities.  HDFC ERGO Insurance App Features:  • Unified view of policy and claims • Geo co-ordinates-based location search linked to Google maps for cashless hospitals, network garages and branches • Link new policies and non-HDFC ERGO polices • Quick access to towing and ambulance contact details • View and E-mail Health Card • Contact information of branches and customer care available at your fingertips • Product information & FAQs Fitness Discount for health policy customers Book your doctor's appointment, search a diagnostic center and get connected with more than 7000+ Cashless Network hospitals. Tele clinic with online consultation  Services:  • Register and track claims • Sync data and get updates at regular intervals • Get quotes and buy new policies • Renew policies and set up renewal reminders • Create service request for changes in policy details • Check renewal premium  Utilities:  • Login using registered mobile number • Tag and store important document with eLocker • Receive regular wellness tips • Get insights into your how you drive with Drive Safe  Smartwatches with WEAR OS from Google:  With our Wear OS Watch app, See a unified view of policy and claims, Geo co-ordinates-based location search linked to Google maps for cashless hospitals, network garages and branches, Quick access to towing and ambulance contact details, Tele clinic with online consultation, and much more.   Required Permission:  • Contacts/Phone - Add/Call emergency contact from ""HDFC ERGO Insurance Mobile App"" app to your phone contact list • Camera/Storage - To capture a photo or pick an image from the gallery in order to upload images in claim registration, e-vault, and other modules • Location - Show nearby location service like cashless network and other modules • Overlay - To show notification over the app while the application in the foreground and to avoid unnecessary notification status bar  About HDFC ERGO:  HDFC ERGO General Insurance is a joint venture between HDFC Ltd. and ERGO International AG, the primary insurance entity of Munich Re Group. The company offers a range of general insurance products in the retails space, like Motor, Health, Travel, Home, and Personal Accident Insurance, and customized products like Property, Marine, and Liability Insurance in the corporate space."
2417A37B56FD9AA93CDFA2C11EACEF1720CC4D17DE071D48556DC42F844AD1B8,com.nextcare.app,MEDICAL,"Take control of your health with MyNextcare App  Nextcare insured members have a wide range of features at their fingertips that can help make their journey easier. Whether it's submitting and tracking claims, viewing policy benefits, issuing your insurance certificate, booking medical appointment or accessing your digital health insurance card, the MyNextcare app is here to help you with your health journey.    Here are our top features:  -Healthcare provider  We offer insured members the largest healthcare network for accessible and value-added services. Locate, contact, and reach easily a hospital, clinic, pharmacy, lab, or any medical facility.  -Submit & track medical claims  Insured members can submit claims by uploading medical documents through the app and get reimbursement by the desired payment method.    -Symptom checker  The symptom checker feature enables insured members to reduce unnecessary visits to the doctors as well as to identify emergency condition earlier.   -Teleconsultation  This is the fastest and easiest way to see a doctor. Video consultation allows highly qualified doctors to quickly and conveniently examine symptoms, provide diagnoses, make treatment recommendations and advise on required medications.    -Appointment booking  Insured members are able to search for providers and over 20,000 doctors based on specialty, language, availability, location, and rating. Members are able to get pre-approval & a quote for an appointment.      Get the most out of our services by downloading the MyNextcare app."
254589A5C7A32E272C55BDB5CB48FB5CE85DD76034F5A25068763047ED4E41AC,com.lemonadeinc.lemonade,FINANCE,"Lemonade offers renters, homeowners, condo, car, pet health, and term life insurance powered by tech and driven by social good with instant everything.  We use bots instead of brokers. No paperwork, no hassle! Get an insurance quote in minutes. File claims from your phone - anytime, anywhere.    SOME QUICK LEMONADE STATS   • Starts as low as $30/mo for car insurance, $5/mo for renters, $25/mo for homeowners, $12/mo for pet, and $9/mo for term life.  • Financial rating of ""A"" exceptional  • Reinsured by the most trusted names on the planet  •  Super fast and easy to use       WHY LEMONADE FOR INSURANCE  • No Hassle: There's no need to wait around for snail mail or talk on the phone w/ agents - get a policy with the Lemonade app whenever and wherever you are.  • Bundle and save! We'll automatically apply your bundle discount to any combination of our products   • Socially Driven: As a B-Corp, social good is baked into our business model: we take a flat fee, use the rest to pay claims (super fast!), and give back what's left to charities you care about with our renters, homeowners, car, and pet products. Lemonade also plants trees based on our drivers' mileage to help clean up carbon emissions.  • Devoted Team: Our powerful tech and automation free up our dedicated customer experience team and claims specialists to help you when you need it most.     HOW LEMONADE IS DIFFERENT  • Live Policy: Want to personalize your coverage? Add your sig other? Cancel your policy and get a new one at a different address? Do it all with a couple of taps on your phone.  • Instant Claims: Seamlessly file claims from your phone - anytime, anywhere. Our AI runs 18 anti-fraud algorithms, and if your claim is instantly approved, you'll get paid in 3 secs.  • Adjustable coverage: For your home, car, pets, personal property, liability, and more. Get your stuff covered whether it's at your home, or on the go.   LET'S MAKE LEMONADE!   WANNA BE FRIENDS?  • facebook.com/lemonade  • twitter/lemonade_inc  • instagram.com/lemonade_inc  • instagram.com/lemonade_pet  • youtube.com/lemonade_Inc  • tiktok.com/@lemonade.inc   YOU'RE INSURED BY LEMONADE:  • Get questions answered by our team online or over the phone. • Download and share proof of property and home insurance on your mobile phone. • Adjust and update your policy for your home insurance coverage whenever and wherever. • Protect your favorite items, at home and away.   THE LEGAL STUFF  Terms of Service: lemonade.com/terms-of-service  Privacy Policy: lemonade.com/privacy-policy  Legal Stuff on Lemonade: lemonade.com/legal-stuff   Cheers for reading all 2,518 characters! Give yourself a pat on the back ;) If you want more Lemonade, visit us at lemonade.com/blog"
2F0806BE980E9018F95B1B22E6E907D6CECF797C910962680D98734B3AD1E169,dental.beam.beamapp,HEALTH_AND_FITNESS,"The Beam app provides easy access to benefits information including insurance cards, plan details, and claims status. It also syncs with the Beam Brush to display brushing history, allow users to adjust brush settings, and check the status of their Beam Perks."
