sha256,pkgName,categoryID,description
2D3732067CE2CA53FEEFFA8B8F4BE68DFD2E6C56990D69140436AEB1568C9C09,nl.mobilock.csa2,LIFESTYLE,"The Mobilock Bike Sharing app allows you to find project near you and enables you to Book and Rent a bike via Mobile Phone.  Sharing made easy with Mobilock Locking and Bike sharing management technology for Public, Big and Small asset sharing projects.  Our mission is to achieve the optimal balance between Safety, Usability and Management. Download the app and start renting bikes at one of our public projects."
90CCCC9AF076B0DE45AB9E01AA4E84CBCA34CAD7F30ACA0F5E5EBCC1C6875CAC,com.usmeew.ume,AUTO_AND_VEHICLES,"Moving and travelling around Singapore? Ride along with SG Bike, Singapore’s local bike sharing operator! Psst, if you haven’t heard, you can now also unlock Mobike bicycles using our app!  Find our bicycles and get around your destinations in a healthy, fun, and affordable way!  With no deposits, simply SCAN, UNLOCK, RIDE!  How SG Bike works: • Launch the app and locate the nearest bicycle • Scan the QR code on the bicycle and wait for the lock to unlock • Check the bicycle before taking a fun and healthy ride to your destination • Once you have arrived at your destination, lock up the bicycle, tap end trip, and scan the yellow QR parking area at the designated area to complete your ride  Download the app and start riding with SG Bike!  Want to find out more or give us suggestions? Drop us an email at support@sgbike.com.sg or visit our website at www.sgbike.com.sg now!"
9EEA441B3A564A7638423C4137E94F3182A2F7AF6D8EA173BB02931DA3884054,uk.gov.tfl.cyclehire,MAPS_AND_NAVIGATION,"Santander Cycles is the self-service, bike-sharing scheme for short journeys in inner London. The official Santander Cycles app from Transport for London is the only app to send bike release codes straight to your smartphone. So you can skip past the docking station terminal and get on your bike quicker. Simply register with your bank card, and use the app to ‘Hire now’ from a nearby docking station. Follow the instructions to get your bike release code. Tap the code into the docking point and you’re good to go!  You can also: • See up-to-the minute information about which docking stations have bikes and spaces available  • Plan a journey with an easy to follow map  • Receive notifications – for example, summarising the cost at the end of your hire  • View your recent journeys and charges • Save your favourite docking stations • Become a London Rider - complete challenges and hire cycles to earn entries into a weekly prize draw!  Each bike release code is valid for 10 minutes at your chosen docking station. Please note the app doesn’t reserve bikes. If there are no bikes available at the docking station, don’t worry. Use the app to find a nearby docking station with bikes, and get another bike release code to use there. You won’t be charged until you use the release code. You must be 18 or over to hire a bike, and 14 or over to ride one. For full Santander Cycles terms and conditions, see tfl.gov.uk/santandercycles"
D141488914EBEAF448FDCA01F2DBA21C9357AF6B333BE63E9E6C589B4F804060,pbsc.cyclefinder.tembici,MAPS_AND_NAVIGATION,"See where the bikes and docking points are available at stations in your city.  Purchase subscriptions and rent bikes directly from the app!   You can also use the Bike Itaú App to:   • Purchase a bike sharing subscription directly from the application  • Rent a bike and get a ride code for any station  • Find nearby stations manually or using your device’s GPS  • Find available bike or free docking point  • List view of available bikes and docks  • Add stations to your favorites list • Find a route to your destination and get the distance & elevation to get there • Track your rides with GPS  • Get key stats like: time, distance, average speed, elevation, calories and saved CO2  • Collect those data in a personal history log  • Set goals to reach for specific achievement within your own given period  • Set a timer or countdown to better manage the length of your trip"
9F8DB6C984E402AA7A95D340F9A311278A897D733710B8C36B5B0005D1366467,com.bcycle,TRAVEL_AND_LOCAL,"The BCycle app lets you use bike share for transportation, play, fitness, and more by allowing you to explore your community or new city in a way that is fun and convenient with useful information right at your fingertips.  Fav Features: -    Checkout bikes  -    Locate bike & stations  -    Get directions  -    Purchase memberships -    Track your trips -    And more!  To view all cities, visit <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.bcycle.com%2Fcities&sa=D&sntz=1&usg=AOvVaw0B-xWS7EVNWyxz0kFdQicK"">bcycle.com/cities</a> Have a question about BCycle? Visit <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.bcycle.com%2Fhelp&sa=D&sntz=1&usg=AOvVaw032OFJLhXvZeCJtZpxzONZ"">bcycle.com/help</a>"
611FA2BBD3B4913739FA920936C9D93CC2A033AC52F87910884330973F5765F9,pbsc.cyclefinder.tembicinosponsor,TRAVEL_AND_LOCAL,"How about trying a new way to get around? Rethink your routine, recreate your paths and transform your city – one ride at a time.  With the Tembici app, you can create an account and find a bike next to you in a few clicks 📱❤️  To start riding just download the app, choose the ideal plan for you and unlock your bike at a station. Then just enjoy your trip! 😊  Ride with ease, taking advantage of all the comfort and safety of our bikes that are always kept in check and ready to take you wherever you want.  Join this movement of transformation of urban mobility you too 😉🚲"
5006F140A9A2F18CAEBC279EDB4000009013F95FE6CBB5766C1F3AB73E76352D,com.choosit.smoove,TRAVEL_AND_LOCAL,"The Mobi by Shaw Go app is your best tool for using bike share in Vancouver. Our classic bikes and e-bikes can be unlocked from one station and returned to any other station in the system, making bike share ideal for getting around the city. Use the app to sign up, find real time availability of bikes and docks, check your account details, and get directions to the nearest station.  From the app, you can purchase Pay Per Ride, 24 Hour, 30 Day, and 365 Day (annual) passes.  You’ll find Mobi by Shaw Go stations conveniently located near designated bike routes, commercial centres, and public transportation hubs including SkyTrain stations. Use it to commute, run errands, or explore the city!"
F89EF182A1975D64042CD8C5DE49D533DBA8E480E2ADAFCC04D84D0E94FF5102,de.bahn.callabike,TRAVEL_AND_LOCAL,"With Call a Bike you are always spontaneously and flexibly mobile. Whether on the way to work, in the evening or during a city trip, with Call a Bike you can rent a bike cheaply at any time and anywhere in Germany.  A total of 13.000 bicycles are available in over 80 cities - including the StadtRÄDER from Hamburg & Lüneburg.  In the app, all bikes are displayed on an interactive map and can be rented on site via QR code or by entering the bike number.  Now you can pause a ride at any time! Simply activate it in the app. Then push the red lever on the lock down. Your paused bike is marked red on the map.  To return the bike, simply drive to a station and press the lock lever down. Do you want to spontaneously park your bike outside our stations? No problem! With only 1 Euro Flex-Fee you are flexible. A service fee applies in the grey areas of the map. You can see the details of your journey and the costs at any time in your bookings. Other options within the app: redeem voucher codes, report damage and manage your customer account.  So what are you waiting for? Register directly via the app and you can hop on and start cycling.  Do you like the app or have feedback for us? Then please rate us here in the App Store, on Facebook or Instagram.  Have a nice ride. Your Call a Bike Team"
423DFD950915D9F6FEEDD227B4E6CCE506569D295160A977352F8A92943CCC5C,de.nextbike,TRAVEL_AND_LOCAL,"Find your bike, get on it, and start cycling immediately - around the clock, with your smartphone! All you need is the nextbike by TIER app. It simplifies rentals, returns, and always shows you bikes near you.   To rent, simply select the bike, scan the QR code or enter the bike number - and off you go! You can return your bike at one of our stations or in the flexzone. The map function in the app helps you to find the right return location. With our app you have everything at a glance: manage your customer account, redeem vouchers, discover news, give feedback or contact our customer service.   The app can be used for all nextbike brands. Once registered, you can also ride in other brands. From now on, TIER vehicles will also be displayed in selected cities on the nextbike by TIER app. You can rent these vehicles via a deep link in the TIER app.   Once you register in your favorite city, you can ride a bike in all the other cities, too like e.g. Styr & Ställ in Gothenburg, City Bike Linz, or Arriva bike."
10950C428D65B9E07FE0024EACCFF2B7947F187F5038A79F30809B02DB7A55B8,no.urbaninfrastructure.bysykkel,TRAVEL_AND_LOCAL,Use your phone to unlock city bikes all over Oslo! This app makes it easy to locate a bike nearby and see which locks are available while riding.  This is the official app from Oslo City Bike.
