sha256,pkgName,categoryID,description
4D8C739E115E7AAF824DDA3F2A55667459C48C2F140D15EADFD6D3D6271BB0B3,com.google.zxing.client.android,SHOPPING,"Scan barcodes on products, or Data Matrix and QR Codes containing URLs, contact info, etc.  Note that this app can no longer be updated on Google Play, and there will be no further releases.  Almost every question and negative review comment is addressed by one of the following. Please save everyone time by reading these first:  Nobody is stealing your information. The app allows you to share contacts, apps, and bookmarks in a QR Code. This is why contacts permissions are needed. See ""Visit Developer Website"" below ( https://github.com/zxing/zxing/wiki/Frequently-Asked-Questions ).  If your device is not scanning, first try workarounds for device bugs in Settings. Enable all of them, and then try disabling one at a time to determine which is necessary. If this does not help, try clearing the device cache and settings from Android settings.  This app has never had advertisements, and never will. If you are seeing ads, it's from 3rd party malware, that among other things, is also review-bombing this app with claims of adware. This is entirely false."
2C084E662D0D13BD2C77796F9FFD7CACA33571DD9025AAC9C34DFA67D4906203,app.qrcode,TOOLS,"Looking for a super-fast and secure QR code scanner for Android? Our QR Code Scanner & Barcode Reader for Android is just what you need! With the ability to scan all standard 1D and 2D code types, including almost all QR codes and barcodes, this all-in-one scanner is simple and easy to use. Check out the other features of our QR Code Scanner & Barcode Reader for Android:  ●Simple & easy to Use: very easy-to-use QR code scanner for android, just open the app & it scans & reads the code right away ●Instant scan: very quick & instant QR code scanner for android ●No internet connection required for scanning QR code or barcodes ●Flashlight supported ●Scan history saved  Download this must-have QR Code Scanner & Barcode Reader for Android now and simplify your scanning needs! If you have any questions or concerns, please don't hesitate to contact our QR Code Scanner team at honestlyapp.questions@gmail.com.  【COPYRIGHT INFORMATION】- QR Code Scanner All app icons used in screenshots and feature graphic have gotten authorization from its company in advance. If there is any other question or advice, please feel free to contact us: honestlyapp.questions@gmail.com"
C7151DD92D9C08B9209D39ECD42436674F8AC71C7DBC28FF83F9FC859B4907FB,com.gamma.scan,TOOLS,"QR & Barcode Scanner app is the fastest QR code scanner / bar code scanner out there. QR & Barcode Scanner is an essential QR reader for every Android device.   QR & Barcode Scanner / QR code reader is extremely easy to use; with quick scan built in simply point QR code scanner free app to QR or barcode you want to scan and QR scanner will automatically start scanning and QR scan it. No need to press any buttons, take photos or adjust zoom as barcode reader works automatically.   QR & Barcode Scanner can scan and read all QR codes / barcode types including text, url, ISBN, product, contact, calendar, email, location, Wi-Fi and many more formats. After scan and automatic decoding user is provided with only the relevant options for individual QR (qu r code) or Barcode type and can take appropriate action. You can even use QR & Barcode Scanner to scan coupons / coupon codes to receive discounts and save some money.  QR code scanner for Android, barcode scanner app is also QR code generator in your pocket. Using QR generator is extremely easy to use, simply enter the data you wish on QR code and click to generate QR codes.  QR codes are everywhere! Install qrcode reader app to scan QR code or to scan barcode on the go.  Barcode & QR Scanner app is the only free qr code scanner app you will ever need. Turn on the flashlight for scanning in the dark or use pinch to zoom to scan QRs far away.  With barcode reader app you can also scan product barcodes. Scan with bar code reader in shops and compare prices with online prices to save money. QR & Barcode Scanner app is the only free QR code reader / barcode scanner you will ever need.  Other functionality of QR code reader / QR code scanner: Create QR, Scan QR from image, Scan QR from Gallery, Share your contact info via QR, share images to scan from other apps, generate QR codes from clipboard content, change color, theme of the app, use dark mode, use Batch scan mode to scan multiple QR codes at once, export as .csv .txt, import .csv, add to Favorities, easy share... You can also use QR code scanner for wifi password QRs."
94919E3553A6AC60FF7A19B1138A5932D5B24AE0DFEF3ECBDC7740C400726E16,la.droid.qr,PRODUCTIVITY,"Change your smartphone into a powerful QR Code, Barcode, and Data Matrix scanning utility. Import, create, use, and share data in a matter of taps.    This intuitive, full-featured and multi-language QR utility will change the way you interact with QR Codes and their smart actions and activities.   Get the app PCWorld and Android Magazine awarded 5 out of 5 Stars. QR Droid allows you to digitally share just about anything.  THE LATEST VERSION’S FEATURES INCLUDE:  - A tap on the Menu button acts as a Home button to bring you to the top of the menu tree.  - Intuitive, more aesthetically pleasing UI - Easily scan and create QR Code, or even edit one you've just scanned - Auto-sync your data on your own Google Drive account - Sort and group your history to help you quickly access your most-used QR Codes.  - Amazon Store location bug fixed to ensure relevant store will appear wherever you are.    ALL FEATURES  QR Droid is true to its roots: a first class scanner. All the features you would expect to have, and more, are right here!  - Create a code from a contact or bookmark and let a friend scan it to their device – no typing needed! - Map where you are and where you're going to, share it with friends, colleagues and family. - Scan a QR Code in a magazine and watch a video immediately. - Scan QR Codes from your camera, browser, SD card, or saved image. - Create and share QR Codes in less than a second from maps, contacts, bookmarks, installed apps & more - 'Inbox' and 'Feedback' options. Receive important updates & give feedback directly to QR Droid’s support team using the in-app messaging system. - Create XQR Codes for massive ‘Plain Text’ and ‘Contact’ QR Codes. - USSD codes are never opened automatically, preventing remote wipe attacks of your device. - Add QR Droid Widgets free to help you get the most from QR Droid. Install a widget on your Android homepage to take you directly into the specific part of the app you use most: create business cards, history, bookmarks and others. Download QR Droid Widgets at http://0.qr.ai or use the pre-installed widgets in the QR Droid app. - Zap a QR Code to gain access to private WiFi networks.  PERMISSIONS  & USABILITY  Designed with security as a top priority, the best QR utility on the market offers a simple interface with abundant functionality  This functionality for improved usability requires access to certain permissions in your device.   ***** View the detailed permissions: http://qrdroid.com/adhoc/permissions.htm.  ***** View how to Scan & Create QR Codes & Barcodes: http://qrdroid.com/adhoc/how_scan_create.htm.  SOCIAL  - Like us on Facebook: https://www.facebook.com/qrdroid. - Follow us on Twitter: https://twitter.com/QrDroid. - Visit http://www.qrdroid.com for more info and our blog.  DISCLAIMERS  - 'QR Code' is a registered trademark of Denso Wave Incorporated. - QR Codes ARE NOT recommended for use with confidential/secret information. - QR Droid™ uses ZXing library. Apache License 2.0.  Direct download installable QR Droid™ APK here: http://qrdroid.com/apk/QrDroid6.8.apk  * If your device doesn't have Google Services you can try this version instead: http://qc.qr.ai"
CDCE07332EFAC96441570B9DCBD76CC6D60D0D28C4892498DDB23374D173D626,com.ScanLife,SHOPPING,"Fast, secure, and easy to use QR Code and Barcode scanner – FREE Download.   QR Codes are everywhere - get to scanning today!   Discover more about your favorite products, brands, restaurants, retailers and more today. Simply point scanner window over the QR Code or Barcode you want to scan and app will automatically display requested information.   Updated features include: -New attractive user interface -Additional security feature alerts you when scanning an unsecured code -QR codes on menus or venues now provide location, reviews, ratings and additional information -Learn more about products’ nutritional facts and health score by scanning products barcodes -Browse new products and experiences scanned by other users -Saves scans in your History tab for quick reference to your favorite codes  -Share with family and friends via text, WhatsApp, email, Facebook or Twitter -Decode all QR codes today: access contact details, URLs, phone numbers, email addresses, calendar event, and more -Supports all major barcodes and 2D code formats -Any questions? Contact us directly from the app   Additional information: Scanlife works with third parties to collect certain non-identifying information about your interests, including aggregate level and/or anonymous information, to provide targeted advertising and analytics services on our application, or across other sites and other applications. These entities may use technologies to collect information about your use of our mobile applications, including device attributes such as: operating system, hardware version, device settings, IP address, time zone, device carrier, applications installed on the device, and device advertising identifiers. We may share and allow our third-party partners to share this non-identifying information with other third parties that perform targeted advertising activities across other apps and websites. Data collected from a particular device may be used on a different device linked to the device on which the data was originally collected. Any choice made by you regarding Scanbuy’s collection of data on one device will be reflected on the other device(s) linked to that device. You can disable this data collection at any time by choosing “Limit Ad Tracking” in your device settings."
F9966171933714A89091790CD0EAF851863AB82F381A7F125ABABE52690C256E,com.teacapps.barcodescanner,PRODUCTIVITY,"QR & Barcode Reader is a modern QR code scanner and barcode scanner with all the features you need.  Scan any QR code or barcode to get additional information including results from popular online services; <i>Amazon</i>, <i>eBay</i> and <i>Google</i> - 100% FREE!  <b>ALL COMMON FORMATS</b> Scan all common barcode formats: QR, Data Matrix, Aztec, UPC, EAN, Code 39 and many more.  <b>RELEVANT ACTIONS</b> Open URLs, connect to WiFi hotspots, add calendar events, read VCards, find product and price information, etc.  <b>SECURITY AND PERFORMANCE</b> Protect yourself from malicious links with <i>Chrome Custom Tabs</i> featuring <i>Google Safe Browsing</i> technology and profit from shorter loading times.  <b>MINIMAL PERMISSIONS</b> Scan an image without giving access to your device storage. Even share contact data as QR code without giving access to your address book!  <b>SCAN FROM IMAGES</b> Detect codes within picture files or scan directly using the camera.  <b>FLASHLIGHT AND ZOOM</b> Activate the flashlight for reliable scans in dark environments and use pinch-to-zoom to read barcodes even from far distances.  <b>CREATE AND SHARE</b> Share arbitrary data such as website links with the built-in QR code generator by displaying them on your screen as a QR code and scanning them with another device.  <b>CUSTOM SEARCH OPTIONS</b> Get specific information by adding custom websites into the barcode search (i.e. your favorite shopping website).  <b>CSV EXPORT AND ANNOTATIONS</b> Manage unlimited history and export it (as CSV file). Import it to <i>Excel</i> or save it to any cloud storage such as <i>Google Drive</i>. Annotate your scans and manage product inventory or implement quality assurance in your small business!  Enjoy one of the best QR code reader apps available for smartphones and tablets running Android 6.0 or higher.  Supported QR codes: • website links (URL) • contact data (MeCard, vCard, vcf) • calendar events • WiFi hotspot access information • geo locations • phone call information • email, SMS and MATMSG  Barcodes and two-dimensional codes: • article numbers (EAN, UPC, JAN, GTIN, ISBN) • Codabar or Codeabar • Code 39, Code 93 and Code 128 • Interleaved 2 of 5 (ITF) • PDF417 • GS1 DataBar (RSS-14) • Aztec Code • Data Matrix  <i>QR Code is a registered trademark of DENSO WAVE INCORPORATED in the United States and other countries.</i>"
7F7D471F80014073C66697FF2836765A6D10C73917D381D3E1B22492EED87276,net.qrbot,TOOLS,"Scan all kinds of QR codes and barcodes with the QRbot QR code reader. Quickly access functions relevant to your scans: For example, add contact data to your address book or connect to a WiFi hotspot with a single click. Easily share arbitrary data such as website links by displaying them on your screen as a QR code and scanning them with another device.  <b>ALL COMMON FORMATS</b> Scan all common barcode formats: QR, Data Matrix, Aztec, UPC, EAN, Code 39 and many more.  <b>RELEVANT ACTIONS</b> Open URLs, connect to WiFi hotspots, add calendar events, read VCards, find product and price information, etc.  <b>SECURITY AND PERFORMANCE</b> Protect yourself from malicious links with <i>Chrome Custom Tabs</i> featuring <i>Google Safe Browsing</i> technology and profit from shorter loading times.  <b>MINIMAL PERMISSIONS</b> Scan an image without giving access to your device storage. Even share contact data as QR code without giving access to your address book!  <b>SCAN FROM IMAGES</b> Detect codes within picture files or scan directly using the camera.  <b>FLASHLIGHT AND ZOOM</b> Activate the flashlight for reliable scans in dark environments and use pinch-to-zoom to read barcodes even from far distances.  <b>CREATE AND SHARE</b> Share arbitrary data such as website links with the built-in QR code generator by displaying them on your screen as a QR code and scanning them with another device.  <b>CUSTOM SEARCH OPTIONS</b> Get specific information by adding custom websites into the barcode search (i.e. your favorite shopping website).  <b>CSV EXPORT AND ANNOTATIONS</b> Manage unlimited history and export it (as CSV file). Import it to <i>Excel</i> or save it to any cloud storage such as <i>Google Drive</i>. Annotate your scans and manage product inventory or implement quality assurance in your small business!  Enjoy one of the best QR code reader apps available for smartphones and tablets running Android 6.0 or higher.  Supported QR codes: • website links (URL) • contact data (MeCard, vCard, vcf) • calendar events • WiFi hotspot access information • geo locations • phone call information • email, SMS and MATMSG  Barcodes and two-dimensional codes: • article numbers (EAN, UPC, JAN, GTIN, ISBN) • Codabar or Codeabar • Code 39, Code 93 and Code 128 • Interleaved 2 of 5 (ITF) • PDF417 • GS1 DataBar (RSS-14) • Aztec Code • Data Matrix  <i>QR Code is a registered trademark of DENSO WAVE INCORPORATED in the United States and other countries.</i>"
F2F2DDC014CAFF66F31D6C04CC14AB57446E072954F8A8C3B7240611711B0301,tw.mobileapp.qrcode.banner,TOOLS,"Description  Key features of QR code reader / QR code scanner for android •  free extreme QR code reader app •  free lightning QR code scanner app. •  free Barcode scanner app •  free Barcode reader app  Simple user guide as following:       To scan the QR code / Barcode , simply open the QR code scanner / Barcode scanner app free, align the code. QR scanner / Barcode scanner app free will automatically recognize any QR code. To scan QR code / flashcode, if the code contains a URL, you can open browser to the site by press browser button . If the code contains only text, you can instantly see."
96C7B5EEEDC4F6C74CDD6490462035FA191F3D2D0AC6C6FD7C04B7F0FF521CF7,com.application_4u.qrcode.barcode,SHOPPING,"Install QR code reader app free for Android to upgrade your smartphone as QR code scanner to scan QR code from picture  QR code reader app for Android is lightning speed QR code scanner and Barcode scanner app to access promotion via QR code.  To scan QR code and Barcode , just place the QR code and  Barcode in center of screen.The QR code scanner app free decodes the QR code and Barcode  also flashcode automatically and show you the info with button for next action. more and more promotion and discount via scan QR code and Barcode also flashcode, you can check out the promotion easily.  To scan QR code and Barcode from existing photo in the gallery can be done in seconds.  Features of QR code reader app for Android - Fastest  - Accurate and robust.  - Many data type supported. - To connect WIFI hotspot. - To find the location. - with Flashlight and Torch feature. - many type QRcode supported. - Zoom In and Out supported. - Scan QR code & Barcode and flashcode from photo. - Barcode generator - QR code generator"
40BDA6C12DBFF112B81027CAC494C9594F22FE55D25B2AFFB2312D362167F4AC,com.arara.q,PRODUCTIVITY,"The fast no advertisement QR Code® reader app, ""Q"", upgraded with new app name, ""QRQR""!  In addition, ""QRQR"" has numerous new features other than reading QR Code® fast!  - Login Function The login function is added from this version. If you register an account, you can transfer the app data to another devices. [Caution] You need to backup from the app menu before you transfer the app data.   As same as before, small QR Codes® and detailed QR Codes® which are difficult to read are still easily and fastly readable. Moreover, the app can read barcodes and Frame QR® which is developed by DENSO WAVE INC. The app can also create a QR Code® and share on SNS.  *AR function is disabled from version 2.0.  ========================== Functions ========================== ・QR Code® Reader (Reads QR Code®) ・Barcode Reader (Reads barcodes) ・Automatically generate links to product pages of services after reading barcodes.  ・Read FrameQR® ・Read QRQR Wi-Fi ・Preview Web sites ・Login and transfer functions ・Display confirmation messages ・Read / delete read history ・Copy read-out contents ・Create QR Code® (generated from the text, URL, contact, and/or a map) ・Compatible with URL Scheme (Direct launching from other apps)  Launch command is ""qrqrq://""  ========================== New Features ========================== ver 3.0.0 ・Change the app name ・Login and transfer function  This app asks information access permission to enable features below.  The permission can be changed on the device settings. Please change the settings depends on your use.   ■Contact information To create a QR Code® for contact information (The permission could be disallowed if you do not need the function).  ■GPS Information To create map QR Code® and connect to QRQR W-Fi. The GPS information is only used inthe device and it is not sent to our servers.  ■Access to photos To read QR Code® inside pictures on the devices.  ■Access to cameras To read QR Code® on the phone  *QR Code®、FrameQR® are registered trademarks of DENSO WAVE INC. *DENSO WAVE INC. is a subsidiary of Denso Corporation. *""QRQR"" use QR decode engine developed by DENSO WAVE INC."
