sha256,pkgName,categoryID,description
ACC70059C7417DEDBCD23D29CD4259439DE13010EF27019ACEA2A2F626277847,com.timesgroup.magicbricks,HOUSE_AND_HOME,"Magicbricks is one of the leading real estate apps in India. We bring you the most intuitive property search app experience in India. Whether you are looking for a home on rent or sale, our app leaves no stone unturned to offer the most relevant options for flats for sale, houses on sale and plots for sale. Browse through our range of flats for rent or house for rent or PG / hostel rooms for rent and select the ones in your budget. We are one of the top commercial property apps in India too with maximum options available for shops for rent, shops for sale and office space for rent or sale. At the same time, this free real estate app makes it equally easy to sell property online with just a few steps.  The App takes you beyond the usual facts and brings detailed info to help you narrow down your search. Zero-in on a property with confidence. The App leads straight to what you are looking for with its quick & advanced filters, Neighbourhood, Facilities, Exact Location, Prices & more. Further, the app handles all financial transactions for end users safely and securely.   <h1><b>What Makes Our App Unique</b></h1>  <b>In All Cities:</b> MagicBricks caters to all types of property needs in all cities of India. Whether you are searching for flats in Delhi , flats for rent in Mumbai, flats for rent in Bangalore, independent house for rent, PG near you all are listed on our leading house for rent searching app. Apart from these major cities, the app brings property in cities like Hyderabad, Kolkata Chennai, Pune and others.  <b>Paying Guest App:</b> Use Magicbricks for searching Trendy PG/Hostel/Coliving rooms. Choose from range of Branded PGs Zolo, Stanza Living, Nestaway, Housr etc, We offer girls pgs, boys pgs, coliving PGs, pgs with food, student hostels, hostels for girls, pg rooms (single rooms).  Commercial Properties : You can drop by for your commercial needs too. Browse through a range of office space for rent or shops on rent and get maximum options in your budget with us.  <b>All Types of Properties :</b> Get various property options like plots for sale, villas, builder floors, houses for lease or sale in Bangalore, Mumbai, Delhi-NCR, Pune and all major cities of India. We also bring a list of co-working spaces where you pay basis per seat.   <b>App Exclusive Owner Properties:</b>Get details of more than 20K+ properties available only on the app.  <b>Smart Integration:</b> Our App smartly locates properties that lie within your preferred locality and budget. With the help of our smart integrations, you get customised property recommendations closely matching your requirements.  <b>Intelligent Filters:</b> We bring for you the most relevant property options with our intelligent filters to narrow them down and ensure their relevance.  <b>Personalized Dashboard:</b> Keep your favourites handy. See properties you search, view and contact, all at one place.  <b>Landmark Search:</b> Save on your daily commute. Search properties near your preferred landmark and distance to save on your travel time.  <b>Latest Trends with just a Tap</b> Keep a Track. Invest smart. Get to know if the prices have increased in the locality of your choice.  <b>Instant Connect:-</b> Contact the owner/agent with just a tap. Call or get contact details of the advertisers instantly.  <b>Sell Property Online:–</b> Post your property for sale, rent, or lease on this leading house selling app. Showcase your property to 1.5 million buyers. Manage your responses on the go and sell flat or rent out a room or property faster with us.  <b>Real Time Updates:-</b> Create alerts and get notified for newly added properties for sale, rent, or purchase.  <b>Newly Added Projects:-</b> Check out the new and upcoming projects along with the amenities and neighbourhood. Get under-construction and ready to move in properties in the city and locality of your choice.  Take us closer to your experience on our App. Rate us or share your feedback with us."
834B3C7CA82AEF65FCD14FE17A4CE41C204020E97350487551DDE816F4243F5D,com.purplebricks.app,LIFESTYLE,"Purplebricks  Estate Agent  Every detail of your sale or purchase at your fingertips. Even if you’re leaving most of the work to your Local Property Expert, you can control your sale or purchase through your app.  •    Accept viewing requests from buyers instantly •    Manage your availability through our diary •    Search for properties and book a viewing at your convenience •    Instant messaging between buyers and sellers with feedback provided after every viewing •    See offers the moment they are made and negotiate directly or notify your Local Property Expert to negotiate on your behalf •    Make an offer on a Purplebricks property knowing it’s going straight to the seller •    Keep up to date with the number of views your property advert is receiving •    Change the price, or ask your Local Property Expert to alter your advertising for you  Amazingly transparent and always up to date."
73F4B763EF66117865B2A3308B2E2C2F07B78850084FC359D707000B3CE25F45,com.ire.tenantapp,HOUSE_AND_HOME,"Find your next rental property in Australia and Scotland  If you are looking for a sure fire way to find your next rental property, you've come to the right place. TenantApp streamlines the search process, facilitates enquiries, lets you book rent inspections and tracks all your applications in one convenient location.  Pick your time With TenantApp, you pick an inspection time from a list provided by the agent, that suits your schedule.  Shortlist your favourites Keep track of all your preferred rental properties with our handy shortlist feature.  Plan your day Forget about creating spreadsheets and sticking post-it notes everywhere to keep track of your inspections. Every inspection you book into will appear in your calendar. Our geomapping feature calculates what's realistic and what's not before suggesting inspection times for you.  Complete visibility See the properties you've enquired about, inspected and applied for at a glance in one convenient, centralised location - your Activity tab.  TenantApp Groups Add your partner/friends to your TenantApp group to share your activity and inspections, making it so much easier to find a place with your partner/friends.  Status check The days of calling property managers to check on the status of your application are over. Check the progress of your application from within TenantApp.  Get set to move As soon as you've found your new home, cancel all your future inspections and outstanding applications with one easy notification to all agents.  Australia & Edinburgh You can search for rental properties all over Australia and in Edinburgh ! Looking for a house for rent in Sydney, apartments for rent in Melbourne, Brisbane, Perth, Adelaide and Edinburgh ? We have you covered.    Trusted The real estate agents that use Tenant App include: Ray White, McGrath, RE/MAX, Professionals, First National and many more"
865D4522C3544120B4A3C414D3F910F33A0338947083CEFF7095496A8770DFF0,com.rent.to.ow.houses,HOUSE_AND_HOME,"Renting a home before buying is an alternative and practical path to home ownership. In today's housing market the challenges of buying a home through traditional methods have increased drastically, especially with the rise of investment and short-term rental properties. The rent to own home process affords buyers with poor credit scores, or those who simply lack the large down-payments required to own a home, the opportunity to live in their home while improving credit scores, replenishing saving accounts, and building equity.  WE WANT TO HELP EVERYONE! Rent 2 Own Regardless of your credit situation  Our goal at Rent To Own is to help those that do not know what rent to own is and why it can be a very effective choice compared to renting a house or apartments. The great news is that If you can afford a house for rent or an apartment, then you can afford to rent to own. It’s time to forget the hassle of searching for low income apartments or apartments with bad credit. It’s time to look into owning a rent to own home.  To browse listings, simply click on your location (if listed above) or enter your city and state in the search box. Our listings include:  Rent-To-Own (also known as lease-to-own)  HUD Homes  Rent 2 Own  For Sale by Owner (also known as FSBO)  Foreclosures, Pre-Foreclosures, REO foreclosures, HUD Foreclosures & VA foreclosures  Home Auctions  Short Sales  And more  Browse our extensive database of listings to find homes in your area. You can click on a listing to view more information about the listing as well as important neighbourhood data, nearest schools and more. To access pricing information and to obtain the contact information of the owner, you can register for a trial membership. Our Trial Membership gives you access to many additional features, and we are always working on improving our listings data. You can cancel rent to own your membership at any time – simply contact us by email or phone for assistance, and we will be happy to help!"
0C829D36A2717A4B65FB222B8A13C2195380F4219AF4E32F282E94483709F2F3,app.habitaclia2,HOUSE_AND_HOME,"Buy or rent? Flat, attic, duplex or house? The largest offer of real estate always updated you can find it in habitaclia.  Why use the app:  <b>• Find an apartment, a house, a penthouse, a duplex, a new office, local, ... for rent or sale, you choose</b> We show you all the available properties in the place you select or in the place where you are. Filter the maximum price, the minimum meters, the number of rooms and more criteria, such as houses with pool, new construction flats, floors with lift... the information is always updated.  <b>• Detailed information of the announcements</b> Large photos and videos, so you can get the most realistic idea of ​​the house. The price, the number of rooms, the surface, the description of the apartment, the location...  <b>• Quickly contact the advertiser</b> If you are interested in a home, tell the advertiser as soon as possible. Inform your data, send the request and you will immediately see his/her phone.  <b>• We inform you when there is new announcements</b> Get notifications about new properties or those that change price. We warn you  Save your favorite ads and check them easily. We can also notify you by email if they change the price.  <b>• Quickly access your latest search</b> We take you directly to your last search made to optimize your time.  <b>• Share the announcements with your family and friends</b> Show the flat you have found, ask their opinion, send the one you are going to visit or the one you are about to buy or rent... you can do it by email or WhatsApp and even post them on Twitter and Facebook.  <b>• Discard an ad if it does not fit your preferences</b> Very old? Do not like the distribution? Discard it! We do not show it in your searches anymore. And if you change your mind you can always get it back.  <b>• Do you know exactly where you want to live? Search by map</b> Visualize the properties in a more interactive way on the map of the area you are looking for.  <b>• Thinking renting or selling your home? </b> Publish your ad and change it whenever you want. Manage requests received from users directly interested in the app.   We say “Quan t’ajuden és més fàcil”, that means “when you get help, it's easier!” If you have any further question or suggestion, you can do it from the app or by sending us an email to sau@habitaclia.com"
64DC6F47A5AB4A29B3E84981172D15599AC18F44902A7D3259613116D62C40BB,com.arvindkum75.Property_For_Sale_Near_Me,HOUSE_AND_HOME,"Property for sale near me is a best android application which help buying and selling home land any type of property. It is very simple and useful app. Via this app you can find direct your client there are no any mediator or broker so you can save your money and time.  There are two factor if you sale your home you can simple signup and upload property image and publish best price if your price is high you can sale long time if you want sale very less time you can save low price and your property home or land sale as for possible.  There are many app available in market but almost app are fraud. There are many app only showing spam and keep your database and sale anther party very good price.  Our app Property For sale near me provide top 10 website link which are white list. Best property for sale deal. Our team always provide best property sale and buy website and app links.  It is simple app for property for sale near me there are 2 step you can upload your property only signup and save property image.  You can find direct owner no which are selling our property so you can sale and buy direct there are no mediator no any type of broker.  Developed by  Laxmi Softech Solution  Android Application, Windows Software & Website Development C-82, Goregoan(E), Mumbai -400062   avadhesh753@gmail.com www.laxmisoftware.com"
09B001F0084C6DDFB48140D298E6F1F574102C72D61150216526F96F581CDDFE,com.remax.remaxmobile,HOUSE_AND_HOME,"RE/MAX is the best way to buy or sell a home.  With more than 140,000 agents around the world, the RE/MAX Real Estate app will help you connect with one near you.  Key Features  The RE/MAX Real Estate app allows you to search nationwide MLS listings, find a community that fits your needs, and get an estimate of the value of your home.  If you're looking to buy a new home, we'll find listings that fit your budget and help you make an offer on one of them. If you're selling a home, we'll guide you through the process and help you close the deal!  Our app makes it easy to keep track of all your favorite listings, share them with friends and family, schedule showings with agents, receive notifications when new listings come up in your area, or connect with RE/MAX agents…the possibilities are endless!"
7C2832DBEE50401A399DB76A722733631CE6E67E38CD434D681D86A0FFF739C1,com.homes.homesdotcom,HOUSE_AND_HOME,"Simply Smarter Home Search.  With Homes.com in your hands, you’ll have access to millions of homes for sale and for rent throughout the United States. We’re putting the fun back into the home search process. With our real estate app, you’ll be the first to find newly available homes in your local neighborhood. Enjoy our interactive maps, high-res property photos, live mortgage rates and tons of useful home buying tools.   Explore houses, condos, apartments and townhomes through a simply smarter home search experience.  And if that’s not enough to convince you, we also ensure quality listings on Homes.com through our partnerships with MLS boards and local data providers. You can find homes on our app that are not listed anywhere else - making you a happy shopper & us the happy provider.   Here’s an at a glance view of what the Homes.com App offers:  • Homes for Sale: Browse millions of real estate listings for sale across the U.S. including Foreclosures  • Homes for Rent: Find rental homes, condos, townhomes and apartments.  • Full Screen High-Res Property Photos: Everyone loves pretty pictures, especially high detail shots so you can admire those original hardwood floors.   • Map Search: Find nearby homes with the GPS driven location finder. Quickly zoom and navigate neighborhoods with interactive maps.  • Sharing: Share the houses you love with the people you love via text message, messenger, email, or social media.  • Mortgage and Payments: Utilize our built-in Mortgage calculators for help financing your new home. We offer great mortgage options for first-time homebuyers, refinance loans and even special rates for active military members or retired veterans.  • Foreclosures: Search over 400,000 foreclosed homes for sale. Bank owned real estate listings, REO, HUD and more."
0CB3D5EBAB7B09248B6D65291CB253225C54B5CC5766573DE42347EA53D22E0C,es.roid.and.trovit,HOUSE_AND_HOME,"Trovit Homes finds houses and apartments for rent and for sale on thousands of different websites and shows them to you in one place. That way, you  can be sure that you will find your dream home, no matter how hidden it is. Easy, convenient and fast. That’s our promise.   <b>♣ FILTERS TO FIND THE PERFECT HOME</b> Trovit Homes allows you to filter your search results to find properties that are relevant to you. You can select the city, neighbourhood, square footage, price, size, number of rooms and bathrooms and a long (seriously, long) list of other criteria.   <b>♥ DRAW IN THE MAP THE ZONE THAT YOU ARE INTERESTED IN</b> Are you looking for a house or flat for rent or for sale in a very specific part of town? At Trovit Homes you can highlight the exact area that you're interested in on the map and our search engine will look for properties there. You can also save that search, so you can check it again whenever you want to see if there’s a new listing there.   <b>♦ PERSONALIZED ALERTS, TAILORED SPECIFICALLY FOR YOU</b> When you close the app, Trovit Homes keeps working for you. Just create an alert (or several) and we will send you a notification when there’s a new ad that matches your search criteria. <b>We follow thousands of housing websites minute by minute so that you don’t have to</b>. You can create as many alerts as you want to, with your ideal price, your favourite neighbourhood or the perfect combination of lots of factors.   <b>♠ HOW TO FIND YOUR DREAM HOME IN TROVIT HOMES</b> Whether you are looking to buy a home or to rent one, searching on Trovit couldn't be easier.  1. Type your search criteria and select the kind of property you are looking for. 2. If you want to, you can apply filters to that search. You will find the filters in the upper right hand-corner of the screen. 3. Take a good look at all the selected properties. And don’t forget to save the ones you like the most in Favourites! 4. Create personalized alerts for every search you're interested in. You'll be able to activate or deactivate the notifications for each search, both at the bottom of each search results page and in the settings section. 5. We will send you alerts when there’s a new ad that matches all the conditions that you selected.   You can check as many listings as you want, absolutely free.  Just type your search: house, property, condo, flat, rental, foreclosure, sold by owner, realty, mansion, room, studio... even offices or warehouses! You can look for as many listings as you want, and create as many alerts as you want, completely free and with absolutely no limits.   <b>►WHY TROVIT?</b> You have two options when looking for real estate and rentals:you can either try visiting all the websites and services on a daily basis, typing the same search queries over and over, hoping to find the best home before anyone else. Or, you can set up search filters in Trovit Homes, create an alert, and sit back to watch the magic happen. Trovit Homes will be <b>your starting point for an intelligent and extensive search</b>.   Look for properties listed in 19 different languages and in 46 different countries. Trovit Homes includes hundreds of United States based real estate services. Find your dream home in New York, Los Angeles, Chicago, Houston, Philadelphia, Phoenix, San Antonio, San Diego, Dallas, San Jose, Austin, Jacksonville, San Francisco, Indianapolis, Columbus, Detroit, Washington DC, and a long list of other towns and cities.  OTHER TROVIT SERVICES Besides Trovit Homes, you can also use Trovit Cars and Trovit Jobs. At Trovit Cars you will find all the listings for second hand cars in one single search engine. Trovit Jobs will help you find your perfect job, searching in several job websites and services in a single search.  If you have any doubts, problems or suggestions, please send us an email at android@trovit.com. If you enjoy Trovit Homes, please review us on Google Play: it helps us grow and maintain a high quality, free service!"
1316F14018B62E0CC8552AB2498EFE340CCF49EFE564779730A30A5A106C5961,com.nnacres.app,HOUSE_AND_HOME,"Offices, Shops, Showrooms for Buy, Sell, Rent in one App.   Welcome to 99acres.com, India’s highest-rated property app for buying, selling and renting real estate. This is the only property app you require for all your real estate needs for searching, shortlisting and finalizing property of your choice. Be it a ready-to-move flat in a new project, investment in shops, offices or showrooms, or girls PG or boys PG in your city, app has listings from qualified property agents & top builders as well as no brokerage properties.  One stop solution for all your housing needs. Search for residential and commercial property options from owners, brokers and top builders on this user-friendly app that has helped millions of users to start their real estate journey with us.  Check key features of 99acres.com real estate app, India’s best and most trusted property search app:  ✓<b>Browse multiple property options across categories</b> in 600+ cities. You can buy or rent flats, houses, plots, farmhouses, service apartments through 99acres property app. In the commercial category, explore office spaces, shops, showrooms, land and plots for buying and leasing.  ✓Explore <b>no broker</b> property options with 99acres where millions of genuine property owners list their 100% brokerage free flats, houses, offices, shops for renting, leasing, selling.  ✓<b>Personalize your search results</b> as per your requirements and save relevant property options for later. Whether you are looking to buy a flat, rent a flat, rent/lease a shop or buy a plot, you can use our smart filters to customize your results.  ✓Research any neighborhood using our <b>Real Estate Intelligence</b> platform on 99acres real estate app where you get detailed, unbiased information about the positives & negatives of localities across the country, based on realistic data points..  ✓To bring genuine information about your preferred society/locality, 99acres house search app has a <b>Ratings & Reviews</b> feature where existing and past residents rate and review their society/locality and give their honest opinion to help you make an informed decision.  ✓Fast-forward your property house hunt using our <b>landmark search on 99acres  app</b> to explore houses, flats, shops, offices in and around your preferred localities.  ✓Track price trends in your locality, city with 99acres property app. Access property transaction prices, locality insights and latest real estate trends with interactive graphs and charts.  ✓Get yourself the best deal on home loans, the best house buying app in India. Check your home loan eligibility, calculate EMI & apply for a home loan, with just a single click.  ✓<b>Create a rental agreement online</b> on 99acres mobile app and get it delivered to your doorstep. Now you can rent a house on the go. It is not just easy but quick and convenient too. Choose a customizable template and leave the rest on 99acres.  ✓Now, <b>pay rent using credit card</b> in an instant on 99acres property app. With minimal convenience charges and transaction fees, improve your credit history and make timely payments without worrying about the low bank balance.  ✓99acres housing app also connects homeowners to homebuyers and tenants. This property selling app for homeowners helps with services like dedicated relationship manager, posting through WhatsApp, etc.  Here is why 99acres is the <b>best real estate app</b>:  ✔️ 4M+ properties to search from ✔️ Backed by AI for faster and efficient property search ✔️ Each listing with detailed information and genuine photos & videos.  ✔️ Similar Localities to search better options in a locality similar to ones you are searching for ✔️ Advance Filter Search with simple steps through India’s No.1 housing app  So, download our app now and start your property search with us right away!  Let us know what you think! Rate our app, or send feedback to feedback@99acres.com"
