sha256,pkgName,categoryID,description
C81B0FF0B79E8786A7AD82F2716A790ADA29500A42827C8FE87C6953590D4015,com.life.palm,LIFESTYLE,"Life Palmistry researches and analyzes features of palm print, palm length, palm width and finger length, and performs professional simulation operations so that we can provide you with palmistry report to help you learn the secrets of your hand. (For entertainment only)  Main functions include:  ✋ AI Palmistry - Through the analysis of standard points and auxiliary lines, we provide you with the palmistry analysis report to provide useful suggestions for your life.  ✋ Time Magic - Time flies, and traces of years will be revealed on the face. We can take you through the future and see yourself more mature in many years.  ✋ Baby Prevision - Baby is the most wonderful gift send by god. Are you also curious how your future baby looks like?  Upload photo and see, right now!  ✋ Change Gender - Don’t you want to have a look at the funny face when you become another gender?  ✋ Daily guide - You will receive an exclusive daily guide to your love, work, wealth and health, and get an early look at what might happen every day.  ✋ Finger Analysis - According to the comprehensive analysis of your fingers, we can provides advice and guidance for your personality and life.  ✋ Hand Analysis - The length and width of the hand mean different secrets. Download it and uncover the secrets!  ✋ Hand Perfection - What is the ratio of finger length to palm length? Come to test whether you have a perfect ratio or not.  ✋ Love Counselor - We will provide you with a love counseling service and you can get advice for your love relationship.  ✋ Career Counselor - According to the career analysis, you can get appropriate suggestion and know which job is good for you.  And more features coming soon..."
7708B7887223B7AFA94AC54BAAD60FFBE956D09E4D96445F676AC1E42B935100,gman.vedicastro,TOOLS,"Decode your future for a better present.  Anticipate upcoming events and direct the cosmic energies of your life toward a positive future outcome.  Navigate through your karmic map with the most comprehensive, life-changing Vedic astrology app.  Consciously allow destiny to unfold with awareness and ensure to maximise your freewill to get the best out of your life.   With Cosmic Insights we help you to understand your karmas and evolve to your fullest potential through the cosmic knowledge of the sun, moon and planets and the Nakshatras.    Features * Most robust and comprehensive birth charts and transit charts to generate your daily horoscope, monthly horoscope and yearly horoscope. * All 16 divisional charts + more! * Shadbala, Ashtakvarga & Prastarashtakvarga,  Avasthas, Argala, Bhava bala, Bhava Chalit chart. * Yogas, Arudha Padas, Jaimini Karakas, Badhaka Planets and more * Panchang: Daily Panchang & Muhurat, Hora, Rahu Kaal, Hindu Calendar with Festivals, Abhijit Muhurat, Panchak, tarabala, Chandrabala etc. * Detailed Nakshatra Analysis including nakshatra of divisional charts, Nadi nakshatras, Nava tara, Tarabala table and more.. * Kalachakra, Narachakra, Drekkanas, Deities of divisional charts, Karmas stored in chakras, Somnath drekkana, Jagannath drekkana, Yogataras,  * Rahu Ketu Analysis,  * Panchapakshi - The most accurate way to predict and plan your day. * Tithi Pravesha - Find your true vedic birthday. * Horoscope Matching: Kundali Matching (Ashtakoota, Dashakoota and modern methods). * Planet dignities across all vargas * Over 15+ Dasha systems  * Remedies to improve relationships, career success, soul planet and more.. * Download PDFs to Print your horoscope reports. * Learn Vedic Astrology using the inbuilt Jyotish reference tables and Karakas module. * GPS support for Prashna Kundli (Horary Charts) and Time Charts * Store thousands of horoscopes that can be viewed at anytime, anywhere. * Offline access to the most important parts of the horoscope analysis. * North and South Indian chart style. * Automatic DST correction. * Chart rotation: click on a house in north Indian chart and it will show new chart with that house as ascendant * Solar Return with Muntha- yearly horoscope reading. * Jaimini Astrology: Chara Dasha, Karakamsha & Swamsha, Atmakaraka and other chara karakas. * Vedic Rituals and Remedies including Nakshatra remedies * Spirituality and mantras * Export, Save and Share charts and horoscopes. * Moon sign calculator, sun sign calculator, lagna calculator, nakshatra calculator and more. * Atma Karaka (Soul planet) calculator, Fortuna point, Destiny Point (Bhrigu Bindu), Yogi Point, Avayogi Point etc. * Hora Lagna, Varnada Lagna, Shree Lagna, Ghati Lagna and more. * Aprakash Grahas and Upa Grahas * Jyotirlinga and Ganesha for your birth chart.  And many more    Subscriptions are auto-renewed at the end of each subscription period(6 months) indefinitely.   1 month subscription is $6.99 (auto-renewed every month) 1 year subscription is $41.99 (auto-renewed every year) Lifetime subscription is $199  - Subscription gives you access to premium features and unlimited usage of cosmic insights including Cosmic Journal, Astrological Charts, Personalized Transits, Auspicious date finder and more.  The subscription will be renewed automatically  if it is not canceled within atleast 24 hours prior to the expiration of the current subscription."
B1D8D4D635B2F3AF1E9F180BAFC8B731E53B4A3931F83970D809C3B0CCC54233,pl.fazi.wacek.horoscope_and_tarot,LIFESTYLE,"This app features a wide variety of Daily, Weekly and  Monthly  Horoscopes, along with Zodiac Sign Compatibility and Tarot Card Readings.  Discover what the future holds for you with accurate daily horoscopes, personalized tarot readings and love compatibility tests.   Detailed astrological predictions available for all signs of the zodiac.  ✨ Free horoscopes: - daily horoscope - weekly horoscope - monthly horoscope - daily love horoscope - weekly love horoscope - monthly love horoscope - daily Chinese horoscope - weekly  Chinese horoscope - monthly Chinese horoscope - Chinese compatibility - Egyptian horoscope - Mayan horoscope - numerology horoscope - numerology compatibility - zodiac profile - friendship profile - birthday horoscope - love compatibility - Sun horoscope - Lunar horoscope  ✨ Tarot Card Readings. - daily tarot reading - love tarot reading - career tarot reading - general tarot reading - egyptian tarot reading - celtic tarot reading - hebrew tarot reading - persian tarot reading - gypsy tarot reading - life purpose tarot reading - runes tarot reading - lenormand tarot reading - health tarot reading - your personal tarot cards  ✨ Astrology for All Zodiac Signs: ♈ Aries ♉ Taurus ♊ Gemini ♋ Cancer ♌ Leo ♍ Virgo ♎ Libra ♏ Scorpio ♐ Sagittarius ♑ Capricorn ♒ Aquarius ♓ Pisces  ✨ Additionally: - Divination - Oracles - Extrasensory Perception - Previous Incarnation - Ouija Board - Death Clock - Rune - Moon Phase - Astrology Calculator - Love Calculator - Palmistry - Love Does Not Love - Biorhythm - Planet Positions"
CC12A18C5D123F8ACDAFD2A81E3BBB3A58B43B24CA46126BEF584B0F82D9D042,com.dailyinsights,LIFESTYLE,"align27 is a journey of personalized self care and time management using the ancient wisdom of astrology.  It’s like having a secret superpower in your pocket - empowering you to manage, maximize and master your own time.  align27 will tip you off about the best time to do things and vice versa, so you can maximise your 1,440 minutes a day and get things done quicker with the results you want.  Have you noticed some days everything just flows and other days it's a struggle - no matter how much effort you put in, things just don’t work out? Why is it that some days are better than others? That’s because, ‘Timing is Everything!’.  This ‘time’ is unique for each of us - one-size-does-not-fit-all. Therefore, personalization is key.  Using advanced technology we decode your birth chart using thousands of time-tested ancient astrology techniques to give you hyper-personalized, real-time personalized data every minute of the day.  Dive into this magnificent world of aligning your work patterns, scheduling your meetings, reserving tricky conversations to optimum times and asking the bank for money, just by referring to align27 for less than 2 mins a day.  You’ll know when to wear your crown and hustle, when to zip your mouth shut and meditate and when to snuggle up and camp out on the netflix-ready couch.  Features Is Your Day Green, Amber or Red?: A world-first traffic light system to tell you how ‘rocking’, ‘mediocre’, or ‘so so’ your day will be. The Cosmic Weather: Your own day in a Cosmic Timeline graph showing the high’s to fly and the lows to doze. Moments: ‘Golden’ for power moments, ‘Productive’ for action and ‘Silence’ for lay low. Planner: An ultimate personalized 90-day calendar mapping out all the above features for the months ahead, including most auspicious “Crown” days. Together: map your birth chart with loved ones/colleagues for prime times like Victorious Days or not so auspicious times like Airplane Mode Days. Calendar: Sync your align27 data (Green, Amber, Red days and Golden, Productive & Silence moments) with your device calendar Rituals: A vedic daily/category toolkit of personalized rituals and tips, equipping you to deal with any moment Profiles: Add profiles of friends and family so you can check their data too. Your Birth Chart: see a snapshot of your/your profile's birth charts. Moon 2.5 - a 2.5 day Moon period when you might feel unsettled called Chandrashtama Manage time like a pro: We’ve got you pro enthusiasts covered with Advanced Rituals and Hora, Panchapakshi, Panchak and Ascendant shown on a real-time grid. Widget: See Now, Hora, Panchapakshi, and Rituals on your home screen Transits: Long-term planetary influences based on the transit of Saturn, Mars, Jupiter, Mercury, Sun, Venus, Rahu and Ketu & a Personal Summary Transit Feed Daily Horoscope: Daily insights based on planetary transits and your birth chart. Discover: Dive into astro news, tips and how-to’s. Widget: See your Cosmic day in a snapshot on your home screen.  align27 Membership 1 month subscription is $9.99 (auto-renewed monthly)  1 year subscription is $79.99 (auto-renewed annually)  A subscription gives access to premium features for multiple profiles.  Lifetime subscription: $249.99 (one time) - All premium features Personalized timing: $29.99 Together module: $14.99  Your align27 subscription will be renewed automatically if it is not canceled within at least 24 hours prior to the expiration of the current subscription. Your Google Play Store account will be charged for each new term within 24 hours prior to the expiration of the current subscription. The current term of In-App subscriptions cannot be canceled. You can disable the automatic renewal via the Google Play Store account settings at any time.  Privacy Policy - http://align27.com/privacy-policy Terms and Conditions - http://align27.com/terms  Follow us: Facebook/align27 Instagram/align_27 Twitter/align27 Blog/align27.club  Email us: info@align27.com"
4B383A69C70B58B53EDB893C095EE1CF4C0A67C15F01631EB8601F5290516D8C,com.ojassoft.astrology,PRODUCTIVITY,"Free astrology software, kundli software and aaj ka rashifal by AstroSage.com in Hindi and English.   Astrology Software features - * Consultation Services - Chat with Astrologer and Talk to Astrologer * Detailed Kundli (Kundali/ Birth Chart/ Personalized Horoscope) * Horoscope Matching: Vedic Kundli Matching (Love Compatibility & Marriage Compatibility) based on 36 Points System * Daily Horoscope: Aaj Ka Rashifal * Horoscope 2022: Get Rashifal 2022 & Astrology 2022 * Calendar 2022: Get Panchang 2022, Holidays 2022 and Festivals 2022 * Free Matrimony: AstroSage Marriage Service  * AstroShop: buy gemstones, rudraksha, yantra etc. * Consult AstroSage astrologers * Many predictions & reports * Parashari Astrology (Shodashvarga, Vimshottari Dasha, Ashtakvarga etc.) * KP System (Krishnamurti Paddhati - Horary, Significator) * Lal Kitab * Large city database * In Sync with AstroSage Cloud and AstroSage Kundli all the time: Save chart in AstroSage Cloud * Mangal Dosha/ Kuja Dosham report * Sani Sade Sati report for whole life * All this in Hindi, English, Tamil & Bengali languages * Get your kundli, tamil jathagam, and bangla kusthi thikuji. Best app for rasi palan and bangla rashifal.  There is no better Indian astrology, Vedic astrology and Hindu astrology app in google play market."
30E09E2B8C48F123B1AEC4E82D358500AC7F8EF9B4FF53BF03458D87A8D52790,ua.maksdenis.timeofbirth,LIFESTYLE,"""Horoscope of Birth"" - a unique application that has won millions of hearts of users, which has no analogues! It helped to determine the right direction in life and tens of thousands of positive comments confirm this.  Why you need to download our application: - Over a million downloads - Highly rated positive user reviews - Small application size with a very powerful filling of information for the user: horoscope, numerology, compatibility, quote of the day, biorhythms and more - Daily update with accurate information - Helps make decisions for the day  📣 A 100% completely FREE app that individually determines the time and aspect of life that you need to pay attention to, how to increase attraction for the opposite sex, maintain your health, establish good relationships with family and friends, make only the right decision every day.  🎂 Find out how many days are left until your birthday, and how many days of your wonderful life you have already lived.  💕Love horoscope - will show the main trends of the day and help build relationships with a partner. It will also allow you to look into the future and develop the plot of your love story.  💰Career horoscope - will reveal to you many secrets about job prospects, you will be able to plan your activities based on successful and dangerous periods for you. Money, experience and knowledge, career growth and relationships with colleagues, dismissal or the threat of a fine... Build your future yourself!  🍏 Health horoscope - will give the right recommendations on how best to monitor your health, what to pay attention to first of all and how to take care of yourself.  💘You can also check the compatibility of your zodiac sign with another and find an approach to a partner.  🔢Numerology will show your future and give a hint for making an important decision. It will allow you to determine the character, life experience and ultimate goal.  As well as: - For information, only one date of birth is enough - Large selection of horoscopes: general, love, career, health horoscope - Biorhythm widget with notifications to your desktop - Fast, easy and nice interface/design to use - Themes for every taste - Customizing the application for yourself - Reminder to read the horoscope - Widget showing the remaining time until the birthday + a button to go to the reading of the horoscope  Astro forecast for all zodiac signs: ♈ Aries ♉ Taurus ♊ Gemini ♋ Cancer ♌ Leo ♍ Virgo ♎ Libra ♏ Scorpio ♐ Sagittarius ♑ Capricorn ♒ Aquarius ♓ Pisces"
B35D4F8EA9BA104C34356CFF5343B1611DBCF133DFCC6E99BF544C32CB654AD3,com.idmobile.horoscope,LIFESTYLE,Detailed astrological predictions available for all of the zodiac signs and their 3 decanates  ♈ Aries ♉  Taurus ♊  Gemini ♋  Cancer ♌  Leo ♍  Virgo ♎  Libra ♏  Scorpio ♐  Sagittarius ♑ Capricorn ♒ Aquarius ♓  Pisces  Get your horoscope or that of your friends as a daily PUSH Message at a requested time !  ★ The content isn't downloaded at every launch but only as needed ★ 7 days horoscope ★ Calculate your sign ★ Multi language ★ Added option to remove advertising
1C09C549BE962F6BB11B7E206982EA5570B61B4B233253D768D1F5B5184B16CF,com.astrolis.Horoscope,LIFESTYLE,"<b>2023 Horoscopes and Tarot Cards</b> Go beyond your Daily Horoscope. This app features a wide variety of Daily, Weekly, Monthly and Annual Horoscopes, along with Zodiac Sign Compatibility and Tarot Card Readings.   Start your day by checking out your <b>Daily Horoscopes</b>. You will get three each day. You can also view the current planetary positions.   And don’t forget your daily Tarot Cards. Each day you will have access to a new Three-Card Tarot Reading. Get the deck shuffled and then select your own three cards, one each for the Past, Present and Future.   Each week you will get a variety of <b>Weekly Horoscopes</b>. Along with your Weekly Overview, you’ll get individual horoscopes focusing on Career, Romance, Money and Style issues.  Plus, you will have your <b>Monthly</b> and <b>Annual Horoscope</b> to view an overall picture of what awaits you further down the road.  Interested in reading Horoscopes for other zodiac signs? You can quickly and easily access any of the 12 signs from within the app.  <b>Daily Outlook</b> Looking for a quick summary of some key issues in your life? With our simple 5 star system, you get individual ratings for Money, Energy, Love and Mood.   <b>Zodiac Compatibility</b> Wondering who you are most compatible with each day? Your daily forecast tells you which zodiac sign you are being drawn towards. You can also check the compatibility ratings for any two signs.  <b>Tarot Card Readings</b> Looking for insight into a particular question or issue in your life? Tarot Cards can help explain your current situation and anticipate future events. In this app you get a free daily Three-Card Tarot Reading with detailed interpretations for each card."
2B5364189C9517713035A246CD309B6A7A539B5FDB48206AA3EB105C2E3CD6A3,com.ojassoft.astrosage,LIFESTYLE,"AstroSage Kundli is a Kundli Software. You can generate your Kundali which is also called Birth Chart, Natal Chart or Vedic Horoscope. You can also get Horoscope Matching, Horoscope, Rashifal, Hindu Calendar (Panchang) & much more in this astrology app absolutely FREE.  Features * Talk to Astrologer - Now talk to premium AstroSage astrologers * Vedic Astrology - Traditional Features * Predictions/ Personalized Horoscope- Life Predictions, Monthly & Annual Predictions, Daily Predictions, Mangal Dosh / Kuja Dosham, Shani Sade Sati, Kaal Sarp Dosha, Lal Kitab Remedies, Debts, Planetary Predictions etc. * Download PDF to Print Kundli * Moon sign horoscopes - daily horoscope, weekly horoscope, weekly love horoscope, monthly horoscope and yearly horoscope * KP System / Krishnamurti Paddhati with Significators, Ruling Planets, KP Ayanamsa, Nakshatra Nadi Coordinates and Sub-Sub Positions etc. * Stellar: KP, Cuspal Interlinks (Sub & Sub-Sub), 4-Step * Shodashvarga - All 16 divisional charts * Shadbala, Ashtakvarga & Prastarashtakvarga, Western aspects,  Bhava Chalit chart * Vimshottari Dasha / Udu Dasha upto five levels, and Yogini Dasha * Panchang: Daily Panchang & Muhurat, Hora, Rahu Kaal, Choghadiya, Hindu Calendar with Festivals, Do Ghati Muhurat (Abhijit Muhurat, Vijay Muhurta etc.) * Horoscope Matching: Kundali Matching (Ashtakoota Guna Milap or 36 Points Match) * Horoscope 2022 & Calendar 2022 * Daily rashifal, monthly rashiphal, rashifal 2022, daily rasi palan and rasi palangal 2022 * Learn astrology - text and video tutorials and astrology lessons * Large city atlas with thousands of cities, and Google Maps Support for finding city latitude and longitude * GPS support for Prashna Kundli (Horary Charts) and Time Charts * Store thousands of horoscopes that can be viewed at anytime, anywhere. * North and South Indian chart style * Automatic DST correction * Choice of Lahiri (Chitrapaksha), Raman, KP, and Sayan ayanamsa.  * HINDI, English, Tamil, Telugu, Marathi, Gujarati, Kannada, Malayalam & Bengali languages * Support for AstroSage Cloud so that chart saved on Mobile can be opened from AstroSage.com and vice versa * Double touch to show planet degrees on the chart (shows degree inside chart in case of tablets) * Chart rotation: click on a house in north Indian chart and it will show new chart with that house as ascendant * Tajik Varshfal (Solar Return with Muntha) * Jaimini Astrology: Char Dasha, Karakamsha & Swamsha * Lal Kitab: chart, varshfal, prediction for planet in each house, remedies, kundli type like dharmi teva, andha teva, ratandh teva etc. and much more.  * Colored chart  * User friendly UI with flipping screens * Option for exporting chart, emailing chart or sending it via Bluetooth. Saved chart can be printed later.  * Moon sign calculator, sun sign calculator, love compatibility calculator and more  This astrology software is especially designed keeping mobility and instant calculations in mind. For example you can immediately know the Ruling Planet of any time, cast Horary horoscope while on move etc. There is no need to carry Ephemeris, Panchang, Tables of Houses, Tables of Ascendants, and Tables of Horary Numbers etc.  No app has so many Indian astrology, Vedic astrology and Hindu astrology features like AstroSage Kundli.   Tamil people will find jathaka, jadhagam, jathakam, rasi palan and jathagam here. Similarly, Telugu language readers will find telugu astrology, rasi phalalu and telugu jathakam here.   Note: AstroSage Kundli App requires active Internet connection."
33E19DA91EC2D6E70E90690C742C2974F4075BAC2FE2949FECDD3913B98F6AE6,com.astroid.yodha,LIFESTYLE,"Why settle for an ordinary horoscope? Get your own Astrologer!   With the Yodha app, you will enjoy:   • Insightful answers. Accurate predictions are just a click away. The present, the future will be seen through a birth chart based on your unique date and place of birth.   • Informative horoscopes. Regular and inspiring readings will keep you up-to-date with what to expect in your life. Key opportunities won’t be missed.   • Personal guidance. Astrology helps you look into the future. Without the right information or advice at hand, it may not be easy to make the right decisions.   • Genuine astrologers. With direct access to the largest team of Vedic Gurus on the go, the quality service is guaranteed.   How does it work? As simple as it should:   1. Create a birth profile   2. Ask a question   3. An astrologer will create a natal birth chart to make a prediction   4. Receive the detailed answer based on the ancient wisdom   Looking for specific insights? Professional astrologers can assist you with all matters you may have in stock.   Be it your love, relationship advice, compatibility match:   - I am still alone. When will I fall in love and get married?   - Is my Ex still in love with me? Will we get back together in 2022?   - Is he playing with my heart? What does a compatibility report say?   Or your destiny, daily plans:   - What is going to happen today? How should I prepare?   - I'm having a hard time figuring out my purpose in life. What is my true calling?   - Is my zodiac sign always correct about my personality? I act more like a different horoscope sign!   Why Vedic?   Vedic astrology has been around for centuries and today it’s extremely popular in modern Nepal and India. Astrology is an integral discipline of study related to medicine and history in eastern Universities. All of our astrologers are hand-picked professionals with experience and diplomas in Vedic science.   Check how accurate horoscopes and predictions can be for you!   Yodha Team"
