sha256,pkgName,categoryID,description
1FE2508D07BE98055CBF2A24F2EA7A080D602F3B25850A5567CE3ECD6EA5BDBC,com.youdao.hindict,EDUCATION,"<b>* 100,000,000 users across 150 countries.</b> <b>* Featured by Google Play as Best App & Best Self-Improvement App.</b>  U Dictionary is a <b>FREE dictionary and translation</b> app.   Offline Sentence Translation is also available! Enjoy translating totally offline of <b>58 languages</b>.   U Dictionary takes in originally developed dictionaries, Collins Advanced Dictionary, WordNet Dictionary, Native Examples, Synonyms, Antonyms and so on. It also provides English videos, games and quizzes to help <b>improve your English</b>.   U Dictionary is much beyond a simple dictionary! Effortlessly translate texts, pictures, or conversations in 108 languages. It <b>meets all your translation needs</b>, including studying, working and traveling abroad.  FEATURES <b>Magic Translation</b>: Translate in WhatsApp,Facebook,Youtube,Instagram to track what’s happening on celebrities. Chat without borders and read without barriers. <b>Must Know Expressions/b>: Quickly master a new language by following the audio and practice! Cover 6 main scenes and thousands of daily expressions! <b>Text Translation</b>: Translate between any two languages from 108 languages. <b>Camera Translation</b>: Snap to instantly translate any text around you. Recognizes 93 languages. <b>Conversation Translation</b>: Voice to voice translation between 49 accents, 35 languages. <b>Grammar Check</b>: Check an English text and easily correct mistakes. Enjoy mistake-free writing. <b>Quick Translate</b>: Translate in 1 second without opening U Dictionary. <b>Offline Dictionary</b>: Free download of Offline Packages for 44 languages and Synonyms, Antonyms, Collins Advanced Dictionary, and WordNet Dictionary. <b>Offline Translation</b>: Free download of Offline Translation Packages for 58 languages. Free from network limits. <b>Word Lock Screen</b>: Show words you choose on Lock Screen. Expand your vocabulary at any time. <b>Copy to Translate</b>: Copy words or sentences in any app and get meaning instantly. (Notice: Not available in Android 10.0+ due to access restriction.) <b>My Words</b>: Bookmark important words into different folders. Review from time to time. <b>Dark Mode</b>: Set your phone to night mode, U Dictionary appears with a dark theme. <b>Perfect English Pronunciation</b>: Authentic UK (British) and US (American) accent. Listen and learn. <b>Native Examples</b>: Authentic sentences collected from famous international news websites.  <b>Word Games</b>: Finding-out-synonym game and spelling game. Play and learn. <b>Funny Videos</b>: Learn English with ease and fun.  Our application may use the Accessibility Service API to help users fetch text from any application and provide text translations for their native language. The application neither captures your personal data nor violates your privacy.  <b>Desktop/Mobile Web</b>: <a href=""http://www.google.com/url?q=http%3A%2F%2Fwww.u-dictionary.com&sa=D&sntz=1&usg=AOvVaw1WnQ23wSScUC8LsaqXX6D3"">http://www.u-dictionary.com</a> <b>Articles from Blog</b>: <a href=""http://www.google.com/url?q=http%3A%2F%2Fudictionaryblog.wordpress.com&sa=D&sntz=1&usg=AOvVaw3sxyDWLhM80GajvSHeGPWC"">http://udictionaryblog.wordpress.com</a>  CONTACT US Connect with us on any of the following Social Media: <a href=""https://www.google.com/url?q=https%3A%2F%2Ffacebook.com%2FUDictionary%2F&sa=D&sntz=1&usg=AOvVaw2Li1Ia4pQ-Xq74stC74mMM"">https://facebook.com/UDictionary/</a> <a href=""https://www.youtube.com/channel/UCJPIDjpTCVoc94Ypy47NryA"">https://www.youtube.com/channel/UCJPIDjpTCVoc94Ypy47NryA</a> <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fudictionary_eng%2F&sa=D&sntz=1&usg=AOvVaw0wYdpjYhAF9GejITnpbt8p"">https://www.instagram.com/udictionary_eng/</a> <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fudictionary_indo%2F&sa=D&sntz=1&usg=AOvVaw3kRhSbXKhse3MU2z_kvHfS"">https://www.instagram.com/udictionary_indo/</a> <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fudictionary_es%2F&sa=D&sntz=1&usg=AOvVaw3mTcn3hCR8tArWSgdoE9bW"">https://www.instagram.com/udictionary_es/</a>  Have any queries or feedback, email us at: <a href=""http://www.google.com/url?q=http%3A%2F%2Ffeedback%40u-dictionary.com&sa=D&sntz=1&usg=AOvVaw02XAhy2ASJ_onY1faNMznG"">feedback@u-dictionary.com</a>  For business request, please write to our local email:  <a href=""http://www.google.com/url?q=http%3A%2F%2Findonesia%40u-dictionary.com&sa=D&sntz=1&usg=AOvVaw2Wh7EMFRTyv5pST-evFYBl"">indonesia@u-dictionary.com</a> <a href=""http://www.google.com/url?q=http%3A%2F%2Flatam%40u-dictionary.com&sa=D&sntz=1&usg=AOvVaw0bgE1kwyNkD4TDHAsw_u50"">latam@u-dictionary.com</a> / <a href=""http://www.google.com/url?q=http%3A%2F%2Farabic%40u-dictionary.com&sa=D&sntz=1&usg=AOvVaw21PALbpTn0IPkpaqypJj96"">arabic@u-dictionary.com</a></b>"
23F5A7F842981EB64305E7FD1B4B88BC2F71E01E7D8A8995FF561B6DBC7D8B06,com.niven.translator,TOOLS,"Bubble Screen Translate recognizes any text on your screen and instantly translate them into your native language. Browser, SNS, games, photos, documents, etc. everything can be translated.     It is flexible and simple to use.And it is very fast to translate your screen, just wait for 3 seconds and all text in your screen is translated.     Translation is free and secure.We provide the latest machine learning models with the most improved precision.  - Features:          + Translate on other apps           + Translate text right on the phone screen          + Translate game screen          + Detect and translate copied text          + Allow to copy the translated text          + Bubble Translation floating on the screen          + Screen translate  - Other features:          + Scan and translate text on the screen          + Recognize text          + OCR text scanner"
8BD2BA46A812225B7DA69774DAC35C3DB7F99D92AD3D3E9F95E164F800F89CBF,com.pons.onlinedictionary,BOOKS_AND_REFERENCE,"The free translator app from PONS  Get quick and reliable translations - with over 50 PONS Dictionaries and text translation for 40 languages. This tool gives you a translation for all of your search queries.  The app includes PONS Dictionaries for Arabic, Bulgarian, Chinese, Croatian, Dutch, English, Finnish, French, German, Greek, Icelandic, Italian, Japanese, Latin, Persian, Polish, Portuguese, Romanian,  Russian, Serbian, Slovakian, Slovenian, Spanish and Turkish. In addition to dictionaries with German you will find dictionaries for combinations such as Spanish-English, French-Polish, or Portuguese-Spanish. You have access to over 50 dictionaries. The text translation system integrated into the app covers all of the languages of the online dictionaries plus an additional 12 languages such as Hebrew or Korean.  INTELLIGENT SEARCH Type in or say your search term and to make your search quicker and more convenient, the system provides suggestions for words and phrases. If the app can’t find a result in the PONS Dictionaries, the integrated text translation service kicks in to give you your desired result. Search without even typing: Use the camera on your phone to translate menus, signs etc. immediately.  COMMUNICATION AID PONS Translate recognizes your voice and translates into your desired language. Cross-language communication has never been so easy! Listen to the correct pronunciation of your dictionary translation. Use the zoom function to magnify the translation and show it to someone else on your device. Especially handy on trips!  CONVENIENT REFERENCE Save your frequently searched or important entries in your favourites - you can use these offline, too. In your search history you can find your most recent searches. With the copy and paste function you can use your translations in other applications.  EXAMPLE SENTENCES Language in context and information on language usage help you to find the correct translation.  AN IDEAL COMPLEMENT Copy your translations to the free PONS Vocabulary Trainer so that you can learn them.  EDITORIALLY REVIEWED QUALITY Our dictionary content is editorially reviewed by our lexicographers and constantly growing.  AVAILABLE ALSO OFFLINE AND AD-FREE Download selected dictionaries and use the app offline and online. You can choose from among various subscription periods* via in-app purchase. You will then receive your desired dictionary completely ad-free, even when you use the dictionary online. If you are interested in ad-free use, but do not wish to download a dictionary, additional subscriptions are available. PLEASE NOTE: You can use the Online Translator at all times and completely free of charge even without an in-app purchase. Visit our website at www.pons.com for more information about the free Online-Dictionary, the PONS Vocabulary Trainer and our apps.  About PONS: PONS Publishing looks back on 40 years of experience in developing language-learning materials in the brand’s characteristic green color. The range covers traditional dictionaries and grammars, audio and electronic language courses, and free online services.  www.pons.com  * A variety of dictionaries can be subscribed for the following terms and prices: 1 month (€2,99€), 3 months (€7,99€) and 1 year (€19,99€). Subscriptions are automatically renewed unless cancelled at least 24 hours prior to the end of the current subscription term. Your account will be debited within 24 hours of the end of the current subscription term. Payment will be billed to your Google Play account. Subsequent to purchase, subscriptions can be managed or cancelled in your user account settings. Any unused part of a free trial subscription that may have been offered, will expire if the user purchases a subscription for the current release."
31CB25487F8A12423BFD240E0C4DF33059B9456539B0258A44508EF3A02D4842,jp.go.nict.voicetra,TRAVEL_AND_LOCAL,"VoiceTra is a speech translation app that translates your speech into different languages. VoiceTra supports 31 languages and can be downloaded and used for free. With an easy-to-use interface, you can also check if the translation results are correct. VoiceTra, whether to enhance your travel experience or to welcome visitors to Japan, will definitely come in handy as your personal speech translator.  ■Features: VoiceTra utilizes high-precision speech recognition, translation, and speech synthesis technologies developed by the National Institute of Information and Communications Technology (NICT). It translates your spoken words into different languages and outputs the results in a synthesized voice. The translation direction can be instantly switched, allowing 2 people that speak different languages to communicate using a single device. Text input is available for languages that do not support speech input.  VoiceTra is best suited for travel-related conversations and is recommended for situations and places such as below: ・Transportation: Bus, train, rent-a-car, taxi, airport, transit ・Shopping: Restaurant, shopping, payment ・Hotel: Check-in, check out, cancellation ・Sightseeing: Overseas travel, serving and supporting foreign customers *VoiceTra has also been introduced as a disaster-prevention, disaster-related app.  While VoiceTra can be used as a dictionary to look up words, it is recommended to input sentences as it interprets the meaning from the context to output the translation results.  ■Supported languages: Japanese, English, Chinese (simplified), Chinese (traditional), Korean, Thai, French, Indonesian, Vietnamese, Spanish, Myanmar, Arabic, Italian, Ukrainian, Urdu, Dutch, Khmer, Sinhala, Danish, German, Turkish, Nepali, Hungarian, Hindi, Filipino, Polish, Portuguese, Brazilian Portuguese, Malay, Mongolian, Lao, and Russian  ■Restrictions, etc.: Internet connection is required. It may take a while to display the translation results depending on the network connectivity. Languages available for text input are those that the OS keyboard supports. The characters may not be displayed properly if the appropriate font is not installed on your device.  Please note that some of the functions or the application itself may be disabled when the server is down.  Users are responsible for the communication fees incurred to use the application. Please be aware that international data roaming charges can be expensive.  This application was developed for research purposes; targeting individuals to test it out when traveling, and uses servers that are also setup for research purposes. The data recorded on the server will be utilized to make improvements in speech translation technologies.  You may test out the app for businesses, etc., but please consider using private services that we have licensed our technology to for continuous use.  Please refer to our ""Terms of Use"" for further details → https://voicetra.nict.go.jp/en/attention.html"
71427278CD3DE20D81AA606C586B7B4E0D618CD6BE31CDC7F6022129A04C9F0C,com.softissimo.reverso.context,BOOKS_AND_REFERENCE,"Reverso is the all-in-one tool that provides you high-quality translations and helps you improve your language skills seamlessly. It's magic, and it's free.  Teachers or translators, students or business professionals, beginners or advanced learners use Reverso to enrich their vocabulary and read, write, and speak with more accuracy and confidence.  Reverso Context relies on data collected from millions of real-life multilingual texts computed with powerful ""big data"" algorithms and machine learning techniques. This way, we make sure you enjoy the most accurate and relevant results as well as a learning experience customized to your needs.   Download the Reverso app, and you'll have millions of words and expressions at your fingertips, with their translations in multiple languages. Just type or speak a word or an expression and find accurate translations, illustrated by examples of real usage. Then, you can easily memorize the ones that are relevant to you with our learning activities.   How context helps you better translate?   The search results (translations) for a specific word or expression are weaved within real-life sentences extracted from official documents, movie subtitles, product descriptions. The examples help you understand how translations can vary upon context and select the most suitable one to avoid embarrassing mistakes.   Learn from your translations with fun activities   Reverso goes far beyond a simple translation app, breaking new ground also in the language learning field.   Our app includes flashcards, quizzes, and games generated based on your searches to help you focus on the words and expressions that matter to you. They use SRS (Spaced Repetition System) learning, enabling you to memorize new terms smoothly, without the constraints of the old-school learning methods. Forget about the tedious task of studying a standard selection of words to reach language proficiency. With the Reverso app, language learning becomes fun: you play with flashcards to regularly practice the words and expressions you've recently discovered, and memorize them along the way. At your own learning pace, in the limit of your available time.   Although language learning is fun and flexible, the whole process gains structures through learning strategy and statistics. You can fine-tune the category of new terms you want to include in your learning activities, according to your linguistic interests and needs. In the learning statistics, you will be able to follow-up on your progress.   The bits and bytes:   * Translation in 14 languages: Spanish, French, Italian, Portuguese, German, Polish, Dutch, Arabic, Russian, Romanian, Japanese, Turkish, Hebrew,  Chinese and we are working on more. * Search by speaking and hear back the pronunciation of the translations  * Favorites list and search history, available even offline * Pronunciation of complete example sentences, with a native accent * One-click to get translations, frequency details, and conjugation when applicable. * Suggestions: words and expressions will be suggested to you as you type.   * Share your findings via email or social media.  * Verbs conjugation in 10 languages including French, Spanish, Italian but also Arabic, Japanese, Hebrew or Russian  * Synonyms to help you understand words' meanings and expand your vocabulary  * Flashcards, quizzes, games to help you learn new vocabulary   Reverso Context is the must-have app to translate any time and constantly improve your language skills. Download it now for free!   We're always cooking up something to help you never get lost in translation.  Join us on Facebook: https://www.facebook.com/Reverso.net and follow us on Twitter: https://twitter.reverso.net/ReversoEN to discover new content, languages, and features.   Visit our website: http://context.reverso.net/"
8D949053C0AFABA7A0B499CF228BAE2C4AC948F7CD4EAACE0951662F8C40496E,com.mobisystems.msdict.embedded.wireless.collins.ee,BOOKS_AND_REFERENCE,"Talk & Translate is an essential real-time translator ideal for travelling abroad or when you want to learn a new language faster.  Talk & Translate offers a streamlined user interface, 103 languages (including regional dialects). Translate speech, text or photos in seconds. Support may vary for some languages.  <b>EXTENSIVE LIST OF LANGUAGES TO TRANSLATE IN</b>  103 languages, 10 000+ combinations.  English (AU, UK, US, IN), French (FR, CA), Spanish (ES, MX), Arabic (EG, SA, UAE), Chinese (Simplified & Traditional), Portuguese (PT, BR), Swahili (KY, TZ), Urdu (IN, PK), Catalan, Czech, Croatian, Danish, Dutch, Esperanto, Finnish, German, Greek, Gujarati, Hebrew, Hindi, Indonesian, Vietnamese, Khmer, Macedonian, Malay, Malayalam, Marathi, Mongolian, Filipino, Bengali, Farsi, Hungarian, Bulgarian, Icelandic, Italian, Japanese, Javanese, Kannada, Korean, Lao, Latin, Latvian, Burmese, Nepali, Norwegian, Polish, Romanian, Russian, Serbian, Sinhala, Somali, Slovak, Sundanese, Swedish, Tamil, Telugu, Thai, Turkish, Ukrainian, Uzbek, Welsh, Zulu, Afrikaans, Amharic, Armenian, Albanian, Azerbaijani, Cebuano, Estonian, Galician, Georgian, Haitian Creole, Hausa, Hmong, Igbo, Irish, Kazakh, Kinyarwanda, Kurdish, Lithuanian, Luxembourgish, Malagasy, Maltese, Odia, Pashto, Punjabi, Sindhi, Slovenian, Sesotho, Uyghur, Yiddish, Yoruba.  …with support for even more on the way!  <b>INSTANT TRANSLATOR</b>  Practical real-time tools to get the job done whatever the case.  • Voice-to-Voice – Speak in your native language and get a translation.  • Text-to-Voice – Instant voice dictation of the entered text.  • Text-to-Text – Translate entire passages of text effortlessly.  • Voice-to-Text – Speak and get the translation as text.  • Camera-to-Text - Snap a pic and use the translator.  • Ad-free experience.  Privacy policy: https://www.mobisystems.com/privacy-policy  Terms of Use: https://www.mobisystems.com/terms-of-use   <b>INTUITIVE USER INTERFACE</b>  Don't waste time going through menus. Enjoy a traductor with a practical interface that’s loaded with features.  • Input – Translate via speech, typing, or pasting any text.  • Multitask – Translate while working in other apps via the Split View function on tablets.  • Favourites - Create yourself a handy set of words and phrases to use at a moment's notice.  • Share – Exchange words, phrases, or entire conversations via e-mail, SMS, or other sharing apps on your device.  • Pick a voice – Select whether the translator will have a female or male voice.  • Recent – Come back to recently used translations and use them again.  <b>PREMIUM SUBSCRIPTION BENEFITS</b>  Get Talk & Translate Premium with a free 3-day trial and use all its awesome translation and dictionary features.  • Unlimited voice-to-voice conversations.  • Unlimited camera-to-text translations."
2F17E7591E08A27B7042DD9406861DF9FDF8959862AB28A11BE3DD0E2C5D4D9B,com.ticktalk.translatevoice,TOOLS,"AI Voice Translator - Translate  Language translator with AI Voice translation, dictionary, talk and translate  AI Voice Translator - Translate can translate voice and text. you can use the voice recognition and listen your translation too. AI Talkao translation engine uses artificial intelligence. English Spanish translator and many more. AI voice translate in a single translator.  Learn languages, speak to translate text and phrases. Share audio or text of the translation. It is a AI text translator with dictionary, proverbs and verbs that will help you to speak and listen.  AI voice Talkao Translate – Voice Translator has several translation features:  AI Translate Voice: Enjoy our translation engine with dictionary, definitions and synonyms. Language translator with pronunciation and AI text. You can share the text and audio of the translation. Use the dictionary with definitions to learn languages. Translate voice is a reality thanks to voice recognition. Talk & translate and hear the translation including accents and pronunciations.  Advanced translations: Translate languages is much more than showing the text or the translated word, use Smart-Bubbles to get all information of a word and be able to translate words exactly. Translate verbs and conjugate verbs with the function conjugate verbs, proverbs translator, dictionary and idioms verified by human translators. The best language dictionary translator for you.  Speak & translate different languages: Communication without language barriers. Talk and translate and use your mobile and have a translated conversation. The best AIvoice translator along with translated audios, ai text with different accents. Ideal for travel and learn languages.  Books: Talkao Translate presents the most accurate human translator dictionary. Learn languages now. Set phrases, proverbs, AIvoice, vocabulary, AItext, technical language... The best spanish translator, english translator and more. Use it as a offline translator.  AI Voice Translator Translate, Dictionary & AIText supports more than 120 languages and accents. Here is the complete list: Autodetect language, location language, Afrikaans, Albanian, Amharic, Arabic, Armenian, Azerbaijani, Bangla, Basque, Belarusian, Bosnian, Bulgarian, Burmese, Cantonese, Catalan, Cebuano, Chinese (Simplified), Chinese (Traditional), Corsican, Croatian, Czech, Danish, Dutch, English, Esperanto, Estonian, Fijian, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Haitian Creole, Hausa, Hawaiian, Hebrew, Hindi, Hmong, Hungarian, Icelandic, Igbo, Indonesian, Irish, Italian, Japanese, Javanese, Kannada, Kazakh, Khmer, Korean, , Kurdish, Kyrgyz, Lao, Latin, Latvian, Lithuanian, Luxembourgish, Macedonian, Malagasy, Malay, Malayalam, Maltese, Maori, Marathi, Mongolia, Nepali, Norwegian, Norwegian Bokmal, Nyanja, Pashto, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Samoan, Scottish Gaelic, Serbian, Shona, Sindhi, Sinhala, Slovak, Slovenian, Somali, Southern Sotho, Spanish translator, Sundanese, Swahili, Swedish, Tagalog, Tahitian, Tajik, Tamil, Telugu, Thai, Tongan, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese, Welsh, Xhosa, Yiddish, Yoruba and Zulu  Our social networks: -𝐈𝐆 https://www.instagram.com/talkaotranslate/ -𝐓𝐖: https://twitter.com/talkaotranslate -𝐖𝐄𝐁: https://talkao.com/ -𝐁𝐋𝐎𝐆: https://blog.talkao.com/  Privacy Policy: https://talkao.com/policy/ Terms of use: https://talkao.com/terms_of_use/"
C77759050F88CA1D1F54FA7DEE5D14D4DA0282D42C07E80FE232CA65F64A3DE8,at.nk.tools.iTranslate,PRODUCTIVITY,"iTranslate Translator is a language translator app for text, voice, conversations, and camera photos. You can easily translate into over 100 languages by using our translator app.  New Offline Mode allows you to translate abroad without paying expensive roaming charges.   iTranslate Translator enables travelers, students, business professionals, employers, and medical staff to read, write and speak in the desired languages and translate anywhere in the world.  <b>FEATURES</b> - Text translator: Get free translation for text in over 100 languages. - Translate text to speech: Listen to translation in male or female voices. - Switch between different dialects when you translate. - Dictionary & Thesaurus for all languages. - Transliteration, Sharing, Favorites, History, and much more.  <b>PRO FEATURES</b> - Photo translator: With iTranslate's Lens Mode, you can use your camera to translate menus, signs, and more instantly. - Offline translation: Translate in over 40 Languages without an Internet connection. - Voice translator: Translate Voice-to-Voice conversation and speech. - Verb conjugations in different tenses.  iTranslate Translator supports languages & dialects: Afrikaans, Albanian, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bosnian, Bulgarian, Catalan, Cebuano, Chichewa, Chinese (Simplified), Chinese (Traditional), Croatian, Czech, Danish, Dutch, English, Esperanto, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Haitian Creole, Hausa, Hebrew, Hindi, Hmong, Hungarian, Icelandic, Igbo, Indonesian, Irish, Italian, Japanese, Javanese, Kannada, Kazakh, Khmer, Korean, Lao, Latin, Latvian, Lithuanian, Macedonian, Malagasy, Malay, Malayalam, Maltese, Maori, Marathi, Mongolian, Myanmar (Burmese), Nepali, Norwegian, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Sesotho, Sinhala, Slovak, Slovenian, Somali, Spanish, Sundanese, Swahili, Swedish, Tajik, Tamil, Telugu, Thai, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese, Welsh, Yiddish, Yoruba, Zulu  For a Complete Language Translation overview: https://itranslate.com/languages  <b>LOVED AND TRUSTED BY MILLIONS</b> - 70 million downloads and over 120,000 reviews on our translator! - ""…never encounter a language barrier"" - Time.com - ""This is a game changer."" - The Huffington Post - Prominently featured Translation app on the Google Play Store - Traductor español inglés, the best spanish translator  <b>SUPPORT</b> Terms of Service: https://www.itranslate.com/terms-of-service  Privacy Policy: https://www.itranslate.com/privacy-policy  An internet connection is required to use the app. To use the offline mode, you need to download language packs.  —  Download our app and get free translations for 100+ languages. Learn new languages through translations in a fun and easy way while traveling with the Dictionary & Conjugations feature."
3D7F2AC8235B3F95E5FE9F3598BB4E0A07C6F8BF9679FEFCD8022B779B26418F,ru.yandex.translate,EDUCATION,"• Translate between any pair of the 100 languages when you’re online.  • Translate from French, German, Italian, Russian, Spanish, or Turkish to English while offline: download these languages and enable the offline mode in Settings. • Speak words or phrases in Russian, Ukrainian, English, or Turkish to translate them into any of these languages, or have the app read the translations to you.  • Learn new words and their meanings through usage examples in the app’s dictionary (available for most of the currently supported languages).  • Take a picture of a menu, road sign, book page or choose a photo with text from your Camera Roll to view its translation right over the image (only available when you are online). Visual text recognition currently works for 45 languages: Czech, English, French, German, Italian, Polish, Portuguese, Russian, Spanish, Turkish, Chinese, Ukrainian and others • Translate entire sites directly in the app. • Select and translate single words or phrases in other apps on your smartphone running Android 6.0.  • Enjoy the app’s time-saving predictive typing function and automated language detection. • Save translations in Favorites and view your translation history at any time.  Currently supported languages: Afrikaans, Albanian, Amharic, Arabic, Armenian, Azerbaijani, Bashkir, Basque, Belarusian, Bengali, Bosnian, Bulgarian, Burmese, Catalan, Cebuano, Chinese, Chuvash, Croatian, Czech, Danish, Dutch, Elvish (Sindarin), Emoji, English, Esperanto, Estonian, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Haitian, Hebrew, Hill Mari, Hindi, Hungarian, Icelandic, Indonesian, Irish, Italian, Japanese, Javanese, Kannada, Kazakh, Kazakh (Latin), Khmer, Korean, Kyrgyz, Lao, Latin, Latvian, Lithuanian, Luxembourgish, Macedonian, Malagasy, Malaysian, Malayalam, Maltese, Maori, Marathi, Mari, Mongolian, Nepali, Norwegian, Papiamento, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Scottish Gaelic, Serbian, Sinhalese, Slovak, Slovenian, Spanish, Sundanese, Swahili, Swedish, Tagalog, Tajik, Tamil, Tatar, Telugu, Thai, Turkish, Udmurt, Ukrainian, Urdu, Uzbek, Uzbek (Cyrillic), Vietnamese, Welsh, Xhosa, Yakut, Yiddish, Zulu."
F29B7A72CDE7B3FD6932B58AD1CD95B7985170F3AA4D1AC3A722D2A393DE7FE7,com.naver.labs.translator,TOOLS,"Whenever you need translation during your travels, business trips or while studying a language just bring Papago, a smart parrot who can translate multiple languages for you.  ▶ What does ‘Papago’ mean?  In Esperanto, Papago refers to a parrot, a bird with language abilities.  Papago supports 13 languages : Korean, English, Japanese, Chinese (Simplified/Traditional), Spanish, French, Vietnamese, Thai, Indonesian, Russian, German and Italian.   ▶ Main features 1) Text Translation Real-time text translation for phrases and words  2) Image Translation Automatic recognition and translation of text in the image by taking a picture and pressing the button   3) Voice Translation Real-time voice translation to both text and audio  4) Offline translation Can translate even in offline  5) Conversation Translation  Simultaneously speak in each other’s language when talking one-on-one with a foreigner  6) Handwriting Translation Handwriting translation that finds the correct word and translation when you write using your finger  7) Website Translation  Automatic translation for all content when you include the URL of a foreign website  8) Edu Taking a picture of the passage you want to study will create a  My Note that you can use to study passages and words  9) Papago Mini  Automatic in-screen translation by Papago Mini when you copy the text in any application  10) Dictionary Dictionary information provided to check additional meanings other than initial translation results  Be confident anytime, anywhere with your translating partner Papago!  Papago Facebook Like :  https://www.facebook.com/NaverPapago Papago Instagram Follow : https://www.instagram.com/papago_naver/  ▶ Required app permissions:  · Microphone : allows voice/conversation translation.  · Camera : allows image translation.  · Save : saves pictures taken. · Contacts : You can use NAVER login · Phone : For safe use of NAVER, Device ID may be checked for functions such as verifying the logged in device and changing the login status. · Notifications : Receive notifications when using Papago Mini and downloading word cards and offline translation content. (For devices running OS version 13.0 or higher)  ※ Available for Android 5.0 and up only.  ※ Available on PC and mobile. https://papago.naver.com ※ For app-related issues and errors: https://goo.gl/9LZLRe   Developer Contact No.: 1588-3820  178-1, Green Factory, Jeongja-dong, Bundang-gu, Seongnam-si, Gyeonggi-do, Seoul"
