sha256,pkgName,categoryID,description
F211E85483D89511323CDB28A9790CC885FB50E25B02A52A054B923CBA2CC809,au.gov.employment.ajs,BUSINESS,"Find your next job on the Workforce Australia app. Thousands of jobs are advertised every day.   Find a job wherever you are • Find jobs based on industry, location, and the times and days you can work. • See jobs recommended for you. • Save jobs you want to apply for. • Save your job search results to review later.  The Workforce Australia app is funded and operated by the Department of Employment and Workplace Relations. It’s a free service to help Australians find a job.  Contact us at ajsfeedback@employment.gov.au or 13 62 68 if you need help using this app."
C872FEE3A35D82002C1A532396AB5982B0EFBE1AFAA0411C20CC3E911E88E7F3,com.reedcouk.jobs,BUSINESS,"Welcome to the new app that makes job hunting easy. That’s how it feels to Love Mondays...  Whether you’re looking for your first job, a career change, a director-level role, a promotion or a part-time job - you’ll find a job you'll love on the Reed.co.uk app.  All you have to do is search, swipe and apply.  With jobs available in locations all over the UK, from London to Liverpool, Manchester to Birmingham, Cardiff to Edinburgh - finding a job you love has never been easier. You’ll find vacancies from some of the world’s leading brands, from Amazon to Ocado, Sky to Boots, the RAC to AO - and lots more.  Don’t just take our word for it. Over a million job seekers have downloaded the Reed.co.uk job search app in their search for work.  This is how it feels to Love Mondays:  Instant access to a range of vacancies  - Search thousands of jobs - Choose from over 8,000 employers - Over 5,000 new jobs added every single day  A simple way to search for jobs  - Enter your location and job title to get started in an instant - Use our swipe functionality to easily save or hide jobs - Customise your search with light or dark mode - whichever suits your mood!  A job search, personalised to you  - Receive job recommendations tailored to your profile - Only see the jobs you want - Adjust your search radius to find the job listings closest to you  Applying on-the-go  - Quick and easy applications from your phone - Apply from your job search results or from your saved jobs - Review your profile and CV before applying  Being the first to apply. Every. Single. Time  - Receive notifications on the latest vacancies - Sign up for job alert emails to make sure you don’t miss out - View new vacancies added in your job search  Staying in control of your job search  - Create and manage your Reed.co.uk user profile - Upload your CV and apply with ease (and withdraw your application if you change your mind) - Track which job listings you’ve hidden, saved or applied for  No matter what stage of your career you’re at, or where you’re based, you’ll be able to find and apply for jobs in an instant with the new Reed.co.uk app.  Want to know how it feels to Love Mondays? Download the Reed.co.uk app now."
FFF43D450B7A84ADFEA14D7329BA33FA1F0F424AB843D4F939C8547D39DC5471,com.expresspros.ExpressJobs,BUSINESS,"Job search with the ExpressJobs app from Express Employment Professionals. Express has thousands of jobs in Administrative/Office Services, Commercial/Light Industrial, and Professional fields. Find a job that fits your skills, experience, and criteria. Available jobs in your area are marked on the map to show proximity. Save jobs that interest you, and tap to apply for jobs in minutes!  Once you’re placed in that perfect job for you, you’ll be able to see your work schedule, communicate with your Express representative throughout your job journey, log your work hours, submit timesheets, and much more—all within the ExpressJobs app.  Download the free ExpressJobs app, build your profile, and start your job search with Express today!  Features: •	Customized results for your skills and requirements •	Save your profile for one-touch job application •	Mapping function shows you the jobs available in your area •	Your job search history is automatically saved  •	Save jobs to your Watch List •	Share jobs with your friends via social media •	Choose your preferred form of contact •	Up-to-date notifications on positions and job details •	Easy access to work assignment history and documents, such as your job history and employment forms •	View your schedule, clock in and out, submit timecards, and more"
FF1E13C593165F13EE84ABA4548E64F05883CEA7DD1C964D6EC8B7645A833F22,petand.apps.jobs,BUSINESS,"This app presents you with vacancies from the UN ,NGOs,International Financial Institutions  and Multilateral Organizations. You can search the list by organization,duty station,job level,job family or any keyword in the title of the post. The app sends a notification whenever new jobs are advertised.Just put in your specifications and the app will notify you whenever a new job opening is available that fits your criteria. You can save your preferred UN or NGO job for later reference.The app will send you a reminder a day before the deadline of your saved job. The app also allows you to share the job with friends using social media.  *********************** SAY HELLO *********************** We look forward to hearing from you! Whether it’s a suggestion, bug you found, or you want to share one of your crazy job search experiences. Get in touch with us and we’ll be sure to get back to you. If you have liked the app, do rate us on app store. Also, share the app among your friends who might be interested in UN or NGO Jobs.  • Terms of use: https://www.unjobsapp.org/terms.html • Privacy Policy: https://www.unjobsapp.org/privacy.html  You can reach us at unjobsapp@gmail.com or on Facebook at https://www.facebook.com/unjobsapp"
06FEC89160A61B7124A8B2B89730F0B8AC09ECF773FCF84ED59255ED95564C36,com.jobsdb,BUSINESS,"Asia’s leading portal for job search, recruitment, and career growth, the JobsDB Job Search app provides a wide range of work opportunities and vacancies to jobseekers.  Whether you’re a student who’s nearing graduation and needs an early internship or a part-time employee just looking for a freelance or trainee post, we’ve got you covered.  We understand the local job market and have strong relationships with local employers and recruiters.  With over 120,000 new job ads posted monthly in Hong Kong and Thailand, you’ll never miss out on finding your dream workplace.  Search for the next step in your career and land that job interview with the JobsDB Job Search app!  Search -	Find jobs looking to hire employees with your talents.  We use AI to match your skills and experiences with jobs. -	Use the multitude of search filters to refine and pinpoint to your needs.  Location, job function, salary range, and many more! -	Recent searches are suggested for easily resuming where you left off -	Smart search suggestions help you see related searches  Profile -	Create your profile to stand-out from the crowd.   -	Education, work experience, language, skills, certifications, and more.  Your JobsDB profile helps employers know you better. -	An up to date profile allows you to easily apply for jobs -	Choose if you want to see full-time or part-time jobs -	Upload and store your resume or CVs for easy applications.  Apply -	Review your JobsDB profile -	Attach a resume or CV  -	Add a cover letter or make a pitch! -	You can also add your expected salary  Personalised for You -	The home screen shows you a personalised feed that’s constantly updated -	We curate this feed with things like relevancy and freshness  Job Alerts -	Save your favorite searches as Job Alerts and we’ll notify of new jobs matching your criteria -	Easily create and access your Job Alerts   Bookmark Jobs -	Bookmark and save jobs to easily view them in a list  We love hearing from our users and your feedback is always welcome!  Send your comments and suggestions to cs@jobsdb.com.  Thank you for being a valued part of the team!"
1A09E7BC8A3713EF699265D1EB67211BA254EEDB7B81D34E9929CED2AB121964,com.tefl.teflapp,EDUCATION,"TEFL.com - The world's largest real-time database of English Language Teaching Jobs all in a free app. We've got the world covered with teaching vacancies from Australia to Vietnam and everywhere in between!     > Search 1000s of international teaching vacancies using a comprehensive range of search filters. > Save your job search. > Job map search - Quickly find a job near your location. > Apply for any job from your device in just 4 taps. > Save that job. > Create, edit and review your resume on your phone.  > Upload or take your resume photo. > Have any recruiters seen my resume? > View my job applications. > Login with your Facebook credentials.  Fast Search Join 200,000+ other registered Teachers of English as a Foreign/Second Language for the ultimate global ELT job search.  - New jobs added in real-time. - Fast, easy and accurate search with a range of filters.  - Find full-time, part-time, summer only and freelance jobs worldwide.  Apply in Seconds - Apply for any job straight from the app in just 4 taps. - Not registered? Simply sign-up from within the app, create your resume and apply! - No time to apply? Then save that job in the app and apply later. - Synched! Administer your resume and submit job applications from the app or via your desktop.  Personalise and Privacy - Save your favourite jobs. - Save your job search. - Sign-up for our free daily and weekly newsletters. - Not looking for a job at the moment? Deactivate or Activate your resume. You’re in control!  TEFL.com has been leading the English Language Teaching job search for over 20 years. From the global leaders in language training to small rural language institutes, all rely on our network to attract the best ELT professional talent. TEFL.com is always free for job-seekers.   We welcome your feedback.  Contact: info@tefl.com  Love our app? Please leave a review!"
A118BABFEA29CA8F397A24D51583257D122360CB57BED67B29DF1CD0C8301046,allthetopbananas.cvlibrary,BUSINESS,"Find a job with CV-Library!  Search and apply to over 210,000 jobs with our free, award-winning Job Search app.  For phones and tablets, the app is full of features so you can find a job quickly and easily.  Key features:  * Job Alerts: Create and manage custom job alerts to see brand new, tailored matches first * Favourites: Save searches, jobs and cover letters * Easy CV Upload: Use Dropbox or Google Drive to keep your profile up to date * Personal Profile: Show off your strengths, skills and tell employers what jobs you want * Search History: Our smart search remembers previously used keywords * Offline mode: Continue to search, save and apply for jobs even when your connection is lost  Use the CV-Library app whenever, wherever you are to find your dream job."
6FE4747F3DBCAB6EBC37AA91D75A2A28E595CCC2B0022F30648B06945425B223,com.trovit.android.apps.jobs,BUSINESS,"Trovit Jobs finds job vacancies in thousands of different websites and shows them to you in one place. That way, you can be sure that you will find your dream job, no matter how hidden it is. Easy, convenient and fast. That’s our promise.   <b>♣FILTERS TO FIND THE PERFECT JOB</b> Trovit allows you to filter your search results to find the jobs that interest you. You can select your sector, city, publication date, type of contract, working hours, necessary experience, salary and a long list of other criteria.  <b>♥SAVE THE BEST JOB OFFERS IN YOUR BOOKMARKS</b> Don’t you hate it when you find a vacancy, but somehow you don’t remember where or when was posted? Bookmark any listings you like in the Favourites section. Even if you accidentally delete the app, you will be able to recover your favourite jobs.   <b>♦PERSONALIZED ALERTS, TAILORED SPECIFICALLY FOR YOU</b> When you close the app, Trovit Jobs keeps working for you. Just create an alert (or several) and we will send you a notification when there’s a new ad that matches your search criteria. We follow thousands of job board websites minute by minute so you don’t have to. You can create as many alerts as you want to, with your ideal position, your favourite companies or the perfect combination of lots of factors.   <b>♠HOW TO FIND YOUR DREAM JOB IN TROVIT JOBS</b>  If you are looking to find a new job, searching on Trovit couldn’t be easier.  1. Type your search criteria and select which kind of vacancy are you looking for. 2. If you want, you can apply filters to that search. You will find the filters in the upper right hand-corner of the screen. 3. Take a good look at all the selected jobs. Don’t forget to save the ones you like the most in Favourites! 4. Create personalized alerts for every search you’re interested in. You’ll be able to activate or deactivate the notifications for each search, at the bottom of each search results page or in the settings section.  5. We will send you alerts when there’s a new ad that matches all the conditions that you selected.   You can check as many listings as you want, absolutely free. It doesn’t matter if you are looking to work from home,  a government job, online jobs, security jobs... you will find it at Trovit.    <b>►WHY TROVIT?</b> You have two options when looking for job offers: you can either try visiting all the websites and services on a daily basis, typing the same search queries over and over, hoping to find the perfect job before anyone else. Or, you can set up search filters in Trovit Jobs, create an alert, and sit back to watch the magic happen. Trovit Jobs is your starting point for an intelligent and extensive search.   Look for job offers listed in 19 different languages and in 46 different countries. Trovit Jobs includes among its sources hundreds of United States based companies and headhunters. Find your dream job  in New York, Los Angeles, Chicago, Houston, Philadelphia, Phoenix, San Antonio, San Diego, Dallas, San Jose, Austin, Jacksonville, San Francisco, Indianapolis, Columbus, Detroit, Washington DC, Seattle, Denver, Memphis, Boston, Nashville, El Paso, Milwaukee, Albuquerque, Tucson, Fresno, Louisville, Sacramento, Long Beach, Kansas City, Mesa, Atlanta, Virgina Beach, Portland, Omaha, Colorado Springs, Miami, Oakland, Minneapolis, tulsa, Cleveland or a long list of other towns and cities.   OTHER TROVIT SERVICES Remember that, besides Trovit Jobs, you can also use Trovit Homes and Trovit Cars. In Trovit Homes you will find all the listings of homes for sale and to rent in one single search engine. Trovit Cars will help you find your perfect car, searching through several car listing websites and services with one single search.   If you have any doubts, problems or suggestions, please do write us an email at android@trovit.com and we will do our best to fix whatever’s bothering you. If you enjoy Trovit Jobs, please leave us a review on Google Play: it helps us grow and maintain a quality free service!"
1E07EF13B83B704C016E5D0338DBD0F61345F6F7408A07C78EDE57AA4AA01995,com.naukriGulf.app,BUSINESS,"Looking for Jobs in the Gulf? Apply to the latest Jobs anytime, anywhere with the Naukrigulf app. Indeed, we are among the top choices of job seekers as more than 1 million Android phone users count on the Naukrigulf app to find the best career opportunities.  Why Naukrigulf app?  - It is the best-rated job and career search app in the Gulf  - It’s free, simple, fast and offers the most relevant job search results  - It lets you choose from a wide range of 40,000+ job vacancies in the Gulf  - It lets you find Jobs in the UAE, Saudi Arabia, Bahrain, Qatar, Kuwait, and Oman   1. Find & Share Jobs  - Find full-time, part-time, and contractual Jobs  - Refine job search results by:  o Location – Dubai, Abu Dhabi, Sharjah, Riyadh, Jeddah, Doha, Muscat, etc.  o Industry/Department – Oil and Gas, IT, Healthcare, Finance, Retail, HR, Admin, Design, etc.  o Designation/Skills – Executive, Senior Executive, and Managerial Jobs across industries.  o Experience – Entry Level, Mid-Level, and Senior Level  o Freshness  - Share Jobs with your friends via email or social networking sites   2. Explore Job Recommendation  - Get personalized Jobs directly to your email inbox:  o Jobs based on your profile and preferences  o Jobs trending among profiles similar to you  o Jobs similar to the ones you like  o Jobs based on the alerts set by you  - Explore Jobs similar to ones you apply   3. Shortlist & Apply  - Save or email Jobs you would want to view and apply later  - Apply to Jobs with a single click without registration  - Create your profile directly on the app via Facebook/Google+  - Create/Upload your CV directly on the app and start applying to relevant Jobs   4. Monitor Profile Performance  - View detailed insights on your job applications, including:  o How well your profile matches with the job requirements  o Where do your applications rank amongst other applicants  o Who all and how many recruiters reviewed your applications  o What actions the recruiters have taken on your applications  - Discover recruiters who showed interest in your profile without any job application   5. Update & Customize  - Update your profile and CV on the go  - Update your job alert preferences  - Subscribe or unsubscribe to emails   6. Stay Notified  - Receive recommendations for latest job vacancies  - See recruiters’ actions on your application  - Receive regular suggestions for improving your profile  - Stay updated about the latest app developments   Committed to making the job search a hassle-free experience, the Naukrigulf Android App helps job seekers get linked to the employers as well as with the latest Job opportunities. Download the app for free today and get Jobs delivered directly to your phone!  Can’t find something or have suggestions? Mail us at feedback@naukrigulf.com."
ECEFE0F013BEAF445BF110F92A1BCEA5A89665243336634BEBC349584242A09A,com.indeed.android.jobsearch,BUSINESS,"Discover your next job opportunity on Indeed, the free job search app designed to connect you with better work anytime, anywhere.  Forget the other job search apps. With 12 jobs added every second and smart search filters to quickly narrow in on your ideal role, your next job is at your fingertips.  Whether casually browsing or urgently applying, Indeed has the jobs you want, all in one place, with advanced functionality to help you find work that meet your needs and easily apply from your device.   • Search the comprehensive database to find jobs, which includes employment opportunities posted on other job search sites, and explore recommended roles based on your preferences and work experience.  • Upload your resume or use Indeed’s resume builder to show your best self to employers and let your next job find you.  • Apply with your saved resume to avoid rewriting the same information for each job application during your job search.  • Keep track of applications during your job search and get notified when an employer has read and responded to your application on Indeed.  • Understand what employees think about their workplace with more than 700 million company ratings and reviews.  • Uncover what a job pays before you apply with more than 1.1 billion salaries searchable by job title, company, and location.  • Find jobs with flexible work options using our smart search filters, including: remote jobs, side jobs, freelance jobs, government jobs, part time jobs, and jobs that allow you to work from home or work from anywhere.  No matter where you are in your career, our job search app lets you show your best self, from application to interview. At Indeed, we help people get jobs.  <i> By downloading this app, you agree to Indeed's Cookie Policy, Privacy Policy and Terms of Service found at www.indeed.com/legal, where you may avail of your rights at any time, including the right to object to the legitimate interest use of your personal data for marketing purposes. You further agree that by downloading this app, Indeed may process, analyze, and record any and all activities you take while using the app and any and all interactions and communications you have with, on, or through the app. We do so in order to optimize user experience and achieve the proper functioning of the app. In order to provide you with certain services and support ad attribution, user data, such as your IP address or other unique identifier and event data related to the installation of the Indeed App, may be shared with certain service providers when you download or install this app.  This is performed for the legitimate interest of allowing Indeed to understand and optimize our users' complete customer journey by:  - helping us understand how users arrive to Indeed - better measure the performance of our ads; - facilitating user logins through third party accounts in certain cases; and - helping us understand where a user accesses Indeed through different devices  Please send your feedback to android@indeed.com  Do Not Sell My Personal Information: https://www.indeed.com/legal/ccpa-dns </i>"
