sha256,pkgName,categoryID,description
3A0E83F8D40F5859986C00CAA057E0DF267E95D73D851CA7D08792083C9C4E62,com.acg.master.wallpapers,PERSONALIZATION,"Wallpaper Master-a powerful app where you can find incredible live photos and set them as wallpaper simply with one step.   Main features: Set home screen and lock screen separately Friendly user interface, only one step to finish the setting; Large number of selected HD, 1080P wallpaper; Various special effects to satisfy your personalized demand;  Cover wide range of categories, including movie, beauty, music wallpaper, constellation and more to discover;  Find your favorite anime characters,celebrities, art work, photographs… Or even choose your lover and pets. With Wallpaper Master, you can make them alive in your phone! It’s free to be the coolest, do not hesitate to try!  DISCLAIMER:  This APP is made by anime fans, and it is unofficial. The content in this app is not affiliated with, endorsed, sponsored, or specifically approved by any company. This app is mainly for entertainment and for all fans to enjoy these anime wallpapers. Support download anime live photo with size large."
77A6171ECED34C97493667E8E5ED1B9849D45D54BA6A26619048D32180D2AB5B,com.sharpregion.tapet,PERSONALIZATION,"Tapet ® (""Wallpaper"") is a first of its kind app that automatically generates high-quality backgrounds. You can either select a random wallpaper or let the app generate one for you hourly or daily.  Features: * Wallpapers are created according to your device's screen resolution - making them the <b>highest possible quality</b>. * No images are being downloaded from the internet. Everything is rapidly generated on your device. * Images fit your screen perfectly and even create a beautiful parallax effect, making the wallpaper even more pleasant. * Stay tuned for new exciting <b>patterns</b>! * You can set the app to surprise you with a new wallpaper hourly or daily. You will most likely never see the same wallpaper twice."
FACD8C418E6FCCFEB1309BDB91EE71BD8408683F5D53828CDBD85E3FD1F6CD34,net.zedge.android,PERSONALIZATION,"<b>ZEDGE™ gives you the best background wallpapers and cool ringtones for free!</b>  Personalize your phone with a HD wallpaper, live wallpaper, alarm sound or ringtone with ease. ZEDGE™ offers an extensive catalog with millions of free backgrounds, live wallpapers, stickers, ringtones, alarm sounds & notification sounds for your Android phone. Search for Anything - It’s on ZEDGE™  Feeling creative yourself? Make your own unique wallpapers by typing words or phrases in Zedge pAInt. That’s right – describe your dream wallpaper of any style, theme or aesthetic and our Zedge pAInt AI art generator will make it for you.  <u>Join the over 500 million people</u> who already installed this highly popular personalization app.   <b>Wallpapers</b>  • No need to look for more wallpaper apps. An endless selection of free backgrounds supporting the most common screen sizes. • Supports full HD wallpaper and 4K wallpaper to use as backgrounds. • Fancy a black phone wallpaper, or maybe a girly wallpaper? You’ve got it! • Option to apply lock screen wallpapers, home screen wallpapers, or both at the same time. • Option to auto select a new background that rotates at selected intervals. • Customize your background with cool filters and stickers.  <b>Live Wallpapers</b> • Imagine having cool video effects as background on your home screen. You’ve got it! • Our live wallpapers don’t drain your battery - only plays once when turning on your home screen. • No need to install additional new live wallpapers - it’s embedded in the app. • Extensive catalog of quality live wallpapers for all tastes.  <b>Zedge pAInt - AI Wallpaper Maker</b> • Turn words and phrases into your perfect wallpaper. Describe what you want to create and Zedge pAInt will create it for you. • Is your creation not exactly what you want? Refine your description for a different incarnation of your prompt until it's perfect for you • Set your unique artwork as your wallpaper, lockscreen, or save it for later use • Browse the community gallery and get inspired by other AI masterpieces • Want to see what a pink cat riding a bike on Mars would look like if it was painted by Leonardo da Vinci? How about Try Zedge pAInt for free today and find out!  <b>Ringtones</b> No need to look for more ringtone apps. An endless selection of free ringtones including music, effects and funny tones. Probably the largest selection of free ringtones in the world. • Option to set individual contact ringtones, alarm sounds and default ringtone. Apply a cool ringtone for your mum or sister.   <b>Alarm & Notification sounds</b> • Massive selection of notification sounds, alert tones and funny tones. • Option to set an alert and alarm sound.  <b>Favorite and Save</b> • Add a sound or wallpaper to favorites without downloading. • Access your ringtones and backgrounds across all your devices with one simple login. • Receive notifications on limited edition holiday wallpapers and ringtones for occasions and holidays like Valentines Day, Fathers day, Mothers Day, New Years, Halloween and Christmas plus cool customizations for birthdays, anniversaries, graduations, and more.  <b>App permission notice</b> • <b>Contacts:</b> Optional if you want to set individual ringtones to contacts in your address book.  • <b>Photos/Media/Files:</b> Needed to allow you to save and use a custom wallpaper, ringtone or notification sound.  • <b>Storage:</b> Needed to display or use the currently set background, ringtone or notification sound.  • <b>System settings:</b> Optional if you want to apply a ringtone as the default phone ringtone. • <b>Location:</b> Optional if you want personalized recommendations based on your location.  <b>Our promise</b> We do <u>not</u> import or use any personal information or files in your media library, storage or contact list.   We love ringtones, we love wallpapers - and we love diversity!  TATTOO YOUR PHONE"
8D2292A516A361177939527DD2E598F3C045CC10974AD2B27BF593EF06498233,com.teragon.skyatdawnlw.lite,PERSONALIZATION,"""...This may sound strange but when I wake up and see that, it puts a smile on my face..."" - Hearing this response about the morning birds from one of our users put a smile on our face. Two years later, more than 12 million users have installed the Lite and Pro versions of Sun Rise Live Wallpaper. We sincerely thank you for your support!  Imagine looking at the sky at dawn over the hill. This live wallpaper features tree silhouette, on top of a morning sky background with soft cloud moving, birds flying, and rainbow appearing occasionally. In the morning, a flock of birds will come out and cheer your morning with a greeting. The scene has full parallax effect.   We want to bring you the best experience we can, so we never put ads into our apps. If you like this Free version, support us by buying the full version!  You only pay once to access all features - No hidden cost.  *** We just added bird sound to the Free version. To enable more variety of bird sounds and change the sound volume, check out the Pro or All-in-One version. ***  The Pro version has many extra features: ★ (New Feature in Pro): Various types of Winter trees and interactive Windmill for selection ★ Snow Falling (with interaction and option to control using accelerometer) ★ Customize the bird sounds ★ Options for greeting birds ★ Options for scene speed  ★ Options for the rainbow ★ Options for the Parallax effect   *** Or you can get the All-in-One version, which contains all the apps in this collections (Sun Rise + Blue Sky + Sunset + Dream Night), with automatic switching among them throughout the day:     http://bit.ly/DayNightLWP    TO USE: Home -> Press Menu -> Select Wallpapers -> Select Live Wallpapers -> Select Sun Rise from the list   *** If you have any problem, please send an email to teragon.android@gmail.com, with your phone model so we can have enough info to help you!   * A note on Internet access: Starting from version 4.8.0, this app now needs access to the Internet, for error notification purpose. This can help us to identify the cause of crashes and errors on different types of devices more effectively and fix it faster for you. Usage of the Internet is kept strictly to a minimum so that it does not consume your network bandwidth or battery. We do not collect any personal data. We follow strict privacy policies in our apps. We hope you will accept this change, and we can make the app better. Send us a feedback otherwise :)"
D35F61F22175CD85DA9BD778A8C538F5944413AB3B803C611F7B3E22B54022FA,info.androidstation.hdwallpaper,PERSONALIZATION,"Our goal is to serve amazing HD wallpapers to the people all across the world. Bring your screen to life with exclusive HD Wallpapers delivered to you by Android Station Team. Each wallpaper is a real masterpiece selected by Android Station Team - just tilt your device to see more!  Did you know that an average user checks their device more than 100 times a day? Make each time a real pleasure with unique wallpapers from HD Wallpapers collections. Let your device become a source of self-expression, joy, inspiration and HD!  <b>Daily updates of free and awesome HD Wallpapers</b>  ☆ The free App provides thousands of HD Wallpapers and HD Backgrounds to make your screen unique and elegant  ☆ Simple Design, UI with faster access and greater performance  ☆ Frequent updates which keep your screen stunning with the new HD Wallpapers and HD Backgrounds you have ever seen...   <b>Features</b>  <b>☆ Simple UI</b> >  Simple User Experience with Simple Theme. >  Easy to download and set as wallpaper. >  Easy to explore amazing wallpapers from the HD Wallpapers's Gallery.  <b>☆ Lightweight and Fast</b> >  Lightweight interface consumes less memory give better performance  <b>☆ Categories of HD Wallpapers (Backgrounds):</b> >  The app provides a rich list of categories to pick the best HD Wallpapers of your choice >  HD Wallpapers owns categories like Abstract, Animals, Astronomy, Autumn, Babies & Kids, Birds, Blue & Purple, Bokeh, Cats, City & Buildings, Classy (Classic), Colors (Colorful), Dogs, Dusk, Fantasy, Fashion, Festivals, Flowers, Food & Drinks, Girly, Interior & Architecture, Landscape Mode, Love & Hearts, Minimalistic (Artistic), Monochrome (Black & White), Mountains, Music, Nature, Night, Ocean, Patterns and Textures, Pink, Portrait Mode, Quotes, Rain & Water drops, Randoms, Red, Sadness, Ship & Boat, Spring, Summer, Sunshine, Transportation, Travel, Trees & Leaves, Vehicles, Vintage, Winter & Snow.  <b>☆ Search unique wallpaper from the HD Wallpapers library</b> >  Search wallpapers from the thousands of tags  <b>☆ Picking HD Wallpapers</b> >  Daily updates with Rich library  <b>☆ Setting HD Wallpapers</b> >  Keep your favorite images by easily saving them to your own device. >  Share images to anyone and any other applications in a simple way. >  Set wallpaper as lock screen and/or home screen with cropping.  <b>☆ Size of HD Wallpapers</b> >  Sizes of HD Wallpapers are very less even if theses wallpapers are in HD. Most of the wallpapers are less than 1024kb.  <b>☆ Auto Wallpaper Changer</b> > Live Wallpaper > Automatically choose images from the HD Wallpapers Downloads > User can also select any images directory of photos and wallpapers > Set time duration between two wallpapers (Default time: 15 min) > Finally set as wallpaper and enjoy.  <b>☆ HD Wallpapers (Backgrounds)'s Facebook page</b> >  Don’t miss HD Wallpapers (Backgrounds)’ daily updates on our Facebook page. >  https://www.facebook.com/HDWallpapers265   <b>☆ HD Wallpapers (Backgrounds)'s Instagram page</b> >  Don’t miss updates on instagram as well to check <b>Wallpaper of the day</b> on our HD Wallpapers (Backgrounds)’s Instagram page. >  https://www.instagram.com/hdwallpapers265   <b>☆ HD Wallpapers (Backgrounds)’s Flickr group</b> > Please join HD Wallpapers (Backgrounds)’s Flickr group! You’ll have the chance to share your own photographs and artworks to the people all around the world. > https://www.flickr.com/groups/hdwallpapers265/"
3F5412D8D6589535311F53935B0E6CD16B70780F02F4D3B8A1463705CF962173,de.j4velin.wallpaperChanger,PERSONALIZATION,"This app allows you to quickly change your wallpaper with one single click on a widget! Additionally, you can enable a timer to automatically change your wallpaper on a predefined time or when entering a specific location.  This app is optimized for battery life & performence, so it might take some seconds to actually change the wallpaper after a click on the widget!   <b>Features:</b> • Easily add images or whole folders • Change wallpaper with a timer, on each lockscreen unlock, through a customizable widget, based on your location or at specific times on specific days • Widgets: change to next wallpaper in rotation list, select the wallpaper you want to see or change the album* with one click • Ordered rotation or random list • Very low battery consumption • No ads • Muzei integration     * Organizing your images in different albums requires purchasing the ""albums feature"" through an in-app payment (~ 0.99 EUR / USD)   --------------------- <b>Permissions:</b> SET_WALLPAPER - for the non-livewallpaper mode RECEIVE_BOOT_COMPLETED - needed to start auto rotation after reboot WRITE_EXTERNAL_STORAGE - needed to save cropped wallpapers & widget images BILLING - for in-app buying of premium Features (0.99 EUR, 1.49 USD)  The following permissions are required for the location based rules on Android 2.3 and newer:  ACCESS_COARSE_LOCATION ACCESS_FINE_LOCATION ACCESS_NETWORK_STATE INTERNET  --------------------- It is recommended to use the app as live wallpaper, as otherwise the Google backup system feature might upload your wallpaper whenever it changes - even when on mobile data!"
A0F1CDBA64DBF0B0BF485F8634A766613D6AF35D0F623E54CBB18A36BBF3D5DA,bazaart.me.patternator,ART_AND_DESIGN,"⭐️ Selected for the Play Store Best! ⭐️  CREATE HILARIOUS WALLPAPERS 😂  With Patternator you can:  • Make the coolest animated patterns and save them as a video • Create the world’s cutest patterns, backgrounds, wallpapers, and lockscreens • Choose a single or multiple designs from tons of cool stickers or from your own photos • Create your own stickers by easily cutting out your photos • Pick a background from a beautiful selection of automagically suggested colors and highly curated color palettes • Adjust the pattern’s scale, spacing, rotation and more using smart layouts and settings • Share on Instagram, TikTok and more • Save to your photos, dah 😀  • Have fun!  Need help? Got feedback? Have an idea?  Send us an email at hello@patternator.me. We answer each email personally and quickly.  PATTERNATOR® is a registered trademark of Bazaart Ltd."
E46B89E057006324C2716004E810E6E1874D07AA2C7D8E61F94F97E6FDCC7045,ru.wall7Fon,PERSONALIZATION,"Sometimes changing small things make a difference, whether it’s a path you go home after work, buying oranges instead of mandarins, or simply petting a stray cat. And because you changed your routine just a little bit you’ve now seen something new, tried something new, and made somebody happy by simply giving them attention. Small things are important because it’s easier to control them. That is why it’s so enjoyable and sometimes even exciting to do them. And one of these small things is changing your wallpaper. You can laugh but still, you can’t deny that it just feels so much more than it seems. It feels like a new start, like with just getting new wallpaper for your phone or computer you can find something inside of you looking at this small world differently. That’s why we wanted to create the biggest and constantly updating collection of cool wallpapers and backgrounds. So you could do this small change to make yourself feel better and to satisfy your desire of looking at something beautiful.  7Fon Wallpapers 4K is the best android app where you find every background you want for free. We want to give you the best so we concentrated on 1080p, 4K, Full HD, and 1920x1080 wallpapers. Every wallpaper goes through a verification and sorting process not by a machine but by man. Because of this, our app can guarantee you a TOP-quality background in every category you like, nature, something aesthetic, inventions, and so on. Every few hours we upload new high-quality wallpapers and they go through a verification process. We allow only Full HD resolution and higher (QHD, UHD, and 4K). If we get the better quality of an image that we already have, the image will be changed with the one that has better quality. Also, we delete pictures with a low rating and in which our users are not interested. This way you will get only the best wallpapers for free. We thought that all of this was not enough so we added the function of live wallpapers. Choose a background you want to see, choose the interval of changing and there you have it.    • Best quality wallpaper app for android you can find;   • Very attentive process of verification and sorting;   • We have the best quality: Full HD, QHD, UHD, and 4K;   • Constantly improving collection of background;   • Function of creating a live wallpaper.  Great amount of wallpapers and backgrounds on your choice sorted across 60+ categories which includes: 3D, Abstract, AMOLED, Amphibia, Animals, Anime, Art, Architecture, Autumn, Aviation, Beverages, Big cats, Birds, Black & White, Bridges, Cars, Cartoons, Cats, Children, Cities, Clouds, Creative, Desserts, Different, Dogs, Dreamscapes, Flowers, Food, Fruit, Girls, Horses, Insects, Interior, Kawaii, Lakes, Landscapes, Love, Macro, Material design, Men, Minimal, Money, Motorcycles, Mountains, Music, Nature, Neon, Night, Ocean, Patterns, People, Rain, Reptiles, Retro Cars, Ships, Space, Sport, Spring, Summer, Sunrise, Sunset, Textural  Find a background for yourself and enjoy it! 7Fon Wallpapers 4K will help you with that!"
E35F6D0F5AD608B4B7816F524C291AF96DA9E4537E526653AEE5EAC83E5AE5F2,com.ist.lwp.koipond,PERSONALIZATION,"A marvelous 3D live wallpaper that instantly reshapes your mobile screen into an incredibly beautiful, ultra-realistic water pond full of spiritual koi fish!       Use finger gestures to create stunning, velvet smooth water ripples and water waves that are unbelievably true!     Watch adorable koi fish happily exploring your pond! Feed or tease these naughty koi fish with your fingers to make them happier!     Choose among a rich set of fantastic natural scenes, almost every pixel has been polished deliberately just for your amusement!     A store full of magic items and advanced features makes it possible to personalize your water garden almost in any way you'd like.       <b>3 REASONS WHY WATER GARDEN IS SIMPLY THE BEST APP IN ITS CATEGORY.</b> ✔ Top-class water ripple effects at nearly no cost of extra power loss. Behind this is a blazing fast c++ engine designed purely for water simulation, built from scratch! ✔ Koi fish bodies are made of true 3D models, that's the only way to build expressive koi animations and subtle koi motions. ✔ High-definition graphics maintain high visual quality on both small displays like phones and large displays like TVs.      No other water-related or koi-related products achieve all above three like we do, that's what makes Water Garden the best App in its category!"
ABC9A8FFA1CA09E5B1154288E383FFB27197B0CC9246A19A8617A611F1ED466C,com.in.hdwallpapersapp,PERSONALIZATION,"The Wallpaper Expert android app is the perfect destination for all your wallpaper and background needs. This app offers a wide range of high-quality, HD, and 4K wallpapers that are sure to impress.  One of the standout features of the Wallpaper Expert app is its ability to automatically change your wallpaper on a daily basis. This means you can enjoy fresh, new wallpaper every day without having to manually change it yourself.  With the Wallpaper Expert app, you can easily browse through a vast collection of stunning wallpapers and backgrounds that are sure to elevate the look and feel of your device. Whether you're looking for vibrant and colorful designs, abstract patterns, or stunning landscape shots, this app has it all. In addition to its wide selection of wallpapers, this app also offers easy and convenient navigation. You can quickly browse through the various categories and preview wallpapers before setting them as your background.  All of the wallpapers and backgrounds in this app are carefully curated and are available in stunning HD and 4K resolutions. This means that you can enjoy your favorite wallpapers in crystal-clear detail, no matter what device you're using.  In addition to its impressive collection of wallpapers, our app also offers a range of convenient features that make it easy to set your favorite images as Homescreen or Lockscreen backgrounds instantly. You can browse through curated collections to discover new and exciting 4K wallpapers.  Overall, the Wallpaper Expert app is a must-have for anyone looking to add a personal touch to their phone with high-quality, HD, and 4K wallpapers. With its focus on Automatic wallpaper changer and diverse selection, it is the perfect app for anyone looking to elevate their phone's appearance.  Our simple & user-friendly interface offers the following features...  <b>Recent</b> > Latest updated wallpapers <b>Trending</b> > Popular wallpapers sorted based on user downloads <b>Featured</b> > Best Wallpapers hand-picked by our designers team <b>Random</b> > Swipe down for new wallpapers  • 60,000+ Unique wallpapers collection • Daily updates include exclusive content for special occasions like Festivals, New year, Christmas, Valentine's day, and much more... • Super-fast & lightweight app • Option to clear cache to make app loading faster and save memory & battery • Option to Share/Send wallpapers through various apps like Whatsapp, Mail, Skype, and many more. • Save your favorite wallpapers and access them through ""Favorites""  <b>With Remove ads (PRO) option:</b> - No more Ads (Valid for Lifetime) - 2x faster UI experience - Priority updates  <b>How Auto Wallpaper Changer (AWC) works:</b> - Download few wallpapers to our default folder ""WallpaperExpert"" - Navigate to Settings and choose ""Auto wallpaper changer"" - Navigate to settings (⚙️) in AWC and select any Interval from the options  - Make sure to choose ""Apply or Set Wallpaper"" after selecting the options. - Now wallpaper will be changed automatically after that selected Interval time continuously with a Random wallpaper from the chosen folder.  <b>Available categories:</b> 3D, Abstract, Animals, Cars, Bikes, Festivals, Anime, Christmas, New Year, Easter, Halloween, Mother's Day, Valentine's Day, Creative, Cute, Fantasy, Flowers, Games, Greetings, Love, Music, Nature, Landscapes, Beach, People, Autumn, Summer, Winter, Sports, Superheroes, Technology, Movies, Travel & World, Food, Military, Photography, Space and we have the best collection of Dark, Black and Minimal wallpapers which you shouldn't miss.  <b>Stay glued and we bet you will be amazed 😍</b>  ♡ We are thankful for all of your support and always welcome your feedback and suggestions ♡  *Disclaimer: All pictures listed in this app are licensed under the public domain or uploaded by artists. Users are requested to use these images only as wallpaper/backgrounds."
