sha256,pkgName,categoryID,description
759F276D42D53ABD3EBCC0D35221498CB0D87BC69817A0261C8AF3643DF24B68,au.com.lasoo.android,SHOPPING,"Lasoo helps Australians save time and money. By providing a single platform to discover, compare and buy the top deals from Australia’s best retailers - including ALDI, Coles, Woolworths, Pet Stock, Bottlemart, Pillow Talk, Katies, Crocs, Godfreys, Autobarn, Decathalon and exclusive retailers such as BBQ Galore, Lincraft, Betta Electrical, Designer Appliances, Chemist Warehouse, Ramsey and Malouf Pharmacies – we’ll help you save time and time again.  With a wide range of daily catalogues and promotions across Beauty, appliances, toys, health, fashion, pets, furniture, homewares, baby, electronics, groceries, sports, office, games, automotive, tools, photography and more, Lasoo empowers Australian shoppers with all the information needed to make better shopping decisions.   Don’t pay fool price. Whatever you’re looking for, try and Lasoo it (on special) first.   Our new platform provides an easy & interactive experience with helpful features to make shopping specials easier such as:   - Location based searches: so you can find specials available to you - Wishlist: to follow and track the products you love when they come on special - Alerts: which let you know when your favourite products are on sale or reminds you before they come off - Filters: so you can see specials by category, price range, retailer and even brand - Discovery: browse digital catalogues and promotions to discover and shop the top specials form Australia’s best retailers - Comparison: specials from across retailers to make sure you’re getting the best deal    We’re motivated by our goal to provide our users with the most frictionless specials shopping experience available. Driven by our core beliefs of honesty, transparency and value, we endeavour to be the trusted source for all your specials shopping needs and help you save on the products you love.    Join us on our quest for shopping empowerment!"
A0DE84F79AE753D6B66EC53A5CA5CDFE4F72F048EA410B7B573B56E06E95A9F4,com.jafolders.promopromo,SHOPPING,"Never miss out on the Belgium promotions with PromoPromo; One app with all brochures of the Belgium stores.    From now on the PromoPromo app will make the reading of brochures and leaflets much easier en more fun. You will have the promotions of the Belgium supermarkets, department stores, electronic companies and many other shops within arm reach. Reads like a normal brochure, but without the paper. So you can watch the Belgium promotions everywhere and whenever you like. You will be the first to know and don’t miss any promotion.  Extra service: With your approval we will remind you of the best promotions while you are shopping!   ***  TopApp *** no promo to be missed *** leaflets of leading stores  *** FREE download now ***  Extra’s: •	Search for promotions in your neighbourhood. •	Move to right page really fast •	Cut your favourite article promo and put them on the clipboard •	Find the shop of your choice on the map •	Buy online out of the brochure •	Is free and remains free •	The most complete offers •      With you approval, we can send you a reminder based on your location, for exclusive promotions when you are in a shop!"
C101BAD4C0EAB856B33C724456F0B562BD0A82B9BF46B6F74B3ABF04E82754CE,com.jafolders.allefolders,SHOPPING,"Never miss out on the Dutch promotions with AlleFolders; One app with all brochures of the Netherlands.    From now on the AlleFolders app will make the reading of brochures and leaflets much easier en more fun. You will have the promotions of the Dutch supermarkets, department stores, electronic companies and many other shops within arm reach. Reads like a normal brochure, but without the paper. So you can watch the Dutch promotions everywhere and whenever you like. You will be the first to know and don’t miss any promotion.  Extra service: With your approval we will remind you of the best promotions while you are shopping!   ***  TopApp *** no promo to be missed *** leaflets of leading stores  *** FREE download now ***  Extra’s: •	Search for promotions in your neighbourhood. •	Move to right page really fast •	Cut your favourite article promo and put them on the clipboard •	Find the shop of your choice on the map •	Buy online out of the brochure •	Is free and remains free •	The most complete offers •      With you approval, we can send you a reminder based on your location, for exclusive promotions when you are in a shop!"
49AE3ED013C47D9E306DE2EDAFF23CCB24DDECB2AB562891B26B09F4A7E3FFA0,com.aswat.carrefouruae,SHOPPING,"The MAF Carrefour app is your first choice when it comes to shopping for groceries, electronics, household items, appliances, personal care, beauty, and more. Choose from a very large variety of fresh foods from all around the world that are ready to be delivered to your doorstep.  <b>Instant Shopping</b> Enjoy instant shopping with just a couple of taps on your smartphone with the MAF Carrefour app. You find it, you love it, and you buy it.  <b>Fresh Groceries & Organic Food</b> If you don’t have the time to go running around for the item you need, you can get it on the app. Whether you are looking for fresh food, vegetables, fruits, meat, chicken or anything else, it is available for purchase. And you can also buy them in bulk.  If you want to buy electronics, you can read all the specifications and features on the MAF Carrefour app and pick the one that suits your budget and needs.  <b>Nutritional Information for All Foods</b> Shopping for food online is as easy as buying it from the store. All our food products have nutritional values displayed under them on the app, so just like you read through these before you buy groceries in the supermarket, you can do the same with online shopping on our app.  <b>A Wide Range of Products</b> We offer a wide spectrum of products from A to Z, starting from fruits and vegetables picked up fresh for you, food cupboard items and organic products, beauty products from well-known brands, fashion that keeps you warm in winter and light in summer, as well as health, personal care, fitness & wellness items. We also offer the best value for baby care products like wipes, diapers, baby formula, and even kid strollers and necessities to raise your angels. Enjoy online promotions and exclusive shopping deals on electronics, along with a wide range of laptops, smartphones, and large and small appliances for your home.  <b>Go Paperless</b> Order your groceries online now and pay zero cash by using your Carrefour wallet to make payments. You can easily top up Carrefour Pay using your credit or debit card.  <b>Earn Loyalty Points</b> With SHARE & MyCLUB memberships you can enjoy countless offers as well as earn and redeem points on every purchase.  <b>Benefits we deliver to you 📦:</b> ✓ Mobile shopping has never been easier with our app designed for your ease of use ✓ Create your shopping list with the MAF Carrefour app instead of writing it down ✓ Get your grocery delivered in 60 min using Carrefour NOW on eligible items. ✓ Locate all Carrefour hypermarkets and supermarkets near you with our store locator ✓ Available in both English and Arabic languages ✓ Get exclusive offers MyCLUB or SHARE membership and earn loyalty points  Buying your groceries has never been easier! Download the MAF Carrefour app today and enjoy the best online shopping experience you will ever have.  - The features mentioned above are not available in all countries and regions -"
AD7F7E5DF01B89393CB652DBF2C4824C674FAE17C97BF136D7327DA2EC56EE71,com.jcp,SHOPPING,"Find the best online shopping deals, rewards and coupons on your phone - it’s easy! Find exclusive discounts and shop women's clothes, shoes, home and much more with JCPenney.  So whether you’re searching for discounts on women's clothes, housewares or even a gift card for someone special, at JCPenney you’re guaranteed to find offers you want, at prices you love. This is online shopping made easy!  Deals on clothes, fun rewards and more!  <b>5 ways JCPenney will help you find the products you love for less!</b>  1. <b>Online shopping deals</b> - browse discounts on women's clothes, shoes, bedding & more. 2. <b>Rewards & offers</b> - You can use our FREE rewards program via the app. 3. <b>Coupons</b> - Save coupons to your wallet and use in-app or in-store. 4. <b>Gift card</b> - Got a JCPenney gift card? Apply it to your purchase in just a few steps. 5. <b>Shop & Collect</b> - Buy items in the app and pick them up the same day from a nearby store.  <b>SHOP & SAVE</b> Don’t miss out on our amazing shopping deals! Save coupons to your wallet and use the coupons when shopping in-app or show the barcodes to any JCPenney associate to apply them to your order. Easy!  <b>ONLINE SHOPPING</b> Our Price Check feature lets you scan barcodes in store to learn more. You can also use our Snap to Shop feature to take a picture of your favorite items and we’ll find similar products that you can shop instantly via the app.  <b>GIFT CARD, REWARDS & OFFERS</b> Not only are your coupons and offers just a swipe or tap away but now you can also save them to your wallet! Manage your gift card or access offers straight from your phone.  <b>CLOTHES, SHOES & MORE</b> Find all the women's clothes, shoes, makeup, and housewares you want easily with our modern design. You can even buy products directly in the app and then pick them up in store.  <b>HOME, FURNITURE & BEDDING</b> Shop home decór, beautiful bedding and stunning furniture right here, at JCPenney. Whether you’re looking for new statement furniture or want to redecorate your home, you can find the perfect accessories in home, furniture and bedding.   Want to stay up to date with the hottest deals? Don’t worry, we’ve got you! Opt-in to be one of the first customers to get notified via push notifications or the in-app inbox of the latest promotions, discounts, offers, and shopping events going on at JCPenney. From clothes to jewelry to home goods we’ll make sure you don’t miss discounts and deals!  <b>JCPenney Credit Card</b> Managing your JCPenney credit card is now easier than ever with our app! Now you can easily view your balance, pay your bill, and see offers just for JCPenney credit cardholders.  We love feedback! Love the JCPenney App? Please consider leaving us a 5-star rating! Questions or comments? Please use the App Feedback section in the app. We’d love to hear about your experience.  Download the JCPenney app today to get the latest offers on clothes, makeup, home goods, and more!  Continued use of GPS running in the background can dramatically decrease battery life."
DA7A45B78F6C8EAEABA07E853189C386E115D7C04604D088D191B6A133B228A9,com.mobappsbaker.uaeoffers,SHOPPING,"Get the latest offers of the UAE stores on your mobile every day !  This application notifies you daily with the Latest Promotions & Deals of the hypermarkets , brands and famous stores in UAE  Lulu Market Deals  - Carrefour Offers - Hyper Panda Offers  Nesto Hyper Market - El Manama Hyper Market - Sharaf DG - Green House - Dubai Mall Promotions -Ansar Gallery Promotions - Cars Offers - Union COOP Deals - Abudhabi COOP - Sharjah COOP - IKEA  Catalogs and More  SAVE your MONEY and Download the application NOW !!"
A11D752F0EAA18A4A5B840FF15607D630338FCE52B7761247CF8DE7BB447473F,com.agilys.myshopi,SHOPPING,"<b>myShopi - THE ULTIMATE PROMO & SHOPPING APP!</b>  myShopi is the Belgian promo and shopping app, with exclusive promotions, retailer leaflets, digital loyalty cards and many other features. It’s the perfect shopping assistant for your grocery shopping that also allows you to benefit from exclusive discounts and promotions.  <b>MYSHOPI INCLUDES</b>  1. Retailer leaflets 2. Exclusive cashback promotions 3. Digital loyalty cards 4. Shopping list for your daily groceries 5. Great Deals: superb boxes of your favourite brands at a great price. 6. Contests myShopi regularly organises contests where you can win great prizes. To participate, simply log in to your myShopi account or create a new account. The contests are now also available in the app!  <b>ABOUT MYSHOPI</b>  - The app was downloaded more than 2 million times in Belgium. - In only 4 years time, myShopi reimbursed more than 4 million euros to consumers. - Heavy cashback users have saved over 400 euros on their groceries. - Every second, 2,5 people launch the myShopi promo & shopping app somewhere in the world.  Our platform is available to 16+ users who agree with our Terms & Conditions as well as our Privacy Policy and Cookie Policy.  <b>ABOUT OUR FEATURES</b> Combine all myShopi features into one comprehensive and smart shopping experience!  <b>1. DIGITAL RETAILER LEAFLETS</b> Swipe through folders from your favorite shops on your smartphone or tablet and cut out products with the digital scissors to add them to your shopping list. myShopi offers most Belgian retailer leaflets of Lidl, Aldi, Colruyt, Carrefour, Delhaize, Kruidvat, Gamma, Brico, Blokker, Media Markt and many more. <b>Shop Information</b> Consult the opening hours and addresses of more than 12.000 supermarkets and shops.  <b>2. CASHBACK PROMOTIONS</b> The cashback promotions on myShopi are valid in every store, even the ones near you. Add the promotions to your digital shopping list to save on your groceries, week after week. You can even save up to 100% on your favorite brands and you’ll be reimbursed in only 7 days. Thanks to exclusive cashback, together, Belgian families have saved millions of euros on groceries. A cashback promotion in easy steps: 1) Discover all promotions in the myShopi app, which are valid in every shop. 2) Scan the product in the shop with your myShopi app to make sure it’s the right product. 3) Pay the product at the cash register and don’t forget to keep the ticket. 4) Take a picture of the ticket with your myShopi app and make sure it’s completely visible. 5) Complete your data, send your cashback request and you’ll be reimbursed on your bank account in only 7 days.  <b>3. DIGITAL LOYALTY CARDS</b> Include your loyalty cards in your app by simply scanning them with your smartphone. That way, you never miss out on bonus points at the cash register and you’ll never have to take that pile of plastic cards with you. Start now by adding loyalty cards of Carrefour, Decathlon, Delhaize, AS Adventure, Veritas, Hubo and many more.   <b>4. SHOPPING LIST</b> Compose your list on your smartphone or tablet by selecting products in the app and tick them off while shopping. You can also just scan the barcode of the products you want to add. Share your shopping list on different devices and with the members of your family. Start now by composing your shopping list for Carrefour, Delhaize, Colruyt and many other shops.  <b>Synchronisation</b> Synchronise your shopping list on different devices and with the whole family.  	1. Compose your shopping list.  	2. Share your list on different devices or with members of your family.  <b>5. GREAT DEALS</b> myShopi assembles beautiful boxes of your favourite brands at a very attractive price. Simply order your box via myShopi and we'll make sure it's delivered to your home.  <b>FOLLOW US</b> ---  Website: https://www.myShopi.com Facebook: https://www.facebook.com/myShopi Instagram: https://www.instagram.com/myshopi.be"
51B187E557A06DECAFB3570574CF169F79ADCD352DF4420ACE11972AB62FFD07,com.geomobile.tiendeo,SHOPPING,"<b>Tiendeo</b> is the most popular app among consumers who want to consult brochures and deals from stores in their local area. Present in 44 countries, more than 10 million users worldwide use it every day to save on their purchases.  Still not sure what it’s about? Time to find out! Discover all the features we offer that allow you to organize your purchases and help you <b>save time and money:</b>  - <b>Weekly ads and deals</b>: You’ll find the best <b>catalogues</b> and <b>coupons</b> in your city, in addition to all the information you need about the <b>stores</b> or <b>malls</b> where they are available (<b>opening hours</b>, <b>phone numbers</b> and <b>locations</b>).  - <b>Map</b>: Find all the stores and shopping centers around you at a glance. In the application you will find an interactive map of your city with all available stores and their contact information.  - <b>Shopping List</b>: You can make a shopping list and at the same time see all the promotions currently running on your desired products. On the same screen you will see the clippings of products and offers that you have saved so you don’t forget anything when making your shopping list.  - <b>Loyalty Cards</b>: Store all your loyalty cards in one place to save space in your purse/wallet, using them in the same way you do now at the in-store checkout.   - <b>Favorites</b>: While you are consulting brochures or browsing the app you can add the retailers you love to your favorites list, so you will always be the first to find out about their new offers.  Tiendeo is the only app you need to organise your shopping. Whether you’re doing your weekly shop or looking for something special, on Tiendeo you will find everything you need alongside the best discounts and promotions. <b>Save money with Tiendeo!</b>  * Your opinions really matter to us. So, if you have any suggestions, please don’t hesitate to share them with us through email: info@tiendeo.com, or here below in the comments. Thank you very much!  * You can also visit our website or social networks: Web: https://www.tiendeo.us/ Facebook: https://www.facebook.com/TiendeoUSA/ Twitter: https://twitter.com/Tiendeo_USA  * <b>WHERE IS TIENDEO AVAILABLE?</b> You can check our complete list below. Simply set your chosen country in the app and enjoy offers while traveling or on vacation:  <b>Europe</b>: 🇩🇪Germany, 🇦🇹Austria, 🇧🇪Belgium, 🇧🇬Bulgaria, 🇩🇰Denmark, 🇸🇰Slovakia, 🇪🇸Spain, 🇫🇮Finland, 🇫🇷France, 🇬🇷Greece, 🇭🇺Hungary, 🇮🇹Italy, 🇳🇴Norway, 🇳🇱Netherlands, 🇵🇱Poland, 🇵🇹Portugal, 🇬🇧United Kingdom, 🇨🇿Czech Republic, 🇷🇴Romania, 🇷🇺Russia, 🇸🇪Sweden, 🇨🇭Switzerland, 🇹🇷Turkey and 🇺🇦Ukraine.  <b>America</b>: 🇦🇷Argentina, 🇧🇷Brazil, 🇨🇦Canada, 🇨🇱Chile, 🇨🇴Colombia, 🇪🇨Ecuador, 🇺🇸United States, 🇲🇽Mexico and 🇵🇪Peru.  <b>Asia</b>: 🇰🇷Korea, 🇦🇪United Arab Emirates, 🇮🇳India, 🇮🇩Indonesia, 🇯🇵Japan, 🇲🇾Malaysia and 🇸🇬Singapore.  <b>Africa</b>: 🇲🇦Morocco and 🇿🇦South Africa.  <b>Oceania</b>: 🇦🇺Australia and 🇳🇿New Zealand."
1B2F71B67AAB3D592FE01D6B66726FB1E1A97A7EB14C62FF2E336365721D63B8,fr.bonial.android,SHOPPING,"<b>Deal discovery at its finest with Bonial</b>. Wield true savings power on your mobile device with our deals app. Save big on grocery, fashion or electronics with the latest weekly ads. Browse what’s on discount and set up alerts for your favorite products and stores! Make shopping smooth & easy with the ultimate deals app: always stay a step ahead in the savings game.  ✔ <b>Swipe easily</b> through weekly ads and local deals in your area ✔ <b>All your favorite</b> retailers in one app: Auchan, Carrefour, Franprix, Monoprix, Leclerc, Lidl, Conforama, Cora...! ✔ <b>Get notified</b> about deals and coupons from your favorite retailers ✔ <b>Easily create shopping and grocery lists.</b> Bonial automatically connects your items with the latest discounts and weekly deals in your area ✔ <b>Get all store details</b> such as opening times, telephone numbers and the fastest route to your favorite stores  ✔ <b>Save time, save money</b> and save the environment by cancelling your paper catalogs and ads   <h1><font color=""#ED3136"">★</font> DEALS, DISCOUNTS AND CIRCULARS FOR ALL YOUR SHOPPING NEEDS <font color=""#ED3136"">★</font></h1>   <b>Be the first to know about all the latest ads, deals, and sales near you.</b> Bonial is your all-in-one shopping and coupons app that helps you find all the best deals, weekly ads and in-store promotions in one convenient place. Whether you’re searching for trusted food brands at Carrefour or Intermarché, hot sales from Netto, Aldi or Leader Price, fashionable fabrics at H&M or La Halle, or affordable furnitures from Conforama, Bonial has everything you need. You’ll discover nearby supermarket deals, track the latest offers sales at the stores you love, from the mall to La Foir'Fouille. Making a large purchase? Don’t throw away cash when you can save! Check Bonial for the latest sale on electronics at Fnac, sporting goods at Sport 2000 or Decathlon, or appliances at Darty! Make the most out of shopping by browsing in-store deals on the Bonial app.    <font color=""#ED3136"">★</font> PERSONALIZE YOUR SHOPPING <font color=""#ED3136"">★</font>  <b>Personalize your shopping trips by setting deal alerts for only the products and stores you care about.</b> Bonial isn’t just a circulars app. It also helps you organize all the deals and bargains before you shop, saving you time and energy. Create smart shopping lists and view deals immediately from retailers like Géant Casino, Auchan, Cora and Super U. Target your item search to instantly save on groceries or products on sale from Conforama, Leclerc, Intermarché, Lidl and more! Set up alerts for your favorite stores and get notified as soon as their new ads go live.    <font color=""#ED3136"">♥</font> WRITE TO US! <font color=""#ED3136"">♥</font>  Love deals? Us too. We’re constantly working to improve our app and appreciate your feedback! Please send your comments and ideas to: <font color=""#98BD3F"">app-feedback@bonial.com.</font>"
32EF37A1C909EA7A6A97A49A569C8EC337223867B287E7600C066DD50364B172,it.promoqui.android,SHOPPING,"ILikeSales is an APP to browse all of the best deals around you, free and in realtime. The APP ILikeSales is the only one that lets you browse the catalogues from all retailers in UK: turn it on and you'll immediately see all active promotions ""around you"". With the search engine, you can find a store, a single product or a brand.  Key features of ILikeSales App: • BROWSE all catalogues and offers in your area • SEARCH the deals around you • MAP you can use the map to find out stores with the best offers • FAVOURITES you can save selected retailers  With the ILikeSales App, you can easily browse catalogues of all store in UK: Aldi, Lidl, Tesco, Costco, Makro, Londis and many more."
