sha256,pkgName,categoryID,description
DE59E8D3BAD2640C99F7EFE886394471F7AFE811372A1BB43B36D7774A897F4C,com.tiqiaa.remote,TOOLS,"Universal TV Remote-ZaZa Remote  can be used on built-in infrared mobile phone such as Samsung, Xiaomi, HUAWEI, OPPO, Lenovo, HTC, TCL. Universal TV Remote-ZaZa Remote  can remote control TV, air conditioning, set-top box, projector, DVD, Fan, SLR, lamp etc. If your cell phone doesn't have built-in infrared, you need a remote control accessory, we will provide you one remote accessory in app.  Universal TV Remote-ZaZa Remote: 50 Millions of people's choice. We have local IR database, crowdsourcing IR database  Characteristic function: 1, search remote control by model : use electrical brand + model and search, find remote control quickly.  2, huge remote control code library: database contains more than 300,000+ appliance remote controller, covering the global 8000+ appliance brand, supporting remote control air conditioning, TV, set-top box, projector, DVD, power amplifier, fan, SLR, switch / light bulb and dozens of household appliances. Software built-in 8W+ remote controller code library, and can control without the network.  3, DIY remote control: Remote control(Universal) supports DIY remote control function, using Remote control(Universal) accessory, you can learn the original remote control signal to the phone. DIY perfect remote codes so that people will pay for it.  Application rights: the app will request the user permission in the process of use, and the main permission items are described as follows.  Get your location: so that we can allocate the correct local infrared database for you.  Access to SD card: used to store remote controllers to mobile phone.  Read IMEI: verify the IMEI address, so that one user can only exchange each intelligent product for one times.  Recording: used for voice remote control appliances.  Photograph: scan QR code to add intelligence products.  Tim home remote elf official website: http://www.tiqiaa.com"
221FD7B768BEE58E2405D9868A20A6494D20BE05F940163AAAD7E68375CDD505,com.freeirtv,HOUSE_AND_HOME,"UPDATE 09/18/2021 - WE HAVE FIXED IR UNIVERSAL REMOTE!! The remote app you know and love is back! We are sorry it was not working for so long. Please excuse the rating the app was absolutely broken for a long time.  Looking to watch Live TV on your phone or tablet? Try PopUP - Live TV Multitasker https://play.google.com/store/apps/details?id=com.mobile.direct.cable.tv.popup  <b>• IR Universal Remote •</b> IR Universal Remote will replace your physical TV remote for good! Plus you can control other devices like Air Conditioners, Fans, Lights, and more. This application will turn phones and tablets with a built in remote IR blaster into a fully functioning universal remote.  <b>• Easy to Configure and Use •</b> You can easily browse through all of the different categories and code sets to find the best remote that works for you. All saved remotes can be quickly and easily accessed from the sliding menu panel.   <b>• How IR Universal Remote Works •</b> Many phones today have hardware built in for controlling TVs. This hardware is called an IR Blaster. Manufactures such as Samsung, LG, HTC, Xiaomi, and Huawei are using the IR Blaster in their phones. It emits an infrared signal which can be picked up and interpreted by the TV. IR Universal Remote has a very large database containing the proper codes for many different devices. It can emit these codes through the IR Blaster just like a physical universal remote. https://en.wikipedia.org/wiki/List_of_devices_with_IR_blaster  <b>• Free (Ad Supported) •</b> IR Universal TV Remote does not require any purchases to work. The application is supported by in app advertising. Ads allow users to use any remote in the app for free.  <b>• Loaded with Features •</b> Create completely custom remotes. You can edit almost every aspect of your remote. Change the toolbar color. Edit the background color or upload a background image. Edit button IR codes, colors, positions, roundness, transparency, and texts. Use the two widgets to quickly and easily control devices from your home screen. Use the notification remote to control devices while using other apps. Control multiple devices from 1 remote. Setup macros to send multiple commands to multiple devices with a single button click.  <b>• Instructional Video •</b>  https://www.youtube.com/watch?v=DuDCNaDrL-Q&feature=youtu.be"
39769D18AD1ADBF372EFB1544BC817BE2F0C0CBB814CFFDCCBCC40A82F97AD37,org.leetzone.android.yatsewidgetfree,VIDEO_PLAYERS,"<b>Yatse</b> is the only <b>Kodi remote</b> you will ever need to control all your devices. With its complete integration of <b>Kodi, Plex, Emby, Jellyfin and your local device</b>, Yatse unleashes the power of all your media. Play from anywhere to anywhere in a nice and efficient way. Yatse is <b>simple, beautiful and fast</b>, but also provides everything you have always wanted to enhance your use of your media centers, including many features that you never thought you needed or were possible.  Fast, efficient support, and monthly updates since <b>2011</b>, allows us to offer <b>more features</b> and have a <b>higher rating</b> than any other competitor. Making Yatse the best original Kodi remote control for Android and the most advanced media center controller.  <b>UNIQUE FUNCTIONS</b> • <b>Stream</b> from Kodi, Plex, Emby and Jellyfin to your Android device, UPnP, AirPlay, Chromecast, FireTV, Roku and Smart TV devices* • <b>Cast</b> your phone media to your Kodi, UPnP, AirPlay, Chromecast, FireTV, Roku and Smart TV devices* • Native support for <b>Plex</b>, <b>Emby</b> and <b>Jellyfin</b> servers* • Integration with BubbleUPnP (Server and Android) to bring transcoding to Kodi and your phone* • Material You support with many other available themes* • Full <b>Android Wear</b> (Companion app) and <b>Auto</b> support • <b>Offline Media</b>* with smart sync to always have the next episodes ready to watch • Powerful internal Audio Player* with gapless and support for many codecs • Audio books functions like playback speed or song, albums, playlist resuming • Unlimited <b>Custom Commands</b>* to gain access to the most advanced Kodi remote functions • Cloud Save* for easy backup and restoration of all your settings, hosts and commands • AV Receiver plugins* for direct volume control of your supported receivers from Yatse  <b>SOME OTHER FEATURES</b> • Natural voice commands • Modern and intuitive interface, optimized for phones and tablets • Completely configurable to fill all your needs • DashClock / Muzei extensions • Quickly find your media with advanced sorting, smart filters and global search • Wake on LAN (WOL) and power control options • <b>Multiple plugins</b> for SMS, call and notification forwarding or starting Kodi remotely • Send media from <b>YouTube</b> or browser to Kodi or other players • Optimized for speed and low battery usage • Multiple <b>widgets</b> • Tasker plugin and API to remote control Kodi and Yatse from other applications  And much more, just install and try.  <b>HELP AND SUPPORT</b> • Official website: https://yatse.tv • Setup and usage documentation: https://yatse.tv/wiki • FAQ: https://yatse.tv/faq • Community forums: https://community.yatse.tv/  Please use email, website or application help section for support and feature requests. Comments on Play Store do not give enough information and do not allow us to contact you back.  The free version is a fully functional Kodi remote without any ads. Advanced functions (marked *) and support for other media centers requires the pro version. A <b>free trial</b> is available so you can fully test the application before purchase.  <b>NOTES</b> • Limitations in Kodi prevent most Addons and PVR from casting • Kodi does not support transcoding, make sure that your media are compatible with your player or use our native BubbleUPnP integration • See https://yatse.tv/kore if you think official means better or older • All commons forks like SPMC, OSMC, MrMC, Librelec, Openelec are fully supported • Kodi™/XBMC™ are trademarks of the XBMC Foundation (https://kodi.tv/) • The screenshots contain content copyright Blender Foundation (https://www.blender.org) • All images used under their respective CC Licenses (https://creativecommons.org) • Except the material attributed above, all posters, still images and titles depicted in our screenshots are fictitious, any similarity to actual media copyrighted or not, is purely coincidental"
F61841F56D3282C7D0E3A49D3B593CDA3DEEBEEC36A37C83604CB524C146C7D2,codematics.universal.tv.remote.control,HOUSE_AND_HOME,"<b>The No.1 Universal TV Remote Control - Smart and IR Remotes App in more than 100 countries.</b>     For <b>Smart TVs / Devices</b>, the only setting required is to connect your phone as well as your Smart TV / Device to the same Wifi  network.  For <b>IR TVs</b>, your phone must have a built-in Infrared (IR) feature for the app to work as a remote control. The IR feature is required to send signals from your phone to the TV set just like a normal TV remote.  Now you can <b>Cast media files</b> stored on your mobile phone to your Smart TV screen.   <b>Smart TV functionalities</b> >> Voice Search >> Power Control. >> Mute / Volume Control. >> <b>Smart Sharing / Casting:</b> View your Pictures and Videos, and listen to music on your TV. >> Mouse Navigation and Easy Keyboard. >> Input >> Home >> Apps installed on your TV. >> Channel lists / Up / Down. >> Play / Stop / Reverse / Fast Forward. >> Up / Down / Left / Right Navigation.   The TOP Universal TV remote control app that has been downloaded and used by more than <b>75 Million users</b> throughout the world. The simplicity which this app offers to its users has been acknowledged and appreciated widely throughout the world.  So, Get rid of the annoying regular temper problems caused by:  • Losing your remote,  • Batteries worn out,  • Smacking your little sibling for breaking the remote,  • Biting and / or boiling your batteries in water hoping it would result in magically recharging them, etc.  Just right before one of your favourite TV season or show is about to start, OR your favourite sports game is about to begin, OR you want to watch news and your TV remote control is not within your reach.    No setup required. Just select your TV brand and start using it.  <b>Very Useful</b> It is always good and easy to use a single Universal remote control device to control all you electronic equipments. As mobile phone has become a major gadget that people always carry with them, so having an application installed on your mobile device that works as a TV remote control will make your life easier.   <b>Very easy to Contact Us</b> CodeMatics very cordial Customer Support is here to assist you in anything you need. Our team is working continuously to include maximum TV brands and functionalities. The smart remote control app is being updated accordingly.   If your brand is not listed or the TV remote control application is not working with your television, please drop us an email with your TV brand and remote model. We will work on to make this application compatible with your TV brand.   <b>Features of Traditional IR Universal Remote Control:</b>  • Power ON / OFF Control. • AV / TV. • Mute / Un-Mute. • Channel Digits buttons. • Channel index and lists. • Volume Up Control. • Volume Down Control. • Channel Up Control. • Channel Down Control. • Menu Button with up / down  and left / right Controls. • Red / Green / Blue / Yellow (Multiple purpose soft keys).  <b>Note:</b>  • Phone or Tablet with <b>built in IR blaster</b> is required for the Traditional IR TV devices. • For <b>Smart TVs / devices</b>, both the smartTV device and user's mobile device must be connected to the same network.  • This app is compatible with the TV brands / models currently available in the app. This is an unofficial TV remote application for these Television brands. • <b>""Email us""</b> the Model of your TV and we will try our best to make it available as soon as we possibly can. Your patience and positive feedback will be highly appreciated.   ENJOY!!!! <b>Your feedback is very important to us.</b>"
AB8E6FEA0D382BCBA8D80D5280209143F057459BDBFB2660966DACDDDEA142B4,jw.ir.remote.control,ENTERTAINMENT,"Universal IR Remote Control allows you to use your phone as a remote control for your TV, DVD, VCR or set-top box. It use the infrared (IR) emitter on your phone to control any of your devices.   Currently you can control the following devices: * LG TVs * Panasonic TVs * Samsung TVs * Sharp TVs * Sony TVs * etc However more devices will be added. Please use the Send Feedback option from the options menu to request your device and I will add the devices requested most first. Please also send feedback to confirm that the app is working with a particular model (or if it doesn't work).   This app has been confirmed to work with Samsung Galaxy S4 to control Panasonic and Sharp TVs.  To be able to you this app you need a phone with Android 4.4 (KitKat) or later and an infra-red transmitter.   Phones with IR Blaster include Samsung Galaxy S5, S4, S4 Active, S4 Mini, S4 Zoom, Note 3, Note 8.0, Note 10.1, Tab 7.0 Plus, Tab 2, Tab 3, Galaxy Mega, HTC One, Lenovo Medion Lifetab S7852 (there may be more models).  Note: LG G2 is not supported since it use an own proprietary closed interface rather than standard Android interface."
D5156B04E9CA2CC1CFF660755BD90C19D6735CAADBBAE6C2E86A7E353F70AD53,com.signzzang.sremoconlite,TOOLS,"* This app is a universal remote control to support all remote controls.  - Key Features - 1. Remote control is supported for domestic and overseas major appliances. 2. Usage is very simple.      - Download the remote control provided by the app and register it. 3. It is easy to use because it is similar in location and shape to the real remote control. 4. Supports macro buttons that can execute multiple buttons at the same time.      - One button can be used for the main channel and buttons requiring continuous remote control operation. 5. Macro button supports voice. 6. Supports running the button after a delayed time. 7. You can schedule the button to be executed every cycle and the button to be executed after the elapsed time, Supports run-by-cycle scheduling. 8. Support remote control sharing function. 9. Recognize the real remote and make it available in the app. 10. You can understand how to use the main functions through video. 11. Provide home screen widget (only for subscription version).  This app supports phones with built-in IR sensor to be used without a dongle. Phones without built-in IR sensor can be used with my remote control X dongle.  * If you have a built-in IR sensor:  Even if you do not have a separate device, you can download it from the database and download page provided by us.  In the configuration, the dongle type should be set to use IR built-in sensor.  (If you can not use LG phones, please upgrade to Lollipop and QRemote application must be installed).  * Without built-in IR sensor: You need a remote control X dongle for transmission.  * If you want to create a separate remote control using key learning (recognition) for real remote control: My remote control X dongle, which is a receivable device, is necessary regardless of the built-in IR sensor.  - Phone list with built-in IR sensor - Samsung S4,5,6 Note3, 4 and LG g2,3,4,5, V10, V20, etc. can be used immediately without a dongle. Some Xiaomi phones are also available. - Most modern phones do not have built-in IR sensors.    * Since we do not have the remote control you want to use, please send us your remote control and we will check it after input. Also, if you have a problem with your remote control, please send it to us. Most have been repaired to this day. Please use a lot.  Send to: 648 905 West Street, Geumcheon-gu, Seoul, Korea (6th Daehung Techno Town) My Media Phone: 02-866-1173 Postal Code: 08504  And if you have any other questions, please email us (info@myremocon.com) and we will answer you.  Thank you."
983358CA15B55FB9FC5216A37054C2847CF138E348CA6E469C679CADAF6B53DB,com.duokan.phone.remotecontroller,TOOLS,"Control your electric appliances with your phone using Mi Remote. Whenever you can’t find your remote or feel like pranking your friends, Mi Remote will be there to help. We also have all the information you need about your favorite TV shows, so you can switch the channel faster, or even watch the show on your mobile device. Mi Remote brings watching TV to a new level!  Supported appliances: TV, air-conditioner, set top box, DVD player, projector, A/V receiver, camera, etc. Supported Brands: Samsung, LG, Sony, Panasonic, Sharp, Haier, Videocon, Micromax, Onida, etc.  1. Most phones with IR blasters support Mi Remote and its features. 2. All mobile devices can be used to control Mi TV/Mi Box and other smart TVs with standard protocols over Wi-Fi.  3. All mobile devices support Mi Remote’s integration with TV scheduling.  Supported phones: Samsung S4/S5/S6/S6 Edge/Note 3/Note 4, HTC One Series, Mi 4/Mi 4c/Mi 5/Mi 5S Plus/Mi 5C/Mi 5X/Mi 6, Redmi 4/Redmi 4A/Redmi 4X, Redmi Note 2/Redmi Note 3/Redmi Note4/Redmi Note4X/Redmi Note5A, Huawei Honor 3/6/6 plus  Mi Remote. Life at the tips of your fingers."
3240647C82B3F15F6DC27B58897D278CCBE5C3DDD9D7036966F483AE9C2D690A,com.raon.aremotefreegalaxy,TOOLS,"A Smart IR Universal Remote Control for Android. Smart Remote control for electronic devices with your SAMSUNG Galaxy S4, S5, Note3, Galaxy Tab / HTC ONE Smart phone with IR(Infra Red) Remote.  Please check supported SAMSUNG GALAXY/HTC smart phone list below!!!  You can use your smart phone as IR Smart Remote Control for TV Settop Box Air Conditioner DSLR Camera DVD/Bluray Player Projector Streaming Box ....  A lot of remote controls are already exist in built-in app (Watch On/HTC TV) But ASmart Remote supports more devices(DSLR, Projector, Air-conditioner) and is so simple !!! And we are updating remote controls everyday!!!  ASmart Remote supports most brands and models and all functions are verified.  You don't need buy universal remote control any more. Just download ASmart IR Remote and you can remote control any electronic devices.  ASmart Remote is FREE!!!   ### IR remote control works only with Android device IR built in"
F0D9E7D5BEE087445CE12A5D1273ED58EC93CA7B9C1951D42CBC836BD3A47B78,ee.rautsik.irremotecontrol,ENTERTAINMENT,"One of the top remote control application that turns your smartphone into universal remote control. Infrared remote control application enables you to control different devices including televisions, projectors, DVD/DVR/Blue-Ray players, air conditioners, radios and many more by using your smartphone/tablet infrared sensor.   <font color=""red"">Important !</font> To use this application, smartphone/tablet with <font color=""red"">IR blaster is required</font>, common supported Samsung phones and tablets are: Galaxy S6, Galaxy S5, Galaxy S4 (also Mini and Active), Galaxy Mega, Galaxy Note 3, Galaxy Prevail, Galaxy Note 8.0, Galaxy Note 10.1, Galaxy Tab 7.0 Plus,  Galaxy Tab 3. Non-Samsung devices (HTC, Sony etc) with IR sensor work only with <b>Android version 4.4 (Kitkat) or higher</b>.    All functionality provided by this application is free, including: *Large selection of more than <b>100 000 devices</b> divided by catagory and manufacturer names. *You can combine many devices into one layout to control all of them from one screen only. You can choose background and buttons width/height and assign commands. *Search among all devices to quickly find remote control you need. *Chance to define your own custom devices with commands in pronto hex format. *Comfortable user interface for managing you custom device commands. You can test your new command right after inserting into without need to save and search it from menu. *Ability to mark devices as favourites to quickly access them from app main menu."
C64E0371316C854CDDB2333795FDECE0838F70773EA88E16C25BDC62A79F11FF,de.harrygr.rcoid,TOOLS,"Remote Control for Android - create your own universal remote control and take it always with you.   Control contemporary all your equipment like tv, radio, receiver, light control, rgb led strip,  reflex camera, air handling unit and many more without long loading time. The app provides smartphones with an infrared diode like Samsung Galaxy S5, S4, S4 Mini, Note 3, Tab 3, Medion Lifetab or HTC ONE as well as the JBMedia Light-Manager Air / Pro+ with Wifi-Bridge.  In order to be able to control the JBMedia Light Manager, it must already be set up completely and be accessible in the WLAN. Then you only have to enter the IP in RCoid and you can immediately assign all scenes or actuators to the remote control. In addition, it is also possible to forward all IR signals from the RCoid database via WLAN to the JB MediaLight Manager and to send them from this device. Since the infrared transmission power of the JB-Media is stronger than that of the mobile phone, this increases the reliability controlling the devices. And narrative are now also mobile phones without infrared compatible to RCoid.  I work on a databank for RCoid-remote controls. Try, if an existing file work with your equipment. Often remote-controls from the same or sometimes also from a different producer are compatible with other equipment.  Alternativ you can create your own IR remote control. You can decide the shape, the size, the rotation and the color of the buttons. The necessary IR-codes can you find in the internet. i.e. http://lirc.sourceforge.net/remotes, http://irdb.globalcache.com/Home/Database, http://www.remotecentral.com/cgi-bin/codes/ or http://irdb.tk/find/ You are supported with  IR-code-generators for RC5, RC6 and LIRC-Files(without mention of a protocoll)."
