sha256,pkgName,categoryID,description
B009047913B5FD03710B5FD9B2930FCDEE25D3997DDFB3E9E5CB01682EE1CC7E,com.p1.mobile.putong,SOCIAL,"With the largest Asian singles community in the world, TanTan is the #1 network to meet, chat, and date Asians or Asian Americans. 💃🕺  If you can't meet someone you like because of the busy work and limited social circle, just use TanTan to explore.  The most trendy way to meet new friends instantly. Find the ones you like quickly! If you both like each other, you will match instantly to start an instant chat to get to know each other. If you don't get a match right away, don't be discouraged, there are plenty of beautiful and interesting single Asian on TanTan waiting to match with you. Your special someone is just one step away!  [Product Features]  🙌🙌Well matched. No harassment. The choice is yours. 💃🕺Live chat. Efficient match. Instant reply from the ones you like. 🦊🦊On TanTan, your matched lover is just one step away, or maybe your destined soulmate!  [VIP Membership Service Description]  Purchase VIP Membership and enjoy a better swiping and matching experience:  1. User name highlight & exclusive badge to help you stand out from the rest! 2. 5 Super Likes per day, dramatically increase your match rate by 5 times! 3. Unlimited Rewinds. Accidentally swiped left on that special someone? Go back as far as you like so you never miss your chance again! 4. Location Change. Curious about what's out there? Explore single Asians around the world! 5. Unlimited Likes. Find your match and get hit on as many people as you like every day!  These 5 privileges will bring you a much better dating app experience while dramatically improving your match rate!   For any questions, please feel free to contact us at intl-support@hellogroup.com  Follow Us Facebook: @tantanapp Instagram: @tantanapp"
64636C625A39F001789953483CCF3AC8FA55CC67C4E0B4ECA93D1886D9DE69C4,sg.omi,SOCIAL,"Whether you are looking for a romantic date, a casual hangout, or just a friend for sharing the trivia of everyday life, you can always find people who have the same thought as you in Omi! Millions of couples & friends have met and embarked on their wonderful journey from Omi. Ready for yours?  A Simple Swipe When You Feel Right! With Omi’s big data algorithm of LBS, MBTI romance compatibility and common interests, we ensure you the highest success rate to match. Your special someone is just a few swipes away! 👉  Various Ways to Discover People Like You There are more ways to get matches other than swiping. Omi Blind Date helps you to meet like-minded people in creative ways. Choose an avatar and get started! You could unlock your matches' real pictures if you both send 5 messages. ► Start your chats with more than a ""Hi"". Daily questions from Omi's Dating Quiz brings people who pick the same answer together. Follow the topic and share more about yourself! 💕 ► The more you know a person, the easier you know if he/she is your type. Based on the super-scientific MBTI test questions, Omi's Love Style Test reveals your romance compatibility scores and where you shine in a relationship! 🔬 ► Everyone deserves a gentle “Sweet dreams” after a stressful workday. If you are looking for someone to give you a night call, try Omi's Telepath! But don't be surprised if you fall in love with a beautiful voice:P 💓 ► We know you are also curious when finding that special someone, be it a friend or a significant other. If you also turn to the stars for signs, let Omi Clic's tuneful bell rings guide you to your zodiac meant-to-be!🔮  Your Safety Matters To maintain a safe community, Omi does more than you think. We make our photo verification fast and precise, by adopting world-leading facial verification technology. We would do everything we could to prevent fake profiles and make a safe and comfortable community. Our community safety team is on-call 24/7 to eliminate fake or spam accounts with a zero-tolerance policy. 🛡️  Omi Premium: Same Price, Moooore Features Enjoy a variety of value-added services with ultra-low prices for Omi Premium 💎  ► See Who Likes You toplisted people already swiped right on you 👀 ► Unlimited Likes for you to meet as many people as you want 💖 ► 5 FREE Crushes per day. Let that special someone know you are really into him/her 😍  ► 1 FREE Turbo per month to boost your profile by 10 times for more attention 🔥 The list goes on and waiting for you to discover~  Omi Supreme: Enjoy your personal filter Omi Supreme includes all 9 Omi Premium privileges with extra exclusive privilleges: ► Message Before Matching: You have 3 Direct Messages to send to people you like 💌 ► Personal Filter: You can filter by height, degree levels, purpose and lifestyle to only see your type ⚖️   We value your feedback! Hit us up with an email for any question, comment or concern via: support@omi.sg  Terms: https://omi.sg/terms Privacy: https://omi.sg/privacy Website: https://omi.sg/  ------  If you choose to purchase Omi Premium or Omi Supreme, payment will be charged to your Google Play account, and your account will be charged for renewal within 24 hours prior to the end of the current period. Auto-renewal can be turned off at any time by going to your settings in the Play Store. Current Omi Premium subscription price starts at $20/month, with 1-month, 3-month and 12-month packages. Omi Supreme subscription price starts at $60/month, with 1-month, 3-month and 12-month packages. The price is clearly displayed in the app, and pricing may vary in different regions and is subject to change without notice. If you do not purchase Omi Premium or Omi Supreme, you can still use Omi for free!"
BCAAD7AD9C32E12780960B00DB3B0F4FEDD7E9D104FE13A30D29B96A92502001,com.kismia.app,SOCIAL,"<b>Kismia</b> is an online dating app and site for serious relationships. Every day thousands of people from all over the world who are looking for a relationship register here to meet and chat with new people online, to find love, make a date, start a romantic relationship, and even to build a family.   <b>Chatting and local dating on Kismia</b>   A main feature of Kismia is the high user activity. Greeting templates make it easy to take the first step and meet people in your area.   You can search for a partner in the Dating section and via the “Suitable” and “They like me” lists. Each part has its own specific features:   <b>1. The Dating Section.</b> Here you will find single people whose goals are dating and meeting people or looking for new friends . This section shows your potential partner’s name, age, and photo and allows you to indicate your feelings or to just move on to the next profile. You will also be given a compatibility percentage for possible matches. <b>2. The Suitable list.</b> Here, you will find people who best match you according to your search parameters, helping you meet women or men you are most compatible with. <b>3. They Like Me List.</b> In this list, you will find people who have liked you and to whom you can indicate your feelings in return.   The site allows you to meet new people nearby and make new friends  online for free. So you can chat and connect with comfort and ease, you can opt for our additional Premium Subscription or VIP status options.   <b>Safety and Security</b>   We take great care to ensure security for all our online dating mobile app users. To avoid fake registrations and bots, we check every profile at the registration stage, checking the accuracy of the given information and the authenticity of users’ photos. The Kismia moderation process blocks profiles with fake information and wont accept inappropriate photos.   <b>Other pros of Kismia<b>                 +  easy and free registration;                 +  extended filters to search for suitable people;                 +  dating goal and interests in plain view;                 +  prompt and efficient support service;                 +  no ads.   <b>Facts about Kismia<b>   ✔ Every day 6,000 couples get together on Kismia; ✔ Men and women over 30 date here; ✔ Real people only – all profiles go through a two-step verification process; ✔ It takes on average two weeks from getting to know each other on Kismia to a face-to-face meeting.  If you keep searching for a serious dating site and googling <b>singles near me</b> or <b>singles in my area</b> to find a girl or a man of your dreams — search no more.   Kismia has a proven 8-year long record of helping users meet single women and men all over the world.</b></b></b></b>"
2E921760CFE68C424BDF27E3CB1FF279C848DF53DF1024363D42BE9A2A6CF8B4,com.badoo.mobile,DATING,"Welcome to Badoo, the dating app that makes it easier to date 💜  In a society that profits on our self-doubt, Badoo is the online dating app where it pays to be the real, unapologetic you.   We’re a little different from other dating apps. We fight the ambiguity of modern dating with authentic, unfiltered chats. We believe real connection is born from being honest in who you are and what you really want.  SWIPE, MATCH & MEET 👌 Badoo is the dating app that allows you to match and chat with people, make friends, or find a partner. We make it easier to meet people near you:  ✔ Don’t be shy: Introduce yourself, complete your profile to raise your popularity and get more matches.   ✔ Have fun with our filters: Find friends and dates by using our special filters.    ✔ Meet People Nearby: Meet people who live near you, make new friends and chat for free.  ✔ It’s a Match!: Straight forward swiping, right to get a match and left to skip.  ✔ Video Chat: Don’t stick to messages! Make real connections with your match by chatting to them over a video call.  ✔ Have fun: Share pictures from other social networks.  ✔ Better Together: Invite your friends to Badoo and share profiles you are interested in.  ✔ Clips: Record yourself answering fun questions like ‘What’s your signature dish?’ and give potential dates a cute conversation starter.  ✔ Share your mood: Craving coffee or in the mood to laugh? Let people know! That way, you’ll be able to match someone who’s on the same vibe as you at that moment.  ✔ Intentions: Being on a dating app doesn’t mean you just want to date. You might want something serious, to find friends or have a deep chat. Whatever you're here for, let people know.    Start your dating journey today!   GO ON REAL DATES 👆 Whether you’re looking to start dating, have chats, or make friends, you’re sure to find it on Badoo.  ✔ Ready to chat and date? Our great features mean you’ll be chatting about all sorts of things (like whether or not you’d survive a zombie apocalypse!) before you even get to your date.    ✔ Chat for free with singles and make local friends.  ✔ Meet our lovely community with million monthly active users looking to make friends, go on dates and fall in love.   SAFE AND SECURE 🔒 Badoo is a dating app that ensures safety and respect within our community. We do not tolerate any kind of inappropriate behaviour and have strict usage guidelines, as well as an extensive list of safety features to ensure the best dating experience with us.  Safety Centre 💜 Where you can find in depth guides, useful tools and essential helplines to date with confidence and ease.  Private Detector 🚫 This keeps you safe from unsolicited images. If a graphic image is detected in our dating app, we’ll blur it and warn you of the content.  Rude Message Detector ❌ Any insulting, discriminatory or overly sexual messages will be automatically flagged.   Verified profiles ✅ These little ticks means that their dating profile has been vetted by us—and there isn’t a bot on the other side!  Video calling ☎️ Being able to have video calls means you can really see the person you’re talking to.  Personalised settings 🔧 Tailor your settings to make sure your profile is the way you want it to be, like deciding when you appear online and who can message you.   BOOST YOUR PROFILE 🔥 Serious about dating? Activate Badoo Premium! You'll be able to access plenty of exciting features that will help you get the most out of our app:  ⭐️ Find out who added you to their favourites and meet local singles.  ⭐️ See who liked your profile. It's time to meet new people and make new friends!  ⭐️ Get your messages to read first and start a chat.  ⭐️ Swiped left on the person of your dreams? You can go back with Premium and get a match!  The price varies by country and may change without notice, but you can always see the exact price in the app.   Read our Privacy Policy and Terms of Use: https://www.badoo.com/privacy https://badoo.com/terms"
6024878D0B86E28970072640B4FDF65A2555D8A5F15BF948B827586761D934E1,com.hotornot.app,DATING,"Chat & Date is the most easy to use dating app to help you find amazing people near you, and let them find you too ❤️   See how popular you and your friends are, as well all of the great people nearby, wherever you may be; at a music festival, on a college campus, or hanging out in the city ?. We also give you all the tools so that whether you're looking for a relationship, friendships or to find love, you can do it no fuss, no complications.   Download Chat & Date to meet new people and start your straightforward dating journey  WHY CHAT & DATE? We are the dating site that consistently ensures safety and respect within our community. We do not tolerate any kind of inappropriate behavior and have strict usage guidelines, as well as an extensive list of safety features to ensure that you have the best dating experience with us.   WE MAKE DATING EASY We make it easier to meet people near you the way that you want to meet them...   - Dating Nearby: Meet positive singles around you or make new friends.  - Encounters: Straightforward swiping, right to show you're interested and left to keep swiping.  - Video Chat: Connect with your matches through face to face video calling.  - ✅ Verified profiles: Chat safer and choose to only interact with verified profiles.  - Blur intimate photos: We automatically detect explicit photos and warn users before they open them.   CHAT & DATE PREMIUM Serious about dating honestly? Then activate Chat & Date Premium to access plenty of new, exciting features that will help you get the most out of our app so you can meet, chat and date with amazing people:  ⭐ Find out who added you to their favorites and meet singles.  ⭐ See who liked your profile. It's time to meet new people and find friends!  ⭐ Get your messages read first.  ⭐ Swiped left on the person of your dreams? You can go back with Premium!    ____________________________   The price varies by country and may change without notice, but you can always see the exact price in the app. We will charge your card and your subscription will be automatically renewed unless you deactivate the automatic recharge a minimum of 24 hours before the end of your current subscription period. Chat & Date Premium is flexible and adapts to your needs - you can cancel your subscription at any time.  When you open our app, we ask for your mobile number and permission to read/send text messages. We only need this to find the confirmation code that we send via text message. This is to help us confirm you're a real person, and keep our app spam-free. We will never send an SMS without your permission.   Powered by Badoo."
FADDE389EEDF752EB9CA23507EF58F4D3F080C62D76D9A4DFD22BDC2478B4729,com.luxy,SOCIAL,"Welcome to Luxy, the top elite online dating app for singles with higher standards. Launched in 2014, Luxy is designed for successful, ambitious and well-educated singles who love mature dating and healthy lifestyles. Here you can match and date local singles, or people in your area. Feel free to join if you earn more than $200k, or are invited in by other members. Luxy also plays matchmaker for the successful, i.e. CEOs, celebrities, entrepreneurs, supermodels, beauty queens, pro athletes, doctors, lawyers, established mature men and women. They are all here looking for romantic love and serious relationship. If you’re looking for the same thing, it can be the best place for you to meet new people!  Luxy welcomes sophisticated and mature singles that are looking for real connections. Please also note that Luxy Does NOT cater sugar relationships.  Featured on Global News Media Luxy is labeled 'A Millionaire Matchmaker Dating App'. With millions of millionaires around the world, Luxy has been featured on BBC, Business Insider, The Huffington Post, to name a few.   “Luxy is for millionaires; ... is for celebrities...” --Geekwire  How Does Luxy Online Dating & Mature Matchmaking Work Luxy extends its dating services by hosting elite parties and events for local singles. They met new people, chatted with local elite, millionaires and elegant singles. Some of them have found their like-minded life partners.   While there are other millionaire dating apps, Luxy executes the most reliable verification process to guarantee the best user quality among all the match dating apps. The annual income earned by Luxy Millionaire Singles:  41% earn $1M+ 3.3% earn $750K+  7.6% earn $500K+  15.3% earn $350K+  17.6% earn $250K+   Free access to many easy-to-use features: - Meet, chat, flirt, and date with mature men / rich millionaires nearby. - Swipe Right to Like and Swipe Left to Pass. - Unlimited messages to local millionaire singles.  - Free virtual gifts.  Enhance your experience with our most mature dating membership - Luxy BLACK + See Who Liked Your Profile. + The Private Mode: Show your profile to the ones that you have LIKED. + Double Swipes: Get double profiles, match more sophisticated and mature singles! + Advanced Filters: Find friends and meet new people. + More BLACK Messages: Chat with local high value singles.  More subscription options, low to $12.99/mo.:  - Your account will be charged at confirmation of your purchase and auto-renews for the same price and duration period as the original one/three/six-month package. - Auto-renewal may be turned off by going to your Account Settings after purchase and must be turned off at least 24-hours before the end of the current period  - No cancellation of the current upgrade plan is allowed during your active period.   Please note that any spam or inappropriate behaviors are not allowed on Luxy. Luxy is a high-quality community that is designed for serious relationships and mature love. Conversations that trigger the keywords can expect to be banned. Unlike other flirting dating apps, Luxy has a more advanced verification process, ensuring users more reliable verified profiles. Luxy is the app for you to meet new people and local singles, helping you find real love with like-minded people. Luxy is aimed at giving you perfect elite matches.  Your privacy is always the most important thing to us. See more about our Privacy Policy and Terms at:  https://www.onluxy.com/page?path=privacy https://www.onluxy.com/page?path=terms"
4E3A0FB7FF6AF66E13CDDFAFB3DEEB24170AD3ECE235D8B91EA9FBBEC256AA8C,com.infostream.seekingarrangement,DATING,"UPGRADE YOUR RELATIONSHIPS™  Where beautiful, successful people fuel relationships on their terms.  Seeking is the leading luxury millionaire dating app for finding a relationship, soulmate, or a significant other “outside of your league”. With over 20+ million Successful and Attractive members, Seeking is the largest millionaire dating app for those in the luxury lifestyle. Featuring beautiful, wealthy, elite, and established singles from all walks of life. From CEOs, executives, entrepreneurs, investors, financiers, doctors, lawyers, and billionaires to celebrities, pro athletes, models, actors and actresses, seeking love, romance and relationships on their terms.  --  Seeking has been featured extensively in the media on CNN, 20/20, ABC, The View, Huffington Post, Business Insider and The New York Times, just to name a few.  The Seeking app is dating for the “cream of the crop”. Whether you belong to the league of the successful or the league of the attractive, the Seeking app is aimed at helping you find the best possible boyfriend, girlfriend or soulmate. Unlike other dating apps that focus on the luxury lifestyle niche, the new Seeking app features an improved verification process, as well as background verified profiles.  Seeking also organizes events, such as singles parties, and relationship summits for our community of millionaires, successful and attractive members, singles worldwide.  Locations we regularly hold events in include New York City, Los Angeles, Toronto, Chicago, Miami, Philadelphia, San Francisco and London.  With Seeking, users are put in the best position to match and to find real love with like-minded individuals who are also the “cream of the crop”. Seeking members are honest, empowered, ambitious, driven, attractive, successful, established and wealthy individuals from all over the world who enjoy the luxury lifestyle, but most of all, they are looking for genuine relationships, friendships and true love.  The Seeking app gives you access to a number of simple to use features:  - Discover Successful or Attractive people near you - Find exactly who you want to meet with Advanced search filters  - Add other members as a Favorite or Message anyone you like - Easily purchase one of our Subscription packages to upgrade to a premium membership   Other Important Notes: • View our Privacy Policy at https://www.seekingapp.com/privacy • View our Terms of Service Agreement at https://www.seekingapp.com/terms • You must be at least 18 years old to download and use this app"
B4D490CB032A7C0EAC1A732FFC901C1F15F7A918BD40F1585DE5F1C4F2A01F8A,com.blackdivine.gleeden,SOCIAL,"Gleeden.com – the leader in married and coupled people encounters!  With a top-of-the-range community of more than 10 millions members, Gleeden.com is the first extramarital dating site made by women !  You want to break the routine? Enjoy some new discreet, anonymous and secure encounters! Sign up for free in just a few clicks!  Start now and enjoy: - 100% real members - An intransigent content moderation 24/7 to keep a high-quality community - Innovative features to protect your anonymity  It’s up to you!"
569F53A91CF099FD596637F7028D685E67C0DE5BE8BC7BD730975FC2EB4E668F,com.grindrapp.android,SOCIAL,"Grindr is the world’s #1 free dating app serving the LGBTQ community. If you’re gay, bi, trans, queer, or even just curious, Grindr is the best and easiest way to meet new people for friendships, hookups, dates, and whatever else you’re looking for.   On a trip? Grindr is an indispensable tool for LGBTQ travelers—log in to meet locals and get recommendations for bars, restaurants, events, and more. With Grindr in your pocket, you’ll always be connected to other LGBTQ people around you and have your finger on the pulse of what’s happening.  Ready to get started? Creating your profile is easy, and you can share as much or little about yourself as you like. Within minutes you’ll be ready to connect, chat, and meet up with people near you.  Grindr is faster and better than ever:  • See people nearby based on your location • Chat and share private photos • Add tags to share your interests • Search tags to find others based on their interests • Create private albums to share (and unshare) multiple photos at once • Filter your search to find what you want • Star your favorites and block others • Report people easily and safely  Looking for even more? Upgrade your Grindr experience to XTRA for more features, more control, and more fun:  • No 3rd party ads • See up to 600 profiles at once • View only people who are online now • View only profiles with a photo • Filter by position, relationship status, and more  Want the ultimate Grindr experience? Upgrade to Grindr Unlimited for our most premium features:  • Unlimited profiles • Full access to your Viewed Me list • Incognito mode - browse profiles without being seen • Unsend messages and photos • All XTRA features  Need help? If you are experiencing any issues, you can get support by contacting us through https://help.grindr.com  Grindr Ads:  Grindr (excluding XTRA and Unlimited accounts) includes third-party advertising, which involves the sharing of limited data with our Ad/Marketing partners as described in our privacy policy. Grindr does not share any of your Grindr profile information with Advertising or Marketing partners. You can adjust your third-party advertising privacy settings within the app at any time.   Grindr Subscriptions:  Your subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Your iTunes account will automatically be charged at the renewal price within 24 hours prior to the end of the current period unless you change your subscription preferences in your App Store account settings. You can manage your subscriptions at any time through your App Store account settings after purchase. Any unused portion of a free trial period will be forfeited when making a purchase of an auto-renewing subscription.  Grindr, Grindr XTRA & Grindr Unlimited are for adults 18 years and older only. Profile photos depicting nudity or sex acts are strictly prohibited.  Terms of Service: www.grindr.com/terms-of-service/ Privacy Policy: www.grindr.com/privacy-policy/"
175F23DFFCB58C8CD353B2BC88B6163430188E881974ADF510E0BA69A7032395,com.dating.android,DATING,"Join Dating.com™ and discover the world’s most popular, responsive and feature-rich dating app. Tap into an online dating community bursting with great single people, conversation and love. You’ll get an instant buzz!  Dating.com is the stylish platform that allows you to meet single women and men in over 75 countries. Grab your chance to transform how you date online and meet singles – someone really special. Send your life in thrilling new directions… Get the most out of this powerful, must-have online dating app:  🌏 EXPAND YOUR CHOICES Dating.com lets you connect with lonely women and men. You have so many options to find a date in Europe, America, Australia, Asia, and beyond. Get closer whether you’re traveling or dating online from home!   💘 FIND WHATEVER YOU WANT Get exactly what you want whether you wish to find a friend, or it’s a serious new relationship, exciting chat, or a mix of everything. And get an acquaintance every way you want with our ample features. Variety is the spice of Dating.com!  😍 DATE SINGLES WITH A DIFFERENCE Dating.com offers you an unrivalled set of internet dating features big on innovation. We just added the brand new way to date – live stream! Now you can enjoy video dating - watch singles broadcast in real-time and see their personality shine.  💞 EVERY FEATURE YOU’LL NEED •	Register FREE to browse and connect to one of the most popular dating apps. •	Search for a virtual date based on your preferences. •	View stunning profiles and high-quality photos of single girls and guys. •	Get notifications when someone looking for friends messages you. •	Watch live streams of attractive single ladies and men. ✔ Subscribe and get premium features to meet mobile: •	Access private photos & videos. •	Chat in real-time to get closer. •	Use offline messages to stay in touch and talk to new people. •	Video Chat: meet face-to-face.  •	Swap photos and build trust while meeting online. •	Send stickers, animated smilies in the dating messenger. •	Try Let’s Mingle and get more interest.  🔒 COMPLETE PEACE OF MIND We are committed to safe traditional dating, privacy protection and member verification. Our AI-powered screening and moderation system safeguards our community 24/7. You can depend on our online dating service!  ♥️ DATING.COM – DEVOTED TO YOU Dating.com offers you the freedom and flexibility to meet new friends anywhere! Over 25 years of expertise and purpose-driven technology has given us the power to make love happen in new ways. Mobile dating inspires us whether it’s a two-way private chat or a live party stream. That’s why we match millions of members online every day.   IMPORTANT SUBSCRIPTION DETAILS •	Subscribe to chat with other members via this app. •	Choose one of three great subscription packages to use premium features – 150 Credits/month ($29.99 for the 1st month, then $69.99/month); 400 Credits/month ($142.99); and 950 Credits/month ($269.99). •	Your Google Play account will be charged once you confirm your purchase. •	Your subscription will renew automatically unless you cancel within 24-hours prior to the end of your current subscription. •	You can switch off auto-renewal by going to your Google Play account settings after the purchase.  Privacy policy: https://www.dating.com/privacy-policy/ Terms & conditions: https://www.dating.com/terms/"
