sha256,pkgName,categoryID,description
E9E1122A50813427D0C7C5CA77D2DE502F5F98B7A6C26139907577DCB86C916D,com.pingapp.app,PRODUCTIVITY,"Transform your email into chat and make managing your inbox easier with this revolutionary email client! → <b>Join over 150,000 teams</b> using Spike’s secure mail app to turn their email into chat, boost their productivity and get things done.   Spike’s revolutionary email app simplifies mail and makes email feel as easy as sending a text. We took all the best components of chat and messenger and combined it with mail. With Spike’s email chat, you become more responsive, more organized and less overwhelmed with managing your email.  Boost teamwork productivity, responsiveness, collaboration, clear clutter and keep emails organized!  How can Spike’s email app help you be more productive? Streamline everything you need into one place–From business email to personal email. Chat, communication, tasks, to-do lists, calendar management, and more has never been easier!   💬 THE POWER OF EMAIL WITH THE SIMPLICITY OF CHAT The best features of messenger brought to email. Instead of managing long email threads, Spike’s email app sorts your inbox into chat just like your text messages. Create group chats, team chats or 1 on 1 chats. No more repeating headers, signatures and long threads.   ✔️ MANAGE YOUR TASKS Organize and prioritize your tasks and team projects—create, chat, manage, set reminders, and complete tasks all from your Inbox. The perfect email for teams. The Spike email client lets you send emails, collaborate with your team, and share documents without ever leaving your Inbox.  📩 KEEP YOUR INBOX ORGANIZED Spike's intelligent Priority Inbox removes distractions so you can stay focused and get things done. It sorts the important messages first, and moves low priority messages to the side for later.  🤝 UNIFY YOUR INBOX–CONNECT ANY EMAIL ADDRESS & MANAGE MULTIPLE MAIL ACCOUNTS Spike works with email accounts such as iCloud, Office 365, MS Exchange, AOL Mail, Hotmail, Outlook, MS Exchange, Yahoo Mail, IMAP, Alto, Gmail, IONOS email, GoDaddy email, Office 365, Comcast, Verizon, AT&T, and more. Just login and connect your business email or personal email to get started.  💥 SUPERCHARGED EMAIL FEATURES:  Undo Send - Made a mistake? You’ve got 10 secs to undo that message - 1-Click Unsubscribe - Unsubscribe and block spam emails - Super Search - Instantly find what you’re looking for, without opening a single email - Quote Replies - Reply to specific chat messages easily - Send Later - Schedule any item to hit someone else’s inbox at the right time - Bulk Actions - Mark as read, delete, or archive thousands of email messages - Reminders, message templates, snooze emails and more - Group Chat- Add anyone on your team to a group chat to simplify email collaboration and get productive    💡 THE EASIER WAY TO USE EMAIL Spike’s secure email app is accessible from any device, from anywhere. Notes, calendar events, team chats, documents, tasks, Group chats, and email accounts sync seamlessly across all devices (mobile, desktop & web), in real-time.  👥EMAIL COLLABORATION FOR TEAM PRODUCTIVITY Email collaboration has never been better. Get all the tools you need to collaborate on team chats, notes, docs and more. Plan, discuss and execute together in real time. Easily access all shared files from the team chat profile.   🔒 PRIVACY GUARANTEE Spike’s secure email app is ad-free and does not rent, sell, distribute or monetize on your data. Ever. We believe that privacy and security are essential to any conversation. Our secure email chat encryption keeps your data safe.    Have questions?  Chat with us: chat@spikenow.com"
747800E066DF2FD04363F26BDEDE92F0597E973D6FE721B39B04BC10CE7C4BFF,com.fastmail.app,COMMUNICATION,"Use the power and elegance of the Fastmail interface on the go. Your email, contacts, and calendars stay with you on mobile devices.  * Get instant alerts for new mail arriving in folders that are important to you. * Search your entire email archive in seconds. * Schedule meetings, respond to invitations, and look up contacts with just a few taps. * Pin important messages to the top of your inbox for instant access. * Easy access bar puts all your information at your fingertips. * Get notifications from one, some or all of your folders * Filter your notifications to just your known senders * Calendar event alerts * Masked Email gives you a unique address for every online service * Our 1Password partnership makes signing up to services online with Masked Email easy and secure  Note: You must be online to access your mail.  Offering trustworthy service, outstanding technology, and a personable approach -- Fastmail is email on your side. For your mobile needs, the Fastmail app is pleasingly intuitive and fast at every touchpoint. Access your email, contacts, and calendars wherever you go."
826A5068F5BCB178E835A25DEB9B89E0B8961AE5AE528BE61037829ABAF2FA05,com.nhn.android.mail,COMMUNICATION,"※ The new NAVER Mail app(v2.2.7) can only be used on Android OS 4.2 version and up.   [Key Features] 1. Shifting the 'View Type' You can view the mails collected in chronological order using various view types including 'Interactive View' or 'View by Person'. Tap the icon on the right side of the list and change to the most comfortable view type of your choice.   2. Find Faster with 'Quick Filter If you want to view only desired mails, use 'Quick Filter.' With a single touch, you can quickly view only unread mails/ important mail/mail with attachment/VIP mail.   3. View by 'Sender' The mail list will be organized based on the 'Sender' if you tap the person icon in the view shifting menu. Quickly check mails from important people and bind unimportant mails to handle at once.   4. Swipe to Delete You can directly send the unnecessary mails by swiping the list of mails to left. You can also swipe-right the list to change the status of already viewed mail as 'unread.'   5. Add to VIP Add important person to you as VIP. If you change to 'View by Person,' mails from VIP will appear at the top of the list and you can also filter to view only the VIP mails.   6. Preview Attachment When checking received mails with attachment or double-checking if file has been properly added before sending, manage your attachments at once with 'Attachment List' unfolding in front of you all at once.   7. Receipt Confirmation and Transmission Cancellation You can directly check whether the mail I had sent has arrived well or if the receiver has read my mail. If the receiver uses NAVER mails, you can also cancel already transmitted mail.   8. Import External Mail Gmail, Yahoo, Outlook and more,... Set frequently used mailing accounts to be viewed in NAVER Mail app all at a glance for an easier management.   9. Sync with Naver Cloud You can attach large files when sending mails and save attachments in received mail using Naver Cloud.   10. Password Are you worried about other people peeping into your mail? Use the password lock. You can safeguard your mails even when your phone is lost.   11. Support screen optimized for Pad Mail optimized for tablet environment, View more pleasantly with wider screen!     Please contact NAVER Customer Service Center ( http://naver.me/5j7M4G2y ) for inquiries while using this app."
B91C41F2A9CA1D0E93DF573D6950008B26EAB7B67C3B53BA9ED295648640E5EA,me.bluemail.mail,PRODUCTIVITY,"<b>Blue Mail</b> is a free, secure, beautifully designed, universal email app, featuring smart and elegant user experience and capable of managing an unlimited number of mail accounts from various providers. Blue Mail allows for smart push notifications and group emailing while enabling personalization across multiple email accounts. Being ad-free, Blue Mail is the perfect replacement for your stock email app.  With a powerful unified interface experience packaged in an intuitive and easy to use design, Blue Mail provides a top-notch email service for all your email accounts.  <b>ALL YOUR EMAILS IN ONE PLACE</b> ● Multiple providers - Gmail, Outlook, Hotmail, Yahoo Mail, AOL, iCloud and Office 365 ● Support for IMAP, POP3 + Exchange (ActiveSync, EWS, Office 365) Auto Configuration ● Sync multiple inboxes from all your providers in a Unified Interface ● Instant Push Mail for the widest range of providers (IMAP, Exchange, Office 365, etc.) ● Blue Mail features Integrated Calendar, allowing for the ability to access your Calendar events right within Blue Mail. View, create and edit your future events easily  <b>ENHANCED FEATURES</b> ● PEOPLE TOGGLE SWITCH- The People Toggle is a new and original way to view your Inbox and reduce its clutter. In addition, tapping on an avatar will show all emails between the email participants and you. ● GROUP MAIL - Define & Share Groups to quickly send & receive emails ● SHARE EMAIL - Share emails publicly or privately through various social networks & messaging apps, receive emails from people who wish to engage with you instantly while keeping your email address private ● EMAIL CLUSTERS - Organizes similar emails together to remove clutter from your inbox. It categorizes emails from known senders into smart clusters, and organizes your emails into a sub-folder structure automatically, without the hassle to manage it manually. ● SMART MOBILE NOTIFICATIONS - Quiet Hours, Vibrate, LED Light, Snooze and other preferences per each of your inboxes ● UNIFIED FOLDERS - View all your email accounts folders through a combined interface for your Inbox, Sent, Drafts, etc. ● SPAM MANAGEMENT - Advanced spam mechanisms including the ability for users to directly Block Senders, Block Domains or Block an entire suffix of domains ● BEAUTIFUL DARK THEME - with an automatic switch between day & night modes ● RICH TEXT SIGNATURE - Easily configure styles and add your logo ● ANDROID WEAR - Receive and act on notifications right from your watch ● DYNAMIC SMART CONVERSATIONS – Makes email convenient and easy ● BACKUP & SYNC – Safely sync all your email accounts to your existing and new devices ● CONFIGURABLE MENUS – Customize your swipe menu and email view actions ● GETTING STUFF DONE - Mark emails for later and set reminders so you do not miss them. When you finish handling an email, mark it as Done to get it out of your way. Reach Zero Inbox. ● VISUALLY APPEALING - Services logos, senders images, easily recognize popular services by their icons ● <b>Days to Sync, Color-Coding, Scrollable and Unread Widgets, Intelligent Badge, Mobile Printing & Much More!</b>  <b>PRIVATE & SECURE</b> ● NOTIFICATIONS WITHOUT A PROXY - Blue Mail is one of the only modern apps to be a True Android Client by communicating directly with your email provider and not transferring any email messages via an email Proxy Server! Your emails always stay with you ● INDUSTRY-LEADING ENCRYPTION - Your data is always encrypted to protect your email communications and information secured. Blue Mail uses leading industry protocols to secure and protect your data ● LOCK SCREEN - You can set a timed lock screen to protect your emails  We ♥ getting your feedback! Please email us: support@bluemail.me  Special thanks to everyone who rates us 5 stars and provides a warm feedback. It's so encouraging for the team!  For news, please follow us on Twitter & Facebook: http://twitter.com/bluemail (@bluemail) https://facebook.com/bluemailapp https://bluemail.me"
0CD8844322C083672419C38CAF4C36E66C7467FC66A7BC3DB9E9B528059418BD,com.trtf.blue,COMMUNICATION,"<b>Type App</b> is a beautifully designed email app providing a top-notch email experience while managing all your email accounts from one completely customizable mail app. With instant smart push notifications, packaged in an intuitive & easy to use design, Type App is <b>the perfect replacement for your stock email client</b>   <b>Unified Inbox</b> – All Your Mail Accounts in One Email App Supporting IMAP, POP3 as well as Exchange protocols. Type App automatically configures them once you sign in. View & sync all your email accounts from one Unified Inbox, while enjoying lightning fast true push email.  <b>People-Centric</b> – Bringing People Together Communicating with people is important and with Type App’s innovative people-centric features, it becomes even more simple. Focus on mail from people much faster with the People Switch, or be notified when specific VIP Notifications.  <b>Group Mail</b> – Quick & Easy Mailing You can create a Shared Group with all your contacts at your work and personal accounts, which every member can view, to receive and send emails.  <b>Simplifying Email with Clusters</b> Automatically combine relevant emails into a single expanding slot using Type App smart threading as well as set different notification sounds for specific services. With Clusters, you can control all emails from a specific sender and with multi-edit quickly moving, deleting, or marking clusters as spam is simple.  <b>FEATURE RICH EXPERIENCE</b> ● Instant, Smart Push Notifications - Quiet Hours, Custom Sounds, Vibrate, LED Light, Snooze Alerts and other preferences per each of your accounts ● Smart Conversations – Makes mail app convenient and easy ● Rich Text - Easily configure text styles and add your logo ● Calendar Sync and Contacts – Get your ActiveSync work account in sync ● Android Wear - Intelligent email on your wrist ● Configurable Menus – Customize your menus with actions that really matter to you ● Wireless Printing – Integrated with any supported printer ● Days to Sync – Saves memory for offline use ● Unread and Scrollable Widgets - Access your mails inbox at a glance ● Beautiful Dark Mode & Themes ● Account Color Coding - Know from which account a mail has been received   <b>Getting Stuff Done</b> Quickly mark emails that you wish to be handled later & set yourself reminders. When you finish handling an email, you can simply mark it done and get it out of your way without having to delete the email. Use our Smart Filters to easily filter emails by unread/starred.   <b>Visually Appealing</b> – Beautifully Designed Easily recognize popular services by their icons and give your friends and contacts an avatar photo to help you process your incoming mail faster. Quickly see how many unread emails are in your inbox with the TypeA pp icon (for supported devices) or with the 1x1 unread widget for any account of your accounts including the Unified Inbox. Set colors for your accounts to help them stand out or use Type App’s automatic Dark Theme which switches per the daylight hours in your area.   <b>Security</b> – Private & Secured TypeApp takes your security and privacy seriously by utilizing industry leading encryption. You can rest easy knowing your data is always encrypted to protect all your email communications and keep your information secured. With passcode and lock screen, you can set a timed lock screen to protect your private emails, or use SMS verification to ensure your email app is safe.  We ❤ getting your feedback! Please email us anytime: support@typeapp.com with any questions or suggestions you may have!  For news, please follow us on Twitter & Facebook: https://www.typeapp.com https://www.twitter.com/typeapp (@TypeApp) https://www.facebook.com/typeapp"
5292054240E6FBAE64443611F7EB2086B5DCA070779129FF9F5ABF57F308518E,de.web.mobile.android.mail,COMMUNICATION,"<h1><b>WEB.DE Mail </b></h1> Your new easy-to-use e-mail client: With WEB.DE Mail all your e-mails are at your fingertips. Create a free mail account and choose your desired WEB.DE mail address (@web.de).  New: Optimized mail app widget (access your mail folders, 4x1 widget and incl. compose mail option)     <b>WEB.DE Mail at a glance:</b> ✓ Login with mail address and password ✓ Configurable push notifications ✓ Lightweight and intuitive user interface ✓ Read and write mails on the go ✓ Secure access with PIN code ✓ Send and receive encrypted mails ✓ Synchronization with your GMX or WEB.DE address book (optional)     Add all your mail accounts to WEB.DE Mail. Simply login with email address and password. A manual set up is possible as well.  <p>✰<b>About WEB.DE Mail </b> WEB.DE is one of the biggest mail providers in Germany. Create your WEB.DE email address for free. </p> <p>✰<b>Mails in real-time</b> Never miss an important mail again: push notifications will inform you about incoming mails. Configure your push notifications and set quiet times. Have all mails in your inbox anytime. </p> <p>✰<b>Secure mail account</b> You can send and receive encrypted e-mails (PGP). Add a PIN code to secure your WEB.DE Mail app. </p>"
46901AF69C6B55D280A36AEA8A66BE701B10C95E60900F2E4F21D5E2BB83EE11,de.gmx.mobile.android.mail,COMMUNICATION,"<strong>GMX Mail App – Your All-in-One Email App</strong>  Everything you've come to expect from a GMX webmail account can now be utilized on your Android mobile device with our official email app. Enjoy convenient and easy access to your free email account wherever you are. Quickly find contacts in your address book, view, receive and reply to messages, all at the touch of your fingertips. Experience unparalleled mobility and freedom with our email app.    <strong>✰ Some of the features of the GMX Mail app at a glance: </strong> ✓ Available on every Android device ✓ Optimized, simple and intuitive usage ✓ Synchronization with your GMX or WEB.DE address book (optional) ✓ Battery saving push notifications for incoming emails ✓ Secure access with PIN protection mode ✓ Read and save attachments easily   GMX’s free email app is not only designed to be easy to use, but simple to install, too. Once downloaded, you'll have access to all the same features as on your desktop. No longer will you be anchored in one place to receive an email, but you will be afforded the flexibility to view and receive emails while on the go.   <strong>Ease of Use</strong> Sending and receiving emails should be as easy as possible, and it's that ease of use that has gone into the design of the GMX Mail app. Regardless of your provider, collect all of your email accounts in one single place. Navigating and managing emails is a simple task with the use of swipe gestures, and your address book, inbox and other folders are never more than a click away. Saving attachments is effortless and will allow you to keep them on hand for later use.    <strong>✰ Customizable and Intuitive</strong> Just as everyone lives a different lifestyle, we understand everyone has different expectations and requirements from an email client. With this in mind, we have made our app customizable to suit all tastes and needs. Whether you'd like to set custom alerts for emails, enjoy a more low-key mail experience with a vibration notification, or change the way emails are presented to you, GMX Mail enables you to do this and more.    <strong>✰ Always take your Email with you</strong> Never miss another urgent email with GMX's mail app. Our push notifications will alert you to incoming emails, meaning you won't even have to have the app open to be informed of new messages. With GMX's PIN protection mode, you can rest assured that your mail will always remain safe and secure, and will be privy only to you. Never miss another email with our free mobile app, courtesy of GMX.    Have fun using the GMX Mail app!"
DDDD67CCD0D69E1F8FC8B2540F4886110B08AE272B29067EBCDD762FC168CA0B,com.mail.mobile.android.mail,COMMUNICATION,"<strong>mail.com Mail and Cloud App - Secure mail and cloud storage in one reliable email app</strong>  Our secure mail app brings all the speed and convenience of your mail.com email inbox and cloud to your smartphone. Enjoy 24/7 access to your mailbox and cloud storage.    <strong>EMAIL</strong>: Check your e mails, reply to e mail messages, use your mailbox, email folders and contacts, all from your smartphone. One secure mail app for multiple email accounts and email addresses! mail.com's secure mail app for Android is mobility for your e-mail inbox.   <strong>CLOUD:</strong> Your mail.com Cloud can be accessed online in your mailbox, so you don't just have your e-mail in your secure mail app inbox, but online cloud docs and photos as well. Activate automatic photo backups to keep your memories safe in your online mailbox.  <strong>The mail.com secure cloud & mail app features: </strong> - Email encryption & security technology (TLS, SSL)   - Mailbox functions include full screen mode, pinch to zoom, and more  - Email push notifications (optional)  - Sync with your smartphone address book (optional) - PIN, fingerprint, or facial lock security - Secure mail account includes 2GB free online cloud - Access to all items in secure mail.com Cloud  - Upload photos & docs from smartphone to Cloud - Email and share photos from your cloud - Save email attachments and send documents from cloud storage - mail app and webmail mailbox automatically synced  - 100+ domains to customize email address, e.g. @email.com   <strong>Stay in the loop</strong> Email address book, inbox and folders are accessed with a click. Activate the push e-mail function to fetch your e-mail messages automatically to your mailbox. Get notifications on your home screen when new e mails arrive in your inbox. Your e mails are never more than a glance away with the mail.com secure e mail app.   <strong>Your cloud in your mailbox</strong> Our secure mail.com mail app lets you access the free mail.com Cloud right in your mailbox, for secure online storage of photos, videos and documents. With cloud mail you can access all stored files online on your smartphone and upload items directly from phone to cloud. An automatic upload function can be activated to back up photos to your secure cloud and access in your webmail.   <strong>Personalize to your heart’s content</strong> The secure mail.com app is flexible, so you can tweak the inbox and free e-mail functions to suit you. Set a custom tone to be notified of new e-mails, or if you prefer a quieter online mailbox, activate vibration notifications. You can change the way your e-mail list appears and further customize your e-mail inbox and webmail. Personalize your email address with 100+ domains. From the makers of GMX webmail, Ionos, and 1&1, mail.com is e-mail and webmail that puts you first. Experience our online e-mail inbox and webmail today!   <strong>100% convenience</strong> Your mailbox: secure e mail & cloud app is packed full of e mail and cloud features to make life easier. Clean up your secure mailbox with the ‘Empty Spam’ button, and access important areas of inbox and mails instantly: The pen icon presents you with a blank e mail, and the magnifying glass lets you search your e mails when you need to find an old e mail without having to comb through the mailbox.    For mailbox security activate the fingerprint or facial ID lock function if supported by your Android smartphone. For all other Android devices create a PIN code to protect access to your online e-mail and mail.com inbox. Our secure e-mail app inbox gives you peace of mind.    <strong>We want to hear from you</strong> Mailbox, e mail app or webmail - we want your feedback! Enjoying your custom email address? Click Feedback in the Settings area of our secure e mail app and submit ideas for our online inbox & webmail. Enjoy your secure e mail mailbox & cloud app by mail.com and 1&1, the maker of GMX webmail and Ionos."
AF5AEE59C591AF69EF0546C13B5A2EA477B839D9421E5A68E08F295D2C7A4814,ru.mail.mailapp,COMMUNICATION,"Official mail application Mail.ru. Convenient Mail for smartphone Android.  Simple and fast application for simultaneous work with several Mail.ru, Yandex, Gmail, Yahoo, Hotmail and other mailboxes. Receive and send messages, share photos and documents. Get instantly notified about new messages. Adjust the time, folders and services for which you want to receive push-notifications. Personal spam filter will protect you from annoying mailings. Stay always in touch with the Mail.ru app!  ★ ★ ★ ★ ★   Did you know that developers can not respond to comments in Google Play? Therefore, any requests, suggestions and comments, please send via the ""Feedback"" in the app or email mailapps@corp.mail.ru. In this case, we will respond quickly and solve the problem as soon as possible.  ★ ★ ★ ★ ★    - Multiple accounts support. Add all of your boxes and switch between them easily. Now, move between work and private email is as simple as between folders within a single mailbox.  - Full synchronization. It does not matter whether you read, flagged, or moved messages from a computer or mobile. All changes will be saved on the server and synchronized between devices.  - Protected folder. Mail.ru app enables you to store information and protect it. Create a folder with a password in the web interface. It will be visible in the application and accessible only after you enter the password.  - Filters. View unread email, flagged email or emails with attachments  - Search the entire mailbox. Use our search engine to quickly find any email.  - Push-notifications for new emails. You will be notified  about new message almost instantly if your Android device is connected to the network.  - Filtering notifications. Set a time to receive notification, select services, folders or create a personal filter to receive only those alerts that are important!  - Caching emails. Emails are stored in the phone's memory and are available without a network connection. Read messages and view attachments in transport or, for example, in the countryside.  - Personal spam filter. Do you get messages from services that you didn't sign up for or can't unsubscribe from? Tap Spam and all subsequent letters from the sender will automatically be sent to the appropriate folder. Read only the important messages for you.  - Avatars. It's easier and more convenient to navigate through applications with photos of recipients.  - Email Threads. View your entire email conversation on one screen, just as you did on the web version.   ★ ★ ★ ★ ★    The application has been tested and is compatible with Android version 5.0 and higher."
A7B2730E08B6D4321993C119BAC1675B418CA8475F29738C8F773617E9F60825,com.microsoft.office.outlook,PRODUCTIVITY,"Stay connected and protected with Microsoft Outlook, the secure email app. Access your email, files and calendar with all in one place, helping you stay productive with whatever hits your inbox, whether it's work, school or your personal files. Organize your email intelligently, with filters for everything and spam email protection. Organize your day with a task organizer and calendar reminders. Keep in touch with anyone you need with the intelligent inbox that can do it all.  Outlook works with Microsoft Exchange, Microsoft 365, Outlook.com, Gmail and Yahoo Mail, giving you flexibility to stay connected on the go. Manage your email and send documents from your Files list or photos from your Gallery.  Stay protected from phishing and spam with Outlook’s secure and seamless inbox management. Whether your Gmail inbox needs extra security or your Yahoo Mail needs more organization, Microsoft Outlook has you covered. Connect with Teams, Zoom, BlueJeans, WebEx and other video calling providers for any meeting on the go.  Organize your email with tags, folders and more. Listen to what’s new in your inbox, organize schedules and more. Find what you need with Search with a tap or your voice.  OUTLOOK FEATURES:  Email, Contacts & Files – All In One Place • Inbox access to everything you need in one app including other email providers. Manage your Gmail inbox and others with Outlook • Access files right from your inbox, with connected experiences with Office, Word, Excel, PowerPoint & OneNote. Access locally in Outlook, or on OneDrive or other cloud storage • Organize your email with tags, folders & more. Easily filter out unwanted spam email • Check messages from email clients like Gmail and Yahoo Mail online from your phone  Security & Privacy - Email Management & Spam Email Protection • Microsoft Outlook protects your files, emails and information with security you can trust • Secure Email App: Built-in protection against viruses, phishing & spam email • Spam email detection sends all potential threats to a separate folder. • Microsoft security & privacy keeps your email, calendar, contacts & files safe  Planning & Calendar Management • Calendar organizer to help you schedule your day • Create and join your online video calls from Teams, Zoom, BlueJeans & Webex • RSVP to invites from your inbox & send personalized comments • Keep your weekly calendar and daily tasks organized with Outlook  Task Organizer & Productivity Solutions - Intelligence Everywhere • Email organizer groups same subject emails & conversations for easier tracking • Use your voice to find people, contacts, emails, events & attachments with Search • Use suggested replies to respond quickly • Listen to emails with Play My Emails & catch up hands-free • Calendar automatically updates with travel & delivery information  Microsoft Outlook is compatible with: • Microsoft Exchange • Microsoft 365 • Outlook.com • Gmail • Yahoo Mail • AOL Mail  Management for contacts, email, work schedule, files & more with Microsoft Outlook.  See your emails and events at a glance with the Outlook companion app for Wear OS"
