sha256,pkgName,categoryID,description
EC23C5112A67815EC5FAF5F3F74F1987F9FCFE17802EF4458354E3389C751CF9,photocollage.photoeditor.collagemaker,PHOTOGRAPHY,"InCollage, a full-featured <b>Photo Collage Maker & Photo Editor</b>, offers 500+ picture collage layouts, frames, backgrounds, templates, stickers & text fonts to create cool photo collage. It’s your perfect pic collage maker to customize layout fit for every occasion, including holidays, weddings, babies, Before & After, etc.  Features: ● Collage maker that combines up to <b>20 photos</b> to create pic collages. ● 300+ <b>Layouts</b> of photo frames or grids to choose from! ● Pick a picture, add text and share <b>Meme</b> with friends. ● Large number of <b>Background</b>, <b>Sticker</b>, <b>Fonts</b>, and doodle to choose from! ● Support <b>importing your own fonts</b> with special art style! ● Change ratio of picture collage and edit border of collage. ● Make photo collage with Free style or Grid style. ● <b>Crop</b> pictures and edit photo with stylish <b>Layout</b>, <b>Filter</b>, <b>Text</b>. ● Insta <b>square photo</b> with blur background for Instagram. ● Save photos in high resolution and share pictures to Instagram, Facebook, WhatsApp, Line, etc.  📷 Photo Frames InCollage pic collage maker supports tons of layouts, photo frames and photo effects that make your moment stunning, like love photo frames, anniversary, holiday & baby photo frames… So it's also a collage maker that brings you creativity and love.  📷 Meme Generator  This pic collage maker is also a meme generator and meme maker. Create funny memes and share them on WhatsApp, Snapchat, Messenger, etc. You really can't miss this ace collage maker!  📷 Photo Editor PRO With a bunch of powerful photo editing tools, you can easily crop a photo, apply filters & picture collage layouts, add stickers & text, draw on photos, flip, rotate, and much more. InCollage Pic Collage Maker is truly an intuitive photo collage editor for Instagram.  📷 Pic Collage Editor for Instagram An easy-to-use pic collage editor & picture collage maker with trendy layout designed for Instagram. It supports multiple ratios e.g. 1:1, 3:4, 5:4, 9:16. You can also share collage photos with friends on Facebook, Twitter, WhatsApp, and Line in high resolution.  📷 Photo Collage Editor With hundreds of picture collage layouts and many custom options, you can easily design layouts on your own to make a beautiful photo collage. Pic Collage Maker creates stylish collage photo for you.  InCollage - Photo Collage Maker & Photo Editor is your pocket collage maker, meme generator, pic stitch, and photo editor for Instagram and printing. If you have any problems or suggestions, feel free to let us know. Email: photostudio.feedback@gmail.com"
99B21D3855051349D749219D9F94A18021B858E6128DC0B7D5B12D7FE1D1FAF4,photo.editor.photoeditor.photoeditorpro,PHOTOGRAPHY,"Photo Editor Pro is an All-in-one handy photo editing app that offers everything you want to enhance photo. It enables you to remove background, create photo collage, facetune, make png stickers, and add stylish <b><font color=""#D2001E"">effects, photo filters & presets</font></b> to photo retouch in one tap. If you like to change face into anime, try cartoon photo editor to double your fun with our AI swap face editor. With Photo Editor Pro, you can directly post your <b><font color=""#D2001E"">No Watermark</font></b> artwork in high resolution to Instagram, Snapchat, WhatsApp, Facebook, TikTok, etc. Unlock your creativity, and edit pictures like a pro!   👓<b>100+ Filters for Pictures with zero cost</b> - Y2K, VHS, Aesthetic Glitch, Vignette, Natural, Warm, Dew, Dark, Cocoa... - HSL color picker: brightness, contrast, saturation, hue, warmth, etc.  ✨<b>Glitch Effects & Blur Photo Background</b> - GB, RG, Neon, Negative, Swirl, Pixel, Fisheye and more; - Blur photo background to get <b>DSLR Blur Effect</b>.  👑<b>Photo Blender & Light FX</b> - Mix and blend two images to make stunning artworks; - Bokeh, Lens, Splash, and dozens of light leaks effects.  💃<b>Body Retouch</b> - Slim body and face with body editor tools to get a perfect figure; - Smoothen & brighten your skin with refined pores; - Elongate legs to make your proportion better.  🎨<b>Photo Collage Maker</b> - Remix up to 18 pictures into a photo collage instantly; - 100+ grids, massive backgrounds, frames, filters to choose from; - Halloween, Aesthetic, Cartoon, Emoji, Doodles, and more photo stickers for BABY.  📸KEY FEATURES + Powerful and easy photo edit tools; + Photo to cartoon, cartoon face maker & magic AI lensa avatar; + Hundreds of filters for pictures, stickers, and photo effects; + Stylish photo effects: <b>Glitch, Drip, Neon, Mirror, Cartoon</b>, etc; + <b>Face retouch & body editor</b> to reshape body & facetune; + Collage maker with 100+ photo layouts, grids and backgrounds; + Blur photo editor with <b>motion blur & DSLR blur</b> effect; + Quick story maker with massive templates; + Draw and add text on photo with various art fonts; + Resize & Insta IG 1:1 square & blur photo background for Instagram; + Share pictures in HD to Instagram, Facebook, WhatsApp, etc; + Colorize, unblur, restore & enhance photo quality with AI enhancer;  100+ Photo Effects Highlight your photos with charming photo effects. Sparkle, art, old, aesthetic, vintage filters for pictures, glitter, overlay, glitch, angel wings effect…   Blur Photo Editor  A must-have blur photo editor with an advanced blur image brush. It is used to blur parts of your photos to get a DSLR blur effect. You can also unblur the image with eraser and adjust its blur strength as well.  Background Photo Editor  Use this advanced background eraser to seamlessly combine your cutout photos with many creative background templates. Both an AI cutout tool and a background changer are designed for you to make artwork easily and quickly.  Photo Collage Maker Just select several pictures, Photo Editor remixes them into cool photo collages. Pick the layout you like best, and edit collage with filters, background, stickers.  About our permissions: Photo Editor Pro asks for permissions ""READ_EXTERNAL_STORAGE, WRITE_EXTERNAL_STORAGE"" to read your photos so we can edit and save photos. We do not use this permission for any other purpose.  Photo Editor Pro deserves your try right away. With Photo Editor Pro, your moment will be as brilliant as an artwork. Follow @polish.photoeditor and remember to post with the hashtag #polishphotoeditor on Instagram. If you have any problems or suggestions, please don't hesitate to let us know. Email: polish@inshot.com.  Disclaimer: Polish is not affiliated, associated, sponsored, endorsed by, or officially connected with Instagram or Facebook."
E4A1F7B2B3AA4A4A984BF9A2D1F470CB06D19F3E94C9B353D0E9A174935471DA,photoeditor.layout.collagemaker,PHOTOGRAPHY,"<b><i>Collage Maker is your go-to photo collage maker and pic stitch app in pics art trip.</i></b>  Just select several photos in your photo lab, Collage Maker instantly remix them into cool photo collage. Pick the layout you like, edit picture and decorate it with filters, stickers, texts and much more.  Features: ● Combine up to <b><u><font color=""#D2001E"">20 photos</font></u></b> to create pic collage. ● 100+ <b><u><font color=""#D2001E"">Layouts</font></u></b> of frames or grids to choose from! ● Large number of <b><u><font color=""#D2001E"">Background</font></u></b>, <b><u><font color=""#D2001E"">Sticker</font></u></b>, <b><u><font color=""#D2001E"">Font</font></u></b>, and doodle to choose from! ● Change ratio of collage and edit border of collage. ● Make photo collage with Free style or Grid style. ● <b><u><font color=""#D2001E"">Crop</font></u></b> pictures and edit photo with <b><u><font color=""#D2001E"">Filter</font></u></b>, <b><u><font color=""#D2001E"">Text</font></u></b>. ● Insta <b><u><font color=""#D2001E"">square photo</font></u></b> with blur background for Instagram. ● Save photo in high resolution and share pictures to social apps.  📷 Side by Side Photos Lots of inspirational uses to create side-by-side photos. You can make a before & after SNS cover, create YouTube thumbnails side by side, and even make side-by-side outfit comparison Instagram posts.  📷 Grid Photo Create photo collage with hundreds of layouts in seconds. Custom grid photo size, border and background, you can design layout on your own! So easy to make a beautiful photo collage.  📷 Edit Photo All-in-one photo editor provides a bunch of editing tools: crop picture, apply filter to picture, add sticker and text to image, draw on image with doodle tool, flip, rotate...  📷 Freestyle Select beautiful background with full screen ratio to create a scrapbook. You can decorate with pictures, stickers, texts, doodles, and share your scrapbook to Instagram Stories and Snapchat Stories.  📷 Story Template 100+ Stylized templates including Film, Magazine, Ripped Paper… Have fun with this Insta story maker, share your most memorable moments with friends.  📷 Multi-fit Insta square photo in a blur background or white to fit for Instagram. You can choose multiple ratios, 1:1, 4:5, 3:2 ratios, etc. Easily post entire photo with no crop. You can even square up to 10 photos at one time.  About our permissions: Collage Maker asks for permissions ""READ_EXTERNAL_STORAGE, WRITE_EXTERNAL_STORAGE"" to read your photos/videos so that we can edit and save photos. We do not use this permission for any other purpose.  Collage Maker is your go-to photo collage maker, pic stitch and photo editor for Instagram and printing. Follow @gridart.app and remember to post with hashtag #gridart on Instagram. Win chances to be featured and get a ton of likes! If you have any problems or suggestions, feel free to let us know. Email: photostudio.feedback@gmail.com"
12394BF48134C588ADAE5DA0469DDA9C09000B56DE86BCD49295F10B2C198052,com.accordion.perfectme,ENTERTAINMENT,"Perfect Me - <font color=""red"">Body editor and face retouch</font> is a fantastic AI photo and video editor, free editing both for face and body. Retouch photos & videos easily with our AI tools. It helps you reshape body to get the slim body and perfect figure. Get long legs, firm abs as well as realistic tattoo.  Retouch for the perfect face. Try new looks with the hypic makeup cam. Use filters and effects in the beauty editor to create perfect selfies! As the first body editor app on Google Play, we offer many photo and video editing tools. You can easily get your insta beauty hypic! Never miss the body reshape and face tune editor.  Features: ✨ Reshape Body Editor and Retouch Details - Body editor to slimmer waist. Get slim and skinny body shape - A hot photo editor app for you to body tune - Get peachy hips and plump your lips - Increase height. Get beautiful long legs.  - Get abs, cleavage, clavicle and six packs muscles. - Avatan your beauty selfie, add artistic tattoos & fonts - Make your insta size foto perfect - A perfect body shape editor for you to liquify body and face easily  ☺️ Beautify Face, Face Tune Editor - Professional face smoother editor. Remove pimple, acnes - Blemish remover to touch and retouch photo - Correct skin tune and highlight glitter for beautyplus - Try the makeup tools to airbrush perfect photos - Facelift: Touch up face and make your face small and fit. - Adjust facial features: Plump up lips, teeth whitening and nudge your smile - Grow a taller nose bridge, reshape eyebrows for facetune - Try the face app to bright up lips and eyes - Change hair color and hair style.  ❤️ Makeup Beauty Editor - Get sweet freckles, clean or marinated makeup looks - Tune selfies with makeup cam and beauty filter - Use beauty camera and the makeup filters for virtual makeup - Try lipsticks, eyeliner, blush, contour makeups for Perfect365 Makeup - Makeup editor: use makeup kits to get Pretty Makeup - Get perfect makeover with the Selfie Editor & Selfie Filters - Get ready for Halloween with the spooky Halloween makeup looks  ▶ <font color=""red"">Video Body & Face Editor</font> - Added Video Editing & retouch tools. Reshape body and retouch face in videos - Slim waist and legs. Pretty up your look in videos and smooth skin - Enlarge eyes, plump lips to look good in youcam - Auto beautify and remove blemishes in videos - Try the teeth whitener, remove wrinkle, and brighten wink video editor  ⭐ Beautify photos - Add stylish filters & presets to beautify your pics. Beauty editor to get insta beauty - Make your photo and selfie perfect 365 days - Add dress-up stickers: blush, hat and glasses to dress up your face - Touchretouch: remove objects, blemishes and retouch photos - Background eraser: remove BG in a tap. Change background instantly - Blur photo editor: auto blur background. Try blur effects to mosaic pixelate pics - Hair color changer and auto tune skin color - AI photo enhancer: enhance photo quality. Fix blurry photo and make clear photos - Aesthetic photo & video effects: try trendy retro vintage filters, Kirakira star effects and unique 3D face accessories  ⛺ Photos adjustments - Stickers of various themes to decorate your photos - Faceapp face editor to make your photo lift more likes for you - Crop photos to fit for the required sizes of social media platforms - Share them on Instagram, Snapchat and Facebook - Collage maker: choose 100+ layouts to edit grid & story and create pic collage  Download Perfect Me to use this excellent portrait editor, photo enhancer and skinny app to make you look like who you want to be. Let U like editing photos by yourself! All we do is to let everyone edit photos without professional skills to restore their beauty twisted by camera."
A59A6210D89FE0A3A94C2D5933A82B7716087D6EE8CF3AA9B0613C849CC129DD,com.adobe.psmobile,PHOTOGRAPHY,"PHOTO EDITING MADE FUN AND EASY FOR EVERYONE  Tap into your creativity on the go with Photoshop Express–a fun, fast, and easy picture editor for one-touch transformations and photo edits–used by millions of creative individuals. Create high quality images and touch up your favorite moments with our easy-to-use photo design tools on your mobile device.  Photoshop Express delivers a wide and diverse selection of features and effects at your fingertips. Use our photo editing app to personalize and perfect your experiences with stickers and overlays, apply blur, enhance colors and images with Looks filters. Create a photo collage, generate memes, fix and enhance your share-worthy moments for stunning social media content. Unlock unlimited possibilities with Photoshop Express Premium!   You don’t have to be a professional photo editor to make stunning picture edits. With Photoshop Express, you can edit your photos all on your own!  PHOTOSHOP EXPRESS FEATURES  PICTURE FILTERS - Our intuitive photo editing app has everything you need to create your own share-worthy photos - Blur: Add full or radial and blur to blend out backgrounds and shift focus to specific subjects - Photo Enhancer: Select from an array of editing tools to improve the look of your photos - Dehaze pictures, remove unwanted red or pet eyes and seamlessly apply vibrancy and dramatic filters - Crop photo dimensions, fix crooked images or distorted camera angles with just a few taps - Erase background noise and smooth over imperfections with a few simple swipes  PHOTO ENHANCER & PICTURE COLLAGE - Smooth skin appearance and edit over blemishes with spot healing features - Perform touch-ups with a tap, retouch and fix portraits and selfies in seconds - Ready-to-use photo grid layouts make it easy to create an amazing photo collage - A picture collage is a great way to capture all of life’s special moments   PERSONALIZED IMAGE DESIGN - Photo editing apps shouldn’t be complicated to use, so we made it easy for you to customize with ease - Add text to your photos from a wide array of fonts and layouts - Use our image editor to add personalized touches to your photos - Customize images with stickers and captions  - Create memes of your very own with our easy to use graphic design features - Create a photo design with stamps, custom watermarks and more  UPLOAD & SHARE PHOTOS EASILY - Photo sharing and uploading just got easier with Photoshop Express - Upload images from multiple source formats (including raw and TIFF) - Use our photo editing app as a social media and Instagram editor for photos - Share photos for social media content and export them to all of your favorite social media channels - Upload to social media channels like email, TikTok, WhatsApp, Facebook Messenger, Telegram, Signal, and Line to inspire others.   PREMIUM Upgrade to Photoshop Express Premium to access extra, exclusive features and more precise editing controls.  Photoshop Express is the photo editor and design app for users of all experience levels. Make photo magic happen with the Photoshop Express picture editor from Adobe - proud makers of the Photoshop family. Create and fix fun, shareable memes, personalized pic collages and stickers.    Adobe Terms of Use: Your use of this application is governed by the Adobe General Terms of Use (http://www.adobe.com/go/terms_en) and the Adobe Privacy Policy (http://www.adobe.com/go/privacy_policy_en)  Do not sell or share my personal information: https://www.adobe.com/privacy/ca-rights"
D6AB1F037E12703B54C8729937326A14A339205D45693F330DE2E08D1B86E4B8,com.cyberlink.photodirector,PHOTOGRAPHY,"PhotoDirector allows you to <strong> animate your photos </strong> with a range of AI-powered effects all in one place. Also, with a few taps, easily <strong> remove unwanted objects </strong> , <strong> change any background </strong> , and  <strong> edit photos </strong> with out-of-this-world effects. Get ready to use bokeh and dispersion, and let your photo edits go bigger and bolder.  🌟 <strong> The best all-in-one free photo editor and collage maker to enhance, stylize, and animate your images </strong> Edit your photos all in one easy-to-use photo editor and collage maker. With precision editing tools, you can make essential lighting and color adjustments, crop, and add one-touch looks to transform your photos. Plus, with powerful Photo Animation tools, you can easily bring your images to life. Use Animated Decorations, Sky Replacement, and Object Removal tools and create anything you can think of! Turn heads on social media to create incredible works of art – PhotoDirector is the best free photo editor to let your imagination run wild with hundreds of styles, effects, templates, and tools.  🌟 <strong>Incredible Photo Animation Tools</strong> • Animated Decorations – Your editing app should let your photo edits burst with personality. Choose from dozens of animated elements, including animals, seasonal specials, flowers, moods, and more! • Animated Overlay - Add movement, mood, & emotion to your still images with realistic and fun animated overlays. • Animated Dispersion - Manipulate particles in your image to create dramatic pictures popping with different shapes and motion. • Use AI to Create Powerful Edits - Sky Replacement, Style Effects, and Object Removal tools are designed to work perfectly with our Photo Animation tools. Mix, match, and try them all together! Animate any element, alter or change any object, and completely redesign your snap.  📸<strong>Creative Editing Tools: </strong> • Object Removal – Quickly remove any object with a click, and retry until perfect • Face Shaper - Make subtle, natural changes to your face • Sky Replacement - Completely change the sky in your snaps • Change background- Edit any background in your snap by replacing them with new images • Light Rays- An incredible lighting tool to add light-ray effects to any image • Easy-to-use White Balance, HDR, and Vignette tools • Magic Brush – Brush over your image to completely change the style • Photo Retouch, Selfie Editor, Red-eye Removal tools • Blur Photo Editor  Incredible AI-Powered Tools: • AI Style – Generate creative anime & well-known painting style photography with one tap. Use AI art to turn your photo into a cartoon version in no time. • Sky Replacement – Enhance or completely transform the sky of your images with a single click using stunning templates. • Cutout - Automatically detect the outline of any object for perfect results, every time.  🎀<strong> Thousands of stickers, filters, frames, and effects!</strong> • NEW content updated monthly! • Unique seasonal stickers, frames, filters, and effects! • FREE community content!  💎<strong>Unlimited updates, features and content packs with PREMIUM</strong> • Unlock all premium content - effects, filters, stickers, and frames! • Save images in Ultra HD 4K camera resolution • Ad-free and distraction-free  ✨<strong>Powered by Shutterstock</strong> Create captivating photo projects with unlimited access to our premium stock images.    Premium subscription is billed annually and auto-renews every year, unless canceled 24 hours prior to the renewal date. You may manage your subscription and turn off auto-renewal by going to your Account Settings after purchase. In accordance with the store policy, no cancellation of the current subscription is allowed during the active subscription period. Once purchased, refunds will not be provided for any unused portion of the term.   Find inspiration on Instagram: @photodirector_app Have a problem? Talk to us: support.cyberlink.com"
00798DDE95538ED74CBA278E35A21F6F58FF30B4FAD8CC0E442067C04DAE98D4,com.adobe.adobephotoshopfix,PHOTOGRAPHY,"Image Retouching & Restoration Adobe Photoshop Fix enables powerful, yet easy image retouching and restoration on your Android phone. Heal, smooth, liquify, lighten and make other edits and adjustments that give you the precise look you’re after. Access edited photos within other Adobe mobile and desktop apps by signing in to Adobe Creative Cloud to further refine them or use them in other creative projects – it’s all powered by Adobe CreativeSync.  Photoshop Fix Features •	Retouch and restore photos using tools that give you the exact look, structure and feel you want:         - Face-aware Liquify – Make dramatic edits to facial features. Create a bigger smile, slim down those cheeks or edit other facial points with remarkable ease.          -  Liquify — Push, pull, rotate, swell or reshape any area to create subtle or drastic effects.         -  Heal and patch — Fix imperfections using content from surrounding areas and then blend the result.         -  Smooth — Simply paint to smooth or sharpen skin, landscapes or other content.         -  Lighten and darken — Add or remove light from specific parts of a photo. •	Edit and adjust photos using a variety of essential tools:         -  Color — Desaturate to remove all color or to create a mix of color and black-and-white.         -  Paint — Get precise effects with an eyedropper that lets you sample colors, an adjustable brush and an eraser.         -  Adjust — Add vignettes and control exposure, contrast and saturation         -  Defocus — Blur part of a photo to draw attention to your key subject.  •	Send your images directly to Photoshop CC on the desktop so you can refine them and take them further. Fix converts all your edits to layers and packages your image as a PSD file.  GET CONNECTED TO CREATIVE CLOUD  Love photography? Check out the Creative Cloud Photography plan. It gives you Lightroom and Photoshop, the most powerful editing tools around. With Creative Cloud, you can open and edit Photoshop files in Fix and send your retouched images to Photoshop CC for further refinement — layers, masks and all. Or open and enhance Lightroom images and send them directly to your Lightroom Collections. All of your edits will be synced across all your computers and devices. If you make a change on your device, it will show up on your desktop. Take your photography further with the Creative Cloud Photography plan.  Also take a look at these other free Adobe apps in the App Store:  •	Photoshop Mix — Cut out and combine elements from different images, blend layers, and apply looks on your Android device — anywhere you are.  •	Lightroom Mobile – Capture, edit, organize and share professional quality images from your smartphone or tablet. •	Photoshop Express – Easy photo editor for applying effects and filters   INTERNET CONNECTION & ADOBE ID REQUIRED Sign up for an Adobe ID within Photoshop Fix for free. Adobe online services, including the Adobe Creative Cloud service, are available only to users 13 and older and require registration and agreement to additional terms and Adobe's online privacy policy at http://www.adobe.com/special/misc/privacy.html. Adobe online services are not available in all countries or languages, may require user registration, and may be subject to change or discontinuation without notice."
3FDAB4ED44A9264247AFCFEC8A4668D77BAB070677E0FEBB6CEAC385EE4DBAC9,com.baseapp.eyeem,PHOTOGRAPHY,"Turn your inspiration into money with EyeEm Join a community of over 8 million creators around the globe. Gain exposure, share your inspiration, and sell your pictures—all in one place.  Up your photography game, and connect with the world’s leading brands, image buyers and media outlets.  There are so many ways to get discovered with EyeEm. With daily and weekly highlights from new and upcoming photographers, as well as exhibitions, awards and direct exposure to image buyers all over the world.  Get discovered and win prizes with EyeEm Missions. Let your talent shine, and submit your pictures for use by media agencies and brands such as Apple Music, Converse, Spotify and Canon.  Up your photography game, and download EyeEm today!   *YOUR INSPIRATION IS OUR PASSION* MAKE MONEY – Sell your photos through the EyeEm marketplace and start making real money with your talent. PERFECT PICTURES – Our community, technology, and tutorials help you improve every element of your photography. LEARN FROM THE COMMUNITY – Advice, tips and contacts from the most passionate photography community in the world. 100% SAFE – Keep control of your copyright and easily select which photos you want to sell, as well as keeping your photos safe from infringement.   Tap into a whole new world of photography with EyeEm, and up your photography game."
15121A165F0A5CBBA14C3A0F0E513F6CACD658C6C6083953BAF2233CB2966FC6,com.cardinalblue.piccollage.google,PHOTOGRAPHY,"<b>Create & Celebrate!  PicCollage helps you make anything to celebrate everything. PicCollage is all about keeping things easy so you can have the most fun creating. Explore FREE card templates, story layouts and photo frames to help you celebrate virtually. </b>    <b>Our Favorite Perks About PicCollage</b> <ul> <li>Our FREE starter pack in the app is full of new stickers to get you started collaging!</li> <li>Snowflakes: Add a beautiful falling snowflake effect to your collage with this brand new Android-exclusive feature! </li> <li>Pages - Add multiple pages when creating a collage to expand your canvas.  Try exporting all pages together as a video for a fun effect  Check it out in the editor and see what possibilities unfold!</li><li> </li><li>Animated Templates: Start with a template or add fun animations to any collage for a special finishing touch. </li> <li>Stories: Templates and to help you get sharing quickly.</li> <li>Freestyle mode - The blank canvas option to give total freedom to create at your own pace.</li> <li>Grids: Instant layouts and photo grids to quickly arrange photos from your photo gallery.</li>  <li>Stickers: Decorate your images and collages by adding trendy and occasion-specific stickers.</li> <li>Backgrounds: Thousands of exclusive stickers and backgrounds from collaborations with our favorite artists and illustrators around the world.</li> <li>Cards: Pre-designed templates and frames to quickly create unique messages and greeting cards for any holiday.</li> <li>Doodle: Draw on your collage to write messages in your own handwriting and style, illustrate something new, or just to circle or add emphasis to a project you’re working on.</li>   <b> Unleash Your Creativity</b> Bring your ideas to life! PicCollage brings templates and customization together to give you everything you need to get inspired.  Create quick and easy collages to share during a party, or take your time and make a truly custom design to flex your skills!  PicCollage gives you everything you need to tell your story!</ul>"
6E751B8BC4FA4A5043224AABED182C04232374FE9C05A866B67761BB2871F86B,com.cyberlink.youperfect,PHOTOGRAPHY,"YouCam Perfect is the best selfie photo editor & beauty camera app with over <b>800 MILLION</b> downloads and counting!  Download YouCam Perfect for all the photo editing tools & beauty camera you need – face retouch, photo effects, camera filters, amazing collages, fonts, stickers, frames, animated effects and more! The best part? It is a free app! 😍  Save photos to your cloud backup and access them across multiple devices. Take sweet selfies and get creative with YouCam Perfect to turn your pics into masterpieces!  🤳<b>Take Perfect Pictures and Edit Selfies in Seconds</b> ◇ Beautify selfies in just one tap: Whitening teeth, smooth skin, reshape faces; our adjusting tools take your selfie to the next level! ◇ Say goodbye to pimples and blemishes! With our blemish remover, you can eliminate pimples and unwanted spots with the tap of a finger. ◇ Use live photo editor effects to instantly take awesome snaps or record videos in one tap  ☑️Photo Background  & Object Removal tool ◇ Magical object remover to erase unwanted background objects instantly! ◇ Cut out the subject of a photo, then give it an aesthetic new background  ◇ Use photo backgrounds as green screen for your images, access impressive background eraser: Cut out photos & erase backgrounds  💡 Adjust your photos with Body Tuner & Blur tools ◇ Get a naturally looking slim waist in one click with the best waist shaper! ◇ Edit photos using body tuner tool to amuse your friends and social media followers. ◇ Highlight images or focus on what is important in a photo for better portraits  📱<b>Amazing Collages, Frames & Effects</b> ◇ Find the amazing collage or frame for your favorite picture, try photo grid, freestyle collage, scrapbook for photos. ◇ Create your best selfie with fine-tune filters and effects to level up your pics ◇ Customize your snaps with stylish photo grid or aesthetic templates to share on Facebook, Instagram and your favorite social networks ◇ Enhance colors with trendy effects on your photos to WOW your friends  ✨<b>Animated effects make your photos shine!</b> ◇Let your creativity run free with tons of animated effects, overlays, and animation tools.  ◇Create amazing effects from live images and transform each picture into a magical work of art using incredible filters and effects. ◇Added new sparkle filters for images & live cam that will engage your followers and wow your friends  🖌<b>Magic Brush & Layers</b> ◇ Magic Brush adds a burst of shapes and colors for picture magic on the go ◇ Turn your pictures into masterpieces with airbrush color brushes that match every skin tone ◇ Layer up multiple images, stickers, and text to create awesome pics ◇ Create art & illustrations from airbrush or just draw something inspiring for fun.  👑<b>YouCam Perfect Premium Version</b> ◇ Upgrade to YouCam Perfect Premium for unlimited access to 2000+ exclusive effects, frames, filters, stickers, beautifying tools and more! ◇ Share awesome edits with friends and show off your creativity with NEW premium content monthly! YouCam Perfect Premium features include: • Save photos in HD • Remove watermarks • Unlimited object removal • ADS-FREE editing experience  Contact Us Perfect Corp. would love to hear your suggestions and feedback! Please continue to send questions, suggestions and ideas to: YouCamPerfect_android@perfectcorp.com Visit us: https://www.perfectcorp.com/consumer/apps/ycp Get more selfie photo editing inspo: https://www.instagram.com/youcamperfect.official/ Like us: https://www.facebook.com/youcamapps/"
