sha256,pkgName,categoryID,description
89433EEC256F1BE1ED47CD36E46D3AA259FB394651326BD328260A82940C7FAF,com.fsecure.freedome.vpn.security.privacy.android,TOOLS,"F-Secure FREEDOME is the VPN app trusted by experts and journalists around the world, brought to you by a company with a 30-year reputation of respect for users’ privacy. FREEDOME VPN is blazing fast and has unlimited bandwidth. No data restrictions. <b>Try for free for 5 days!</b>  <b>Make your WiFi use and surfing private with this easy, no-ads VPN with the following features:</b>  ✓ PRIVATE NETWORK: FREEDOME VPN guards your privacy online and hides your tracks. The app is ad-free. FREEDOME VPN is like an anonymous proxy but faster and more secure.  ✓ WIFI SECURITY: Connect to any WiFi hotspot securely. Encrypt your personal traffic and keep it safe & private.  ✓ PROTECT IP ADDRESS: Protect your IP address and change your virtual location for an extra layer of privacy.  ✓ BROWSING PROTECTION: Explore the internet and stay safe from harmful and dangerous web pages to ensure your security and privacy.  ✓ EASY-TO-USE: FREEDOME VPN is super easy to use. Anyone can use it as a personal proxy or a no-ads virtual private network. Activate with just one button.  ✓ KILL SWITCH: Prevent accidental leakage of your data to the internet during momentary outages.  <b>Cover all your devices with one subscription.</b>  FREEDOME VPN works on PC, Mac, iOS and Android devices including Android TV and compatible devices.  Based in Finland, FREEDOME VPN is backed by strong privacy laws with no ties to 14-eyes alliance.  For frequently asked questions and support, please visit our support pages: http://www.f-secure.com/support/"
2FC63C9CD36670FD206B20127101FC319CD89B0CB183658EB789F8B007CAA3DB,com.switchvpn.app,TOOLS,"Looking for a trusted VPN app to connect to the internet and browse the internet securely via VPN network? With this VPN Proxy tool, you can browse restricted websites, apps and games or even hide your identity while using the Internet. Get ready to use the most simple, secure and trusted VPN app that is free.  With <b>Swing VPN - Fast VPN Proxy</b>, never limit yourself from browsing the internet. No more restrictions on browsing Twitter, Facebook, YouTube and all of the internet using this free VPN proxy network app. It is the easiest to use VPN Proxy app which provides you VPN Networks from across the world for free.  Connecting to the VPN network using this Free Secure and Trusted VPN app is extremely easy with simple app controls. With only one tap, you can connect to VPN servers in multiple countries and remain connected to VPN. While selecting the VPN server, you can easily select the fastest route to browser internet fast.  Swing VPN is made for you to avoid wasting time on trying lots of free VPN apps.   <b>APP FEATURES</b> Still looking for features that make the “Free VPN - Simple Secure & Trusted” app the most unique among all other free VPN Proxy apps? Here are the features of this unique VPN app - ✓ <b>One-Click Connect:</b> Connect with fast & free VPN with just one-click ✓ <b>Speed Test:</b> Quick test your internet speed - ping time, upload & download speeds ✓ <b>Private Browser:</b> Securely browse the web using Private Browser ✓ <b>Check my IP:</b> Know your Public IP address ✓ <b>Screen Mirroring:</b> Share screen on other devices when VPN is connected. Easily find devices to mirror - share phone screen on a larger device. ✓ <b>Exclude Apps:</b> Disallow certain apps from using VPN Proxy Network ✓ <b>VPN Hotspot:</b> Turn your mobile device into a secure VPN Hotspot that can be used across devices such as MAC, Windows, Android, iOS, Chrome, Firefox, PS4, PS5, X Series, Android TV, Google Chromecast, etc   <b>WHY USE SWING VPN?</b> ✓ <b>Unlimited:</b> Truly unlimited., No speed or bandwidth limitations ✓ <b>Compatibility:</b> Works with all WiFi, LTE, 2G, 3G, 4G, 5G ✓ <b>Coverage:</b> Get access to Secure VPN Proxy Servers from 50+ Countries. Whether you need a VPN for India, VPN for the United States, VPN for Singapore, VPN for Russia, VPN for Canada, or VPN for Japan, you can find them all on this multi-country VPN app. ✓ <b>Simple:</b>  Simple, Easy to use one touch VPN Connection ✓ <b>Secured:</b>  Powerful SSL encryption to keep you secure all the time ✓ <b>Free:</b>  100% free VPN app   <b>What is a VPN?</b> A VPN creates a secure, encrypted “tunnel” over the internet between your computer, smartphone, or tablet and whatever website or app you are trying to access.  This is made possible by redirecting your connection via a VPN server in another country, which makes it appear to a website or application that you are just another ‘local’ visitor.  You become effectively anonymous as your IP address (the numerical label that identifies your device’s online connection) is replaced with that of the VPN server.  Access any website in any country. Bypass geo-restrictions to unblock websites and apps that are otherwise inaccessible due to temporary restrictions by your ISP, school, workplace, or country government.  With this secured VPN app, Swing VPN encrypts your data and give you top-grade security. You will browse the web through an encrypted and highly-protective tunnel, which makes sure that you are unreachable for the cyber criminals   By using the Swing VPN app, you will get access and freedom to use any web content from your location  When you want to mask your real location, simply launch the VPN app, select the country from which you want to connect then off you go! After that, simply use your browser and any apps as you would normally do.  <b>Support Us</b> Please feel free to email us at support@swingvpn.com. If you have enjoyed the features of the Swing VPN app, do rate us on the play store."
A9CFB870FB8F6C64664C22FF335DF0F75C969189533908D1A2A9C889E30569D3,com.speedy.vpn,TOOLS,"Speedy Quark VPN is the world’s fastest and most secure free VPN proxy app. Protect yourself from cyber threats with a simple tap of the screen.   When it comes to Internet's safety and security, Speedy Quark VPN is an essential tool. It encrypts your connection so that third parties can’t track your online activity, making it more secure than a typical proxy.  We have built a global VPN proxy network included America, Europe and Asia, and expand to more country soon. You can click the flag and change proxy server as any times as you want.   - Daily free traffic, fast and free - 7-day free trial: free of charge; unlimited traffics; fastest servers. - Length of subscription: one year; one month. - Price of subscription: one-year plan: $4.99/mo; monthly plan: $9.99/mo.  - No cancellation of the current subscription is allowed during the active subscription period.  Email:  quarkteam@outlook.com support@quarkvpn.com  Group: Telegram: https://t.me/joinchat/XmYO2LrduPUxMDdl WhatsApp: https://chat.whatsapp.com/JjHvOSUJPuN8wGfMyIwq8N  You can also find us on： https://www.quarkvpn.com/ https://www.facebook.com/QuarkVPN/ https://twitter.com/QuarkVpn https://www.instagram.com/quarkvpn/"
A47FEE5CC359F9C445CB813268D51925C69EFEB83A45CF3197454875E329AC2F,com.free.vpn.proxy.master.app,TOOLS,"Unlimited free VPN <b>Proxy Master</b> to unblock sites, secure WiFi hotspot, protect privacy  <b>Proxy Master</b> - a secure, fast and free VPN trusted by 10,000,000+ users, to help you protect online privacy, secure WiFi hotspot, access blocked websites/apps, watch videos (streaming content/ movies/ sports programs/ any other show), accelerate games and bypass firewalls.   <b>Proxy Master</b> - A high speed, ultra secure, lightning fast VPN  We have built a global VPN network included America, Europe and Asia, and expand to more country soon. Most servers are free to use, you can click the flag and change server as any times as you want.  1.Provide safest protection for privacy and security - Military-grade AES 128-bit encryption to secure WiFi hotspot. - IKEv2 protocols and OpenVPN protocols(UDP / TCP) to mask your online identity.   2.Possess global proxy servers with fast speed - One tap to set up fast & stable connection for you. - Watch streaming videos/ sports programs/ TV shows without buffering. - Speed up your network when you are playing games. - Enjoy ultra-fast online browsing experience.  3.User-friendly & Professional - Unlimited free VPN service. Enjoy free proxy servers whenever you want. - Intelligent selection for the optimal server. - Support Split Tunneling. - Compatible with WiFi, LTE, 3G, and all mobile data carriers.  What Proxy Master can do for you? - With the safest protection, you could enjoy a private and secure online experience even under WiFi hotspot. - With the fast global proxy servers, you could bypass geo-restriction or firewalls to access blocked videos/ streaming content/ games/ social network/ websites/ apps...  If Proxy Master connect failed, don't worry, you can follow these steps to fix it: 1) Click the flag icon 2) Click the refresh button to check servers 3) Choose the fastest and most stable server to reconnect  Hoping you suggestion and good rating to keep it growing and make it better :-)  Download the secure, fast and free  <b>Proxy Master</b>! Enjoy the private online experience right now!  For policy reason, this service can not be used in China. We apologize for any inconvenience caused."
4DA54A2E75DBDD1912363E9F476D6B5082FD8F80D66A97ECF398E1ED5AB3AF51,com.supervpn.vpn.free.proxy,PRODUCTIVITY,"<b> Super VPN</b> is Free VPN Proxy, and Unblock Master  <b>What is VPN?</b> Virtual private network. For purpose of security, data need transport in a encryption tunnel.  <b>Why use VPN?</b> When you traveling, working or studying aboard, you need a VPN service to hide your real location or IP.  <b>Which app is the best VPN in the world?</b>  Useful - unblock, anonymous browsing, protect privacy, security agent, WiFi hotspot, fast and stable. Simple to use - free, unlimited bandwidth, unlimited traffic, one-touch connection.  <b>All our efforts are just hope in your heart, Super VPN is the best free VPN app.</b> Super VPN work with 5G, 4G, 3G, WiFi, Hotspot and all mobile data carriers.  Super VPN server has covered more than 20 different regions of the world, the number of more than 5000+ proxy servers.  Our cooperation ISP and IDC company are very reliable and stable.  Our high speed VPN proxy cloud servers are located in India, Australia, Netherlands, USA, Japan, Singapore, Canada, France, Germany, UK, etc ...  - vpn for Germany - vpn for Singapore - vpn for Canada - vpn for Japan - vpn for United States - vpn for India - vpn for Russia  <b>★ Unlimited Bandwidth & Unlimited Traffic </b> Unlimited bandwidth, unlimited traffic, unlimited time, please enjoy now. No credit card required, no payment, we promise free forever. Without any registration, just single tap, enjoy vpn service immediately. Easy to use, one-touch to connect to VPN proxy server. We will never limited your traffic, WiFi, mobile data, surfing without worry about exceed traffic.  1. Unblock VoIP networks such as voice call and video call  2. Unblock video websites  3. Bypass the school firewall, free VPN proxy school wifi.  <b>★ No Logs of your activity & No Private Information Collect</b> Super VPN will never store your online behavior or browser history and will never upload or process your privacy information!  <b>★ Bypass Censorship & Avoid attack & Security from cyber threats</b> We apply multi-technology to ensure the quality of our service.  Because of our custom encryption and obfuscation technology, Super VPN will avoid most ""DPI"" or ""Replay Attacks"". Enjoying and surfing websites across regions and countries. No matter whenever and wherever you are, you will connect our stable VPN service.  <b>★ Secure your Connection</b> All network traffic (UDP / TCP) is encrypted by IPSec(IKEv2) when Super VPN is running. We use much obfuscation and encryption method to protect your every connection.  <b>★ Protect Privacy, Stay Anonymous online & Security</b> Use of our VPN service can avoid your IP exposure. Super VPN can protect your network traffic under the WiFi hotspot anonymous browsing, without tracking. Anonymous browsing, truly privacy protect.  <b>★ Super VPN unique features (our strengths) </b> • Unlimited bandwidth, Unlimited traffic, Unlimited connection time • No registration required, no login, no email or password required. • Fast, will connect to the fastest and most nearest VPN proxy server. • Anonymous no log, no DNS leak, protect privacy.  ■ Suggest: * In most countries, it is recommended to use the IKEv2 protocol first, for better stability and connection speed. * When the connection fails, please switch to OpenVPN UDP and OpenVPN TCP protocol in turn. * Switching to different countries may also increase access speed or connection success rate  Attention: We do not provide BitTorrent App and any P2P (peer to peer) service Due to policy reason, our service can not be used in China. We apologize for any inconvenience caused."
D38903E74B320226F63D4914BF02DBFEE3E5502A661FB0662566AD74C5042FB4,con.hotspot.vpn.free.master,TOOLS,"VPN Free - Unlimited Proxy & Fast Unblock Master  100% free Proxy! Totally unlimited bandwidth! Super fast and high VPN speed! The best unlimited free Proxy clients for android.  Proxy Master - Free Proxy VPN, super fast VPN to proxy sites, watch videos and movies, protect WiFi security and protect privacy.   What do you expect from a great VPN app? # Unlimited Bandwidth to use # Endless list of countries to connect to worldwide! # Simple one click to connect # Super fast speed proxy # Proxy any apps and sites in any country # IP vanish/ IP Fake  # Hotspot VPN # proxy VPN for VOIP  Proxy Master - Free Proxy VPN Highlight: ★ Fastest - Super Fast Proxy - Thousands of servers being provided for you to make sure super fast speed. - Lots of different locations worldwide to proxy your favorite sites.   ★ Simple - only contain a “Connect” button  - One touch to connect to VPN proxy server and connect a better net.  - Non username, Non password, Non registration.  - No credit card needed.  ★ FREE & Unlimited  - 100% unlimited free VPN proxy!  - No credit card information needed. No trials offered. - Truly unlimited， No session，speed and bandwidth unlimitation  ★ Proxy - Visit any sites and APP  - Bypass geo-restrictions, internet filters and censorship while you’re at work or school. - Proxy websites or social media sites with free VPN proxy server.  - Bypass the firewalls as school VPN proxy. - Proxy blocked websites such as: Netflix VPN, YouTube VPN, Instagram, Snapchat, Twitter, Facebook, Viber, Skype, WhatsApp, Wechat etc…  ★ Security - Protect Privacy and Security - NO LOGS! That means, that you're absolutely anonymous and protected while using our app. - Protect your network traffic under public WiFi hotspot browse anonymously and securely without being tracked.  - Protect data privacy, personal information security and internet security while VPN Robot is on. - Enjoy private browsing. - Encrypts data using OpenVPN protocols (UDP / TCP).  ★ Stable - Most Stable - Never lose connection - Top Speed VPN & Stable Connection - Global networks, free vpn for USA, India, Japan, Singapore, Canada, France, Germany, UK, etc.. - Perfect support for Saudi Arabia and the United Arab Emirates   ★ Multi VPN serversy - vpn for United States - vpn for Germany - vpn for India - vpn for Singapore - vpn for Canada - vpn for Russia - vpn for Japan  We are the best VPN apps on the market! Just try us and see for yourself!"
7C8E0D5FE8843EE3887506D520F23E771ADECC2080985357572B4BD85F2B1944,istark.vpn.starkreloaded,TOOLS,Stark VPN Reloaded is a free and simple vpn application.  * easy to use * unlimited data (*) * secured connection * compression support * low battery/ram usage * torrent friendly  enjoy
F48E727B530FCCB96CEA6D79D1821DF5B929E5573FCA7CA7F0D06F3FA2845FB2,com.kuto.vpn,TOOLS,"* Works with Wi-Fi, 4G, 3G, and all mobile data carriers.  * It’s free and no traffic or bandwidth limit * Easy to use, just press a button and connect a better net * VPN hotspot, share the connected VPN to PC or other devices * App mode, only allow the selected apps to pass the VPN, others bypass  * TV cast, you can cast the web video to smart TV by the VPN"
517AEEB9B631037720BE80DF7681DB2D2746D82DA0045ED8593F5418C8291F97,co.solovpn,PRODUCTIVITY,"One Tap Connect, Free and Unlimited VPN Proxy,  Try Solo VPN - One Tap Free Proxy with powerful features:  ☆ Increase the availability to easily UNBLOCK blocked sites. ☆ Encrypt the data, Protect your privacy, Bypass firewall, Hide your public ip, nobody know where are you from. ☆ Get protected from hackers and snoopers on public WiFi connections.  <b>Why Solo VPN?</b>  ✓ <b>FREE and UNLIMITED:</b> 100% Free, No speed limitation, no bandwidth limitation  ✓ <b>Largest VPN Coverage:</b> Solo VPN offers largest VPN coverage more than 30 countries including JP, KR, US, UK, AU, CA, TR, UA and more!  ✓ <b>Easy to Use:</b> No settings required; One Tap to find available servers and setup connection,  ✓ <b>No sign up, No registration:</b> You don’t need to create an account or have a credit card!  ✓ <b>Limited Permissions:</b> No root access needed, and Solo VPN only apply for network permissions.  ✓ <b>Support:</b> Any questions and suggestions, feel free to reach us: solovpn.co@gmail.com. We love to hear from you :-)  Try Solo VPN - One Tap Free Proxy Now! And if you love us, don’t forget to spread the love by giving us 5-stars!"
FE5C76CF265D591919F39E83FF054E534B95B920E950037DBDEAC801AB42D2C2,com.galaxylab.ss,TOOLS,"GalaxyVPN is a free and unlimited VPN (Virtual Private Network) proxy for Android devices. GalaxyVPN masks your IP address, encrypt your internet traffic, turns public Wi-Fi into a private network and helps unblock sites and apps on your Android phone so that you can access any restricted content safely and anonymously.  VPN (Virtual Private Network) works just like Tor proxy, also known as “the Onion Router”, to hide IP address and bypass internet censorship, to overcome geo-restriction and access the desired content. VPN (Virtual Private Network), however, has a much faster connection speed, and better privacy and security protection than Tor (the Onion Router).  Three main features of a VPN (Virtual Private Network):  • Incognito Browsing: using a VPN you don’t even have to install any incognito browser. Simply turn on your VPN and all of your Internet traffic is completely encrypted. Your online activities are completely anonymous. • Wifi Safety: because all your online traffic is encrypted through a VPN, whatever public WiFi hotspot you are trying to access, you will be shielded from public Wifi risks and enjoy complete Wifi security. • Location Spoofer: VPN hides your IP address so that your location is masked and you are able to bypass geo-restrictions to access any content anywhere.    Install GalaxyVPN Now to:  ► Unblock Websites and Apps    You can unblock any apps or websites using GalaxyVPN free & unlimited VPN. Bypass government censorship and geo-restrictions to access blocked websites from anywhere!  ► Anonymous Connection and Privacy Protection  Using a VPN, your IP and location will be masked and your activities can no longer be tracked on the Internet. GalaxyVPN service is your privacy guard and better than web proxy servers.  ► Secure Your Device  GalaxyVPN secures your Android device’s connection while you’re connected to public WiFi hotspots or cellular data networks. It works just like a free Tor proxy (the Onion Router) but it’s even more secured. Your password and your personal data are secured and you are protected from hacker attacks.  ► Surf anonymously at Fast Speed  GalaxyVPN is fast! It detects your location automatically and connects you to the nearest and fastest server. As a result, your connection will be much faster than any other VPN or proxy providers.  GalaxyVPN free version shows ads. Upgrade to premium to enjoy unlimited and ad-free VPN!  Buisiness Partner Common tool tutorial: https://bit.ly/319x6nr"
